"TPREG,C,1","ENTIDAD,C,2","MUNICIPIO,C,3","LOCALIDAD,C,4","AGEB,C,4","NUMCONTROL,C,6","VIVSEL,C,2","IDHOGAR,C,6","FOLIO,C,3","CONSEC,C,3","PAREDES,C,2","TECHOS,C,2","PISOS,C,1","COCINA,C,1","COCINAD,C,1","CUARTOSD,C,2","TOTCUARTOS,C,2","SUPERFICIE,C,3","RANGOSUP,C,1","DISPOAG,C,1","SANITARIO,C,1","SERVSAN,C,1","DRENAJE,C,1","ELECTRICI,C,1","FOCOS,C,2","COMBUS,C,1","ESTEREO,C,1","RADIO,C,1","TV,C,1","VIDEO,C,1","REFRI,C,1","LAVADORA,C,1","HORNOMI,C,1","AUTO,C,1","LAPTOP,C,1","COMPU,C,1","IMPRESO,C,1","VIDEOJ,C,1","TELEFONO,C,1","CELU,C,1","TVPAGA,C,1","INTERNET,C,1"
2,03,003,0001,3072,030002,01,111111,003,001,08,08,2,1,1,02,02,000,3,1,1,1,1,1,06,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,2
2,03,003,0001,3072,030002,02,111111,003,002,08,08,2,1,2,02,04,000,6,1,1,1,1,1,06,1,1,1,1,2,1,2,2,1,2,2,2,2,2,1,2,2
2,03,003,0001,3072,030002,03,111111,003,003,08,08,3,1,2,01,02,000,3,1,1,1,1,1,05,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,2,2
2,03,003,0001,3072,030002,04,111111,003,004,08,08,2,1,2,03,05,000,6,1,1,1,1,1,09,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1
2,03,003,0001,3072,030002,05,111111,003,005,08,08,3,1,2,03,04,000,4,1,1,1,1,1,09,1,2,1,1,2,1,2,1,2,2,1,2,2,1,1,2,1
2,03,003,0001,1979,030007,02,111111,003,007,08,08,3,1,2,02,04,000,9,1,1,1,1,1,10,1,1,1,1,2,1,1,2,1,2,1,2,2,1,2,2,2
2,03,003,0001,1979,030007,03,111111,003,008,08,08,3,1,2,03,05,000,3,1,1,1,1,1,09,1,2,1,1,1,1,1,2,1,2,1,1,2,1,1,2,2
2,03,003,0001,1979,030007,04,111111,003,009,08,03,2,1,2,01,02,000,1,1,1,1,1,1,04,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2
2,03,003,0001,2267,030030,02,111111,003,012,08,08,3,1,2,04,05,000,6,1,1,1,1,1,08,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,1,2
2,03,003,0001,2267,030030,03,111111,003,013,06,03,2,1,2,03,04,000,1,1,1,1,1,1,07,1,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2
2,03,003,0001,2267,030030,04,111111,003,014,08,08,3,1,2,04,05,000,3,1,1,1,1,1,13,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1
2,03,003,0001,2267,030030,05,111111,003,015,08,08,3,1,2,02,04,000,6,1,1,1,1,1,06,1,1,1,1,1,1,1,2,1,2,1,1,2,1,2,2,1
2,03,003,0001,3068,030033,01,111111,003,016,08,08,3,1,2,03,06,000,7,1,1,1,1,1,15,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2
2,03,003,0001,3068,030033,02,111111,003,017,08,08,2,1,2,02,04,000,6,1,1,1,1,1,04,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,2,1
2,03,003,0001,3068,030033,03,111111,003,018,08,08,2,1,2,02,03,000,4,1,1,1,1,1,06,1,2,2,1,1,1,1,1,2,2,2,2,1,1,2,2,2
2,03,003,0001,3068,030033,04,111111,003,019,08,08,2,1,2,02,04,000,5,1,1,1,1,1,10,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1,2,2
2,03,003,0001,3068,030033,05,111111,003,020,08,08,2,1,2,02,03,000,3,1,1,1,1,1,07,1,2,1,1,2,1,2,2,1,2,2,2,2,2,1,2,2
2,03,003,0001,3369,030035,01,111111,003,021,08,08,3,1,2,02,04,000,6,1,1,1,1,1,08,1,1,2,1,2,1,1,2,2,2,1,1,2,1,1,2,2
2,03,003,0001,3369,030035,02,111111,003,022,08,08,3,1,2,02,05,000,5,1,1,1,1,1,13,1,1,1,1,1,1,2,1,1,2,2,2,2,2,1,2,2
2,03,003,0001,3369,030035,03,111111,003,023,08,08,2,1,2,02,04,000,7,1,1,1,1,1,11,1,1,1,1,2,1,1,1,1,2,2,2,2,2,1,2,2
2,03,003,0001,3369,030035,04,111111,003,024,08,08,3,1,2,02,04,000,7,1,1,1,1,1,12,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1
2,03,003,0001,3369,030035,05,111111,003,025,08,08,3,1,2,02,05,000,6,1,1,1,1,1,10,1,1,1,1,1,1,1,2,1,2,2,2,2,1,1,2,2
2,03,003,0001,327A,030056,01,111111,003,026,08,08,3,1,1,03,05,000,8,1,1,1,1,1,16,1,2,1,1,2,1,1,2,1,2,1,1,2,1,1,1,1
2,03,003,0001,327A,030056,02,111111,003,027,08,08,3,1,2,03,05,000,7,1,1,1,1,1,12,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,2
2,03,003,0001,327A,030056,03,111111,003,028,08,08,2,1,2,02,05,000,5,1,1,1,1,1,07,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,2,2
2,03,003,0001,327A,030056,04,111111,003,029,08,08,2,1,1,01,01,020,,1,1,3,2,1,04,1,2,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2
2,03,003,0001,327A,030056,05,111111,003,030,06,03,2,1,2,02,03,000,5,1,1,1,1,1,07,1,1,1,1,1,1,1,2,1,2,2,2,2,2,1,2,2
2,03,003,0001,3373,030082,04,111111,003,034,08,08,2,1,2,02,05,000,6,1,1,1,1,1,11,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,2
2,03,003,0001,3373,030082,05,111111,003,035,08,08,2,1,2,03,05,000,3,1,1,1,1,1,08,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,2
2,03,003,0001,3481,030087,01,111111,003,036,02,02,2,1,2,01,03,000,2,5,1,2,2,2,,1,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2
