"TPREG,C,1","ENTIDAD,C,2","MUNICIPIO,C,3","LOCALIDAD,C,4","AGEB,C,4","NUMCONTROL,C,6","VIVSEL,C,2","IDHOGAR,C,6","NUMPER,C,2","GASTOCO,C,1","NUMHOG,C,2"
3,03,003,0001,3072,030002,01,111111,04,1,
3,03,003,0001,3072,030002,02,111111,04,1,
3,03,003,0001,3072,030002,03,111111,03,1,
3,03,003,0001,3072,030002,04,111111,07,1,
3,03,003,0001,3072,030002,05,111111,04,1,
3,03,003,0001,1979,030007,02,111111,07,1,
3,03,003,0001,1979,030007,03,111111,05,1,
3,03,003,0001,1979,030007,04,111111,02,1,
3,03,003,0001,2267,030030,02,111111,06,1,
3,03,003,0001,2267,030030,03,111111,03,1,
3,03,003,0001,2267,030030,04,111111,02,1,
3,03,003,0001,2267,030030,05,111111,04,1,
3,03,003,0001,3068,030033,01,111111,06,1,
3,03,003,0001,3068,030033,02,111111,04,1,
3,03,003,0001,3068,030033,03,111111,03,1,
3,03,003,0001,3068,030033,04,111111,04,1,
3,03,003,0001,3068,030033,05,111111,06,1,
3,03,003,0001,3369,030035,01,111111,05,1,
3,03,003,0001,3369,030035,02,111111,03,1,
3,03,003,0001,3369,030035,03,111111,04,1,
3,03,003,0001,3369,030035,04,111111,03,1,
3,03,003,0001,3369,030035,05,111111,06,1,
3,03,003,0001,327A,030056,01,111111,06,1,
3,03,003,0001,327A,030056,02,111111,05,1,
3,03,003,0001,327A,030056,03,111111,03,1,
3,03,003,0001,327A,030056,04,111111,02,1,
3,03,003,0001,327A,030056,05,111111,05,1,
3,03,003,0001,3373,030082,04,111111,05,1,
3,03,003,0001,3373,030082,05,111111,06,1,
3,03,003,0001,3481,030087,01,111111,05,1,
3,03,003,0001,3481,030087,02,111111,05,1,
3,03,003,0001,3481,030087,03,111111,01,1,
3,03,003,0001,3481,030087,04,111111,05,1,
3,03,003,0001,3481,030087,05,111111,03,1,
3,03,003,0001,3208,030088,01,111111,03,1,
3,03,003,0001,3208,030088,02,111111,04,1,
3,03,003,0001,3208,030088,03,111111,05,1,
3,03,003,0001,3208,030088,04,111111,04,1,
3,03,003,0001,3208,030088,05,111111,02,1,
3,03,003,0001,2017,030097,01,111111,03,1,
3,03,003,0001,2017,030097,02,111111,02,1,
3,03,003,0001,2017,030097,04,111111,04,1,
3,03,003,0001,2017,030097,05,111111,04,1,
3,03,003,0001,1926,030109,01,111111,06,1,
3,03,003,0001,1926,030109,02,111111,07,1,
3,03,003,0001,1926,030109,03,111111,01,1,
3,03,003,0001,1926,030109,04,111111,05,1,
3,03,003,0001,1926,030109,05,111111,04,1,
3,03,003,0001,2267,030117,01,111111,02,1,
3,03,003,0001,2267,030117,02,111111,02,1,
3,03,003,0001,2267,030117,03,111111,02,1,
3,03,003,0001,2267,030117,04,111111,04,1,
3,03,003,0001,2267,030117,05,111111,03,1,
3,03,003,0001,3388,030118,01,111111,02,1,
3,03,003,0001,3388,030118,02,111111,02,1,
3,03,003,0001,3388,030118,03,111111,01,1,
3,03,003,0001,3388,030118,04,111111,06,1,
3,03,003,0001,3388,030118,05,111111,07,1,
3,03,003,0001,1930,030123,01,111111,04,1,
3,03,003,0001,1930,030123,02,111111,05,1,
3,03,003,0001,1930,030123,03,111111,03,1,
3,03,003,0001,1930,030123,04,111111,04,1,
3,03,003,0001,1930,030123,05,111111,03,1,
3,03,003,0001,3462,030138,01,111111,05,1,
3,03,003,0001,3462,030138,02,111111,06,1,
3,03,003,0001,3462,030138,03,111111,04,1,
3,03,003,0001,3462,030138,04,111111,06,1,
3,03,003,0001,3462,030138,05,111111,04,1,
3,03,003,0001,2962,030169,01,111111,05,1,
3,03,003,0001,2962,030169,03,111111,01,1,
3,03,003,0001,2962,030169,05,111111,04,1,
3,03,003,0001,2943,030173,01,111111,02,1,
3,03,003,0001,2943,030173,02,111111,02,1,
3,03,003,0001,2943,030173,03,111111,03,1,
3,03,003,0001,2943,030173,04,111111,04,1,
3,03,003,0001,3049,030251,01,111111,06,1,
3,03,003,0001,3049,030251,02,111111,07,1,
3,03,003,0001,3049,030251,03,111111,04,1,
3,03,003,0001,3049,030251,04,111111,05,1,
3,03,003,0001,3049,030251,05,111111,04,1,
3,03,003,0001,3091,030272,01,111111,06,1,
3,03,003,0001,3091,030272,02,111111,05,1,
3,03,003,0001,3091,030272,03,111111,05,1,
3,03,003,0001,3091,030272,04,111111,04,1,
3,03,003,0001,3091,030272,05,111111,06,1,
3,03,003,0001,3335,030329,01,111111,02,1,
3,03,003,0001,3335,030329,03,111111,03,1,
3,03,003,0001,3335,030329,04,111111,04,1,
3,03,003,0001,3335,030329,05,111111,06,1,
3,28,009,0001,0067,280501,01,111111,04,1,
3,28,009,0001,0067,280501,02,111111,01,1,
3,28,009,0001,0067,280501,03,111111,08,1,
3,28,009,0001,0067,280501,04,111111,03,1,
3,28,009,0001,0067,280501,05,111111,02,1,
3,28,038,0001,1137,280505,01,111111,04,1,
3,28,038,0001,1137,280505,02,111111,02,1,
3,28,038,0001,1137,280505,03,111111,10,1,
3,28,038,0001,1137,280505,04,111111,05,1,
3,28,038,0001,1137,280505,05,111111,04,1,
3,28,003,0122,124A,280507,01,111111,04,1,
3,28,003,0122,124A,280507,02,111111,04,1,
3,28,003,0122,124A,280507,04,111111,04,1,
3,28,003,0122,124A,280507,05,111111,04,1,
3,28,038,0001,0425,280511,01,111111,05,1,
3,28,038,0001,0425,280511,02,111111,06,1,
3,28,038,0001,0425,280511,03,111111,02,1,
3,28,038,0001,0425,280511,04,111111,06,1,
3,28,038,0001,0425,280511,05,111111,04,1,
3,28,038,0001,0196,280536,01,111111,02,1,
3,28,038,0001,0196,280536,02,111111,03,1,
3,28,038,0001,0196,280536,05,111111,02,1,
3,28,038,0001,1211,280548,01,111111,05,1,
3,28,038,0001,1211,280548,02,111111,05,1,
3,28,038,0001,1211,280548,03,111111,04,1,
3,28,038,0001,1211,280548,04,111111,04,1,
3,28,038,0001,1211,280548,05,111111,03,1,
3,28,009,0001,1046,280567,01,111111,05,1,
3,28,009,0001,1046,280567,02,111111,06,1,
3,28,009,0001,1046,280567,04,111111,03,1,
