"TPREG,C,1","ENTIDAD,C,2","MUNICIPIO,C,3","LOCALIDAD,C,4","AGEB,C,4","NUMCONTROL,C,6","VIVSEL,C,2","IDHOGAR,C,6","NUMREN,C,2","PARENTE,C,1","SEXO,C,1","EDAD,C,3","DIA,C,2","MES,C,2","ELIGIBI,C,1","ALFABE,C,1","ASISTEN,C,1","NIVEL,C,2","ANIOS,C,1","ANTECE,C,1","SITCONY,C,1","CONDACT,C,1","VERIFAC,C,1","FACVIV,N,10,0"
4,03,003,0001,3072,030002,01,111111,01,1,2,035,06,02,1,1,2,04,1,,2,1,,470
4,03,003,0001,3072,030002,01,111111,02,3,1,012,09,01,0,1,1,02,5,,6,4,5,470
4,03,003,0001,3072,030002,01,111111,03,3,2,010,08,02,0,1,1,02,5,,,,,470
4,03,003,0001,3072,030002,01,111111,04,3,2,002,13,11,0,,,,,,,,,470
4,03,003,0001,3072,030002,02,111111,01,1,1,066,16,11,1,1,2,02,3,,5,6,5,470
4,03,003,0001,3072,030002,02,111111,02,2,2,058,14,09,0,1,2,06,2,1,5,5,5,470
4,03,003,0001,3072,030002,02,111111,03,3,1,037,23,10,0,1,2,06,1,1,3,1,,470
4,03,003,0001,3072,030002,02,111111,04,3,2,014,16,08,0,1,1,03,1,,6,4,5,470
4,03,003,0001,3072,030002,03,111111,01,1,2,034,02,09,1,1,2,07,1,3,6,1,,470
4,03,003,0001,3072,030002,03,111111,02,3,1,008,16,11,0,1,1,02,1,,,,,470
4,03,003,0001,3072,030002,03,111111,03,3,1,000,08,05,0,,,,,,,,,470
4,03,003,0001,3072,030002,04,111111,01,1,1,055,02,08,0,1,2,02,6,,5,1,,470
4,03,003,0001,3072,030002,04,111111,02,2,2,048,27,01,0,1,2,02,6,,5,5,5,470
4,03,003,0001,3072,030002,04,111111,03,3,1,027,08,08,0,1,2,02,6,,6,8,5,470
4,03,003,0001,3072,030002,04,111111,04,3,2,026,02,02,0,1,2,07,4,3,6,3,5,470
4,03,003,0001,3072,030002,04,111111,05,3,1,018,20,02,0,1,1,04,3,,6,4,2,470
4,03,003,0001,3072,030002,04,111111,06,3,2,021,04,04,0,1,1,07,3,3,6,4,5,470
4,03,003,0001,3072,030002,04,111111,07,3,1,024,05,11,1,1,2,07,5,3,6,1,,470
4,03,003,0001,3072,030002,05,111111,01,1,2,020,16,08,1,1,1,07,1,3,6,4,5,470
4,03,003,0001,3072,030002,05,111111,02,7,1,023,18,02,0,1,1,07,1,3,6,4,5,470
4,03,003,0001,3072,030002,05,111111,03,7,1,022,17,04,0,1,1,07,1,3,6,4,5,470
4,03,003,0001,3072,030002,05,111111,04,7,2,019,08,07,0,1,1,07,1,3,6,4,5,470
4,03,003,0001,1979,030007,02,111111,01,1,1,075,12,10,0,1,2,00,0,,4,8,5,465
4,03,003,0001,1979,030007,02,111111,02,3,1,041,26,02,0,1,2,07,5,3,6,1,,465
4,03,003,0001,1979,030007,02,111111,03,3,1,038,23,10,1,1,2,07,5,3,6,1,,465
4,03,003,0001,1979,030007,02,111111,04,4,1,018,15,05,0,1,1,04,3,,6,4,5,465
4,03,003,0001,1979,030007,02,111111,05,4,1,010,03,03,0,1,1,02,3,,,,,465
4,03,003,0001,1979,030007,02,111111,06,4,2,008,25,12,0,1,1,02,2,,,,,465
4,03,003,0001,1979,030007,02,111111,07,4,1,005,03,12,0,2,1,01,2,,,,,465
4,03,003,0001,1979,030007,03,111111,01,1,1,037,22,01,1,1,2,07,1,3,5,1,,465
4,03,003,0001,1979,030007,03,111111,02,2,2,038,16,12,0,1,2,08,2,4,5,1,,465
4,03,003,0001,1979,030007,03,111111,03,3,1,014,01,03,0,1,1,03,2,,6,4,5,465
4,03,003,0001,1979,030007,03,111111,04,3,2,009,24,01,0,1,1,02,3,,,,,465
4,03,003,0001,1979,030007,03,111111,05,3,1,004,23,01,0,,,,,,,,,465
4,03,003,0001,1979,030007,04,111111,01,1,2,053,10,08,1,1,2,02,6,,1,5,5,465
4,03,003,0001,1979,030007,04,111111,02,2,1,045,06,01,0,1,2,02,6,,1,1,,465
4,03,003,0001,2267,030030,02,111111,01,1,1,061,04,09,1,1,2,07,3,3,5,6,5,418
4,03,003,0001,2267,030030,02,111111,02,2,2,057,31,08,0,1,2,06,3,2,5,5,5,418
4,03,003,0001,2267,030030,02,111111,03,3,2,037,08,06,0,1,2,03,3,,2,8,5,418
4,03,003,0001,2267,030030,02,111111,04,3,1,011,16,06,0,1,1,02,5,,,,,418
4,03,003,0001,2267,030030,02,111111,05,4,1,016,20,06,0,1,1,04,1,,6,8,5,418
4,03,003,0001,2267,030030,02,111111,06,4,1,000,30,01,0,,,,,,,,,418
4,03,003,0001,2267,030030,03,111111,01,1,2,066,30,10,1,1,2,02,5,,4,5,5,418
4,03,003,0001,2267,030030,03,111111,02,3,1,039,10,06,0,1,2,04,3,,6,1,,418
4,03,003,0001,2267,030030,03,111111,03,3,1,036,05,09,0,1,2,04,3,,6,8,5,418
4,03,003,0001,2267,030030,04,111111,01,1,1,054,24,11,0,1,2,06,3,2,5,1,,418
4,03,003,0001,2267,030030,04,111111,02,2,2,053,10,02,1,1,2,07,3,3,5,1,,418
4,03,003,0001,2267,030030,05,111111,01,1,1,050,24,06,1,1,2,08,2,4,5,1,,418
4,03,003,0001,2267,030030,05,111111,02,2,2,040,29,05,0,1,2,03,3,,5,5,5,418
4,03,003,0001,2267,030030,05,111111,03,3,2,015,17,01,0,1,1,04,1,,6,4,5,418
4,03,003,0001,2267,030030,05,111111,04,3,2,013,14,04,0,1,1,03,1,,6,4,5,418
4,03,003,0001,3068,030033,01,111111,01,1,1,045,01,12,0,1,2,02,6,,5,1,,508
4,03,003,0001,3068,030033,01,111111,02,2,2,046,09,05,0,1,2,06,3,2,5,5,5,508
4,03,003,0001,3068,030033,01,111111,03,3,1,024,26,05,0,1,2,04,3,,6,1,,508
4,03,003,0001,3068,030033,01,111111,04,3,1,022,08,09,0,1,2,03,3,,6,1,,508
4,03,003,0001,3068,030033,01,111111,05,3,2,019,21,09,1,1,2,03,3,,6,8,5,508
4,03,003,0001,3068,030033,01,111111,06,3,2,015,15,07,0,1,1,03,3,,6,4,5,508
4,03,003,0001,3068,030033,02,111111,01,1,1,046,27,09,0,1,2,03,2,,5,1,,508
4,03,003,0001,3068,030033,02,111111,02,2,2,039,03,06,0,1,2,03,3,,5,5,5,508
4,03,003,0001,3068,030033,02,111111,03,3,2,018,16,10,1,1,1,04,3,,6,4,2,508
4,03,003,0001,3068,030033,02,111111,04,3,2,017,26,08,0,1,1,04,2,,6,4,5,508
4,03,003,0001,3068,030033,03,111111,01,1,2,040,02,03,0,1,2,03,3,,3,1,,508
4,03,003,0001,3068,030033,03,111111,02,3,1,021,04,09,1,1,1,07,2,3,1,4,5,508
4,03,003,0001,3068,030033,03,111111,03,3,2,015,13,08,0,1,1,03,3,,6,4,5,508
4,03,003,0001,3068,030033,04,111111,01,1,1,047,02,02,0,1,2,05,4,2,5,1,,508
4,03,003,0001,3068,030033,04,111111,02,2,2,042,14,10,0,1,2,02,6,,5,5,1,508
4,03,003,0001,3068,030033,04,111111,03,3,2,019,21,11,1,1,1,04,3,,6,4,1,508
4,03,003,0001,3068,030033,04,111111,04,3,2,013,12,04,0,2,1,02,4,,6,4,5,508
4,03,003,0001,3068,030033,05,111111,01,1,1,044,20,03,0,1,2,03,3,,5,1,,508
4,03,003,0001,3068,030033,05,111111,02,2,2,042,11,07,0,1,2,03,3,,5,1,,508
4,03,003,0001,3068,030033,05,111111,03,3,2,022,29,08,1,1,2,03,2,,6,1,,508
4,03,003,0001,3068,030033,05,111111,04,3,1,019,27,05,0,1,2,03,2,,6,1,,508
4,03,003,0001,3068,030033,05,111111,05,3,2,012,06,02,0,1,1,02,5,,6,4,5,508
4,03,003,0001,3068,030033,05,111111,06,3,1,008,22,01,0,1,1,02,2,,,,,508
4,03,003,0001,3369,030035,01,111111,01,1,1,037,01,09,0,1,2,04,3,,5,1,,499
4,03,003,0001,3369,030035,01,111111,02,2,2,035,12,10,1,1,2,06,3,2,5,1,,499
4,03,003,0001,3369,030035,01,111111,03,3,2,015,20,01,0,1,1,03,3,,6,4,5,499
4,03,003,0001,3369,030035,01,111111,04,3,2,012,10,08,0,1,1,02,5,,6,4,5,499
4,03,003,0001,3369,030035,01,111111,05,3,1,002,13,09,0,,,,,,,,,499
4,03,003,0001,3369,030035,02,111111,01,1,1,030,26,01,0,1,2,07,5,3,5,1,,499
4,03,003,0001,3369,030035,02,111111,02,2,2,032,14,10,1,1,2,07,5,3,5,5,5,499
4,03,003,0001,3369,030035,02,111111,03,3,2,006,04,11,0,2,1,01,3,,,,,499
4,03,003,0001,3369,030035,03,111111,01,1,1,026,25,01,0,1,2,04,2,,5,1,,499
4,03,003,0001,3369,030035,03,111111,02,2,2,024,06,02,1,1,2,03,3,,5,5,5,499
4,03,003,0001,3369,030035,03,111111,03,3,2,005,29,10,0,2,1,01,1,,,,,499
4,03,003,0001,3369,030035,03,111111,04,3,1,000,05,01,0,,,,,,,,,499
4,03,003,0001,3369,030035,04,111111,01,1,2,040,25,09,1,1,2,04,3,,3,2,,499
4,03,003,0001,3369,030035,04,111111,02,3,2,012,21,03,0,1,1,02,6,,6,4,5,499
4,03,003,0001,3369,030035,04,111111,03,3,1,011,28,03,0,1,1,02,5,,,,,499
4,03,003,0001,3369,030035,05,111111,01,1,1,041,24,05,0,1,2,03,3,,1,1,,499
4,03,003,0001,3369,030035,05,111111,02,2,2,031,29,07,0,1,2,06,3,2,1,1,,499
4,03,003,0001,3369,030035,05,111111,03,4,1,052,06,11,1,1,2,06,3,2,5,1,,499
4,03,003,0001,3369,030035,05,111111,04,4,2,053,25,05,0,1,2,02,6,,5,5,5,499
4,03,003,0001,3369,030035,05,111111,05,4,1,029,10,05,0,1,2,03,3,,6,1,,499
4,03,003,0001,3369,030035,05,111111,06,3,2,005,25,09,0,2,1,01,1,,,,,499
4,03,003,0001,327A,030056,01,111111,01,1,1,047,26,06,1,1,2,02,4,,5,1,,518
4,03,003,0001,327A,030056,01,111111,02,2,2,040,24,06,2,1,2,03,3,,5,1,,518
4,03,003,0001,327A,030056,01,111111,03,4,1,028,17,05,0,1,2,03,3,,6,1,,518
4,03,003,0001,327A,030056,01,111111,04,3,2,019,14,02,0,1,2,03,3,,6,1,,518
4,03,003,0001,327A,030056,01,111111,05,3,2,009,03,11,0,1,1,02,2,,,,,518
4,03,003,0001,327A,030056,01,111111,06,3,2,001,28,06,0,,,,,,,,,518
4,03,003,0001,327A,030056,02,111111,01,1,1,030,23,04,1,1,2,02,5,,5,1,,518
4,03,003,0001,327A,030056,02,111111,02,2,2,027,07,04,2,1,2,03,3,,5,5,5,518
4,03,003,0001,327A,030056,02,111111,03,3,1,009,27,05,0,1,1,02,3,,,,,518
4,03,003,0001,327A,030056,02,111111,04,3,1,007,05,10,0,2,1,02,2,,,,,518
4,03,003,0001,327A,030056,02,111111,05,3,1,003,19,06,0,,,,,,,,,518
4,03,003,0001,327A,030056,03,111111,01,1,1,039,22,03,0,1,2,03,3,,5,1,,518
4,03,003,0001,327A,030056,03,111111,02,2,2,040,21,09,1,1,2,03,3,,5,5,5,518
4,03,003,0001,327A,030056,03,111111,03,3,1,016,31,01,0,1,1,03,3,,6,4,5,518
4,03,003,0001,327A,030056,04,111111,01,1,1,036,06,05,0,2,2,00,0,,5,1,,518
4,03,003,0001,327A,030056,04,111111,02,2,2,038,19,06,1,1,2,02,6,,5,5,3,518
4,03,003,0001,327A,030056,05,111111,01,1,1,031,07,09,1,1,2,03,3,,5,2,,518
4,03,003,0001,327A,030056,05,111111,02,2,2,026,10,04,0,1,2,04,3,,5,1,,518
4,03,003,0001,327A,030056,05,111111,03,3,2,007,02,10,0,1,1,02,1,,,,,518
4,03,003,0001,327A,030056,05,111111,04,3,1,003,05,10,0,,,,,,,,,518
4,03,003,0001,327A,030056,05,111111,05,3,2,001,04,09,0,,,,,,,,,518
4,03,003,0001,3373,030082,04,111111,01,1,1,048,26,06,0,1,2,05,5,3,5,1,,662
4,03,003,0001,3373,030082,04,111111,02,2,2,044,06,09,1,1,2,05,2,2,5,1,,662
4,03,003,0001,3373,030082,04,111111,03,3,2,024,29,11,0,1,2,07,5,3,6,1,,662
4,03,003,0001,3373,030082,04,111111,04,3,1,012,17,02,0,1,1,03,1,,6,4,5,662
4,03,003,0001,3373,030082,04,111111,05,3,1,006,04,04,0,2,1,01,2,,,,,662
4,03,003,0001,3373,030082,05,111111,01,1,1,049,31,10,0,1,2,02,3,,1,1,,662
4,03,003,0001,3373,030082,05,111111,02,2,2,048,31,08,0,1,2,03,3,,1,5,5,662
4,03,003,0001,3373,030082,05,111111,03,3,1,019,11,11,1,1,2,03,3,,6,1,,662
4,03,003,0001,3373,030082,05,111111,04,3,1,014,04,02,0,2,2,02,6,,6,1,,662
