"RESENT,C,2","EDAD,C,3","SEXO,C,1","TPREG,C,1","ENTIDAD,C,2","MUNICIPIO,C,3","LOCALIDAD,C,4","AGEB,C,4","NUMCONTROL,C,6","VIVSEL,C,2","IDHOGAR,C,6","NUMREN,C,2","NIVELINS,C,2","NIVELANI,C,2","ANTECE,C,1","NOMCARR,C,80","TIPOESC,C,1","BIOLOGIA,C,1","FISICA,C,1","QUIMICA,C,1","MATEMA,C,1","ACTUALES,C,1","CIENTIF1,C,1","INGEN1,C,1","CIENTIF2,C,1","INGEN2,C,1","CONDACT,C,1","VERIACT,C,1","POSACT,C,1","TAREASYF,C,50","OCUPACION,C,2","NOMBREMP,C,50","ACTIECO,C,2","ACTICIEN,C,1","FACPER,N,10,0"
01,035,2,5,03,003,0001,3072,030002,01,111111,01,04,01,2,PREPARATORIA,2,,,,,2,,,2,2,1,,1,LIMPIEZA DE OFICINA EN GOBIERNO,81,AYUNTAMIENTO DE LA PAZ,93,2,1319
01,066,1,5,03,003,0001,3072,030002,02,111111,01,02,03,,,,,,,,,,,,,6,5,,,,,,,1184
01,034,2,5,03,003,0001,3072,030002,03,111111,01,07,01,3,LICENCIADO EN DERECHO,1,2,2,2,2,2,,,2,1,1,,1,PROGRAMA CURSOS DE CAPACITACION EMPRESARIAL,12,CAMA DE COMERCIO Y SERVICIOS DE TURISMO DE LA PAZ,81,2,1319
01,024,1,5,03,003,0001,3072,030002,04,111111,07,07,05,3,GEOLOGIA MARINA,1,1,1,1,1,2,,,2,1,1,,1,REVICION DE EXAMENES DE GEODESIA Y ASESORIA,13,UNIVERSIDAD AUTONOMA DE BAJA CALIFORNIA SUR,61,1,1184
01,020,2,5,03,003,0001,3072,030002,05,111111,01,07,01,3,INGENIERIA EN TECNOLOGIA COMPUTACIONAL,1,2,1,2,1,1,2,1,,,4,5,,,,,,,1319
01,038,1,5,03,003,0001,1979,030007,02,111111,03,07,05,3,licenciatura en educacion especial,1,2,2,2,2,2,,,1,2,1,,1,coordinador de actividades docentes,21,centro de atencion multiple,61,1,1172
01,037,1,5,03,003,0001,1979,030007,03,111111,01,07,01,3,LICENCIATURA EN ECONOMIA,1,2,2,2,1,2,,,1,2,1,,4,TRANSPORTACION DE NI�OS A LA ESCUELA EN GENERAL,55,UNION DE TRANSPORTISTAS DE SERVICIO ESCOLAR,48,2,1172
01,053,2,5,03,003,0001,1979,030007,04,111111,01,02,06,,,,,,,,,,,,,5,5,,,,,,,1305
01,061,1,5,03,003,0001,2267,030030,02,111111,01,07,03,3,LINCECIATURA EN MATEMATICAS,1,2,2,2,1,2,,,2,1,6,5,,,,,,,1045
01,066,2,5,03,003,0001,2267,030030,03,111111,01,02,05,,,,,,,,,,,,,5,5,,,,,,,1045
01,053,2,5,03,003,0001,2267,030030,04,111111,02,07,03,3,psicologia integral del ser humano,1,1,1,1,1,2,,,2,2,1,,6,,,,,,1045
01,050,1,5,03,003,0001,2267,030030,05,111111,01,08,02,4,maestria en administracion financiera,2,2,2,2,1,2,,,2,2,1,,1,localizacion de clientes y proovedores,21,colodines marinos naturales,54,1,1045
01,019,2,5,03,003,0001,3068,030033,01,111111,05,03,03,,,,,,,,,,,,,8,5,,,,,,,1143
01,018,2,5,03,003,0001,3068,030033,02,111111,03,04,03,2,PREPARATORIA,1,,,,,1,2,2,,,4,2,1,COBRO POR CONSUMO DE ALIMENTOS Y BEBIDAS EN COMP.,62,HOTEL 7 CROWN,72,2,1143
01,021,1,5,03,003,0001,3068,030033,03,111111,02,07,02,3,LICENCIADO EN ADMINISTRACION PUBLICA,1,1,1,1,1,1,1,2,,,4,5,,,,,,,4064
01,019,2,5,03,003,0001,3068,030033,04,111111,03,04,03,2,PREPARATORIA,1,,,,,1,2,1,,,4,1,4,VENTA DE ROPA Y CALZADO CATALOGO,71,SURAT,46,2,1143
01,022,2,5,03,003,0001,3068,030033,05,111111,03,03,02,,,,,,,,,,,,,1,,1,VENTA DE BOLETOS DE ADMISION EXPO INDUSTRIAL Y COM,62,PARTICULAR SIN NOMBRE,81,2,1143
01,035,2,5,03,003,0001,3369,030035,01,111111,02,06,03,2,SECRETARIA EJECUTIVA Y AUXILIAR CONTABLE,1,,,,,2,,,2,2,1,,1,TOMAR DICTADOS ARCHIVAR ELABORAR ESCRITOS,62,AYALA INGENIEROS Y ASOCIADOS SA DE CV,23,2,1401
01,032,2,5,03,003,0001,3369,030035,02,111111,02,07,05,3,contaduria publica,1,2,2,2,1,2,,,1,2,5,5,,,,,,,1401
01,024,2,5,03,003,0001,3369,030035,03,111111,02,03,03,,,,,,,,,,,,,5,5,,,,,,,1401
01,040,2,5,03,003,0001,3369,030035,04,111111,01,04,03,2,PREPARATORIA,1,,,,,2,,,2,1,2,,1,ATENCION AL PUBLICO,62,IMSS,93,2,1401
01,052,1,5,03,003,0001,3369,030035,05,111111,03,06,03,2,CONTABILIDAD,1,,,,,2,,,2,1,1,,1,ELABORACION DE ACTAS DEL REGISTRO CIVIL EN COMP,61,DIRECCION ESTATAL DEL REGISTRO CIVIL,93,2,1257
01,040,2,5,03,003,0001,327A,030056,01,111111,02,03,03,,,,,,,,,,,,,1,,5,DUE�A NEGOCIO ARTICULOS DE SEGUNDA,71,SEGUNDA FORJADORES,46,2,956
01,027,2,5,03,003,0001,327A,030056,02,111111,02,03,03,,,,,,,,,,,,,5,5,,,,,,,956
01,040,2,5,03,003,0001,327A,030056,03,111111,02,03,03,,,,,,,,,,,,,5,5,,,,,,,956
01,038,2,5,03,003,0001,327A,030056,04,111111,02,02,06,,,,,,,,,,,,,5,3,6,,,,,,956
01,031,1,5,03,003,0001,327A,030056,05,111111,01,03,03,,,,,,,,,,,,,2,,1,REPARACION DE FUGAS DE AGUA,54,SISTEMA DE AGUA POTABLE Y ALCANTARILLADO,22,2,3924
01,044,2,5,03,003,0001,3373,030082,04,111111,02,05,02,2,MAESTRA,1,,,,,2,,,1,2,1,,1,ELABORA DOCUMENTACION ESCOLAR,62,CECATI 39,61,2,1858
01,019,1,5,03,003,0001,3373,030082,05,111111,03,03,03,,,,,,,,,,,,,1,,1,LIMPIEZA Y MANTENIMIENTO,52,TIENDA DEPARTAMENTAL EL AGUILA,46,2,1668
01,024,2,5,03,003,0001,3481,030087,01,111111,02,03,01,,,,,,,,,,,,,5,5,,,,,,,165
01,036,2,5,03,003,0001,3481,030087,02,111111,02,03,03,,,,,,,,,,,,,5,5,,,,,,,165
01,063,1,5,03,003,0001,3481,030087,03,111111,01,02,03,,,,,,,,,,,,,1,,3,LIMPIEZA DE TERRENO RECOGER BASURA ESCOMBRO MANUAL,81,SIN NOMBRE,56,2,372
01,046,1,5,03,003,0001,3481,030087,04,111111,01,04,03,2,PREPARATORIA,2,,,,,2,,,2,1,1,,4,PINTAR CASAS ALBA�ILERIA IMPERMEABILIZACION A MANO,52,SIN NOMBRE,23,2,372
01,034,2,5,03,003,0001,3481,030087,05,111111,02,03,03,,,,,,,,,,,,,1,,4,COCINERA EN COCINA INDUSTRIAL,81,DESAYUNOS Y COMIDA DO�A NICHA,72,2,165
01,043,2,5,03,003,0001,3208,030088,01,111111,01,06,03,1,,,,,,,,,,,,1,,1,LIMPIEZA DE OFICINAS DE HACIENDA Y UN BANCO,81,ISOSA,56,2,974
01,021,2,5,03,003,0001,3208,030088,02,111111,02,03,01,,,,,,,,,,,,,5,3,1,HACER TORTILLAS DE HARINA A MANO EN COMAL,52,SIN NOMBRE,31,2,974
01,018,2,5,03,003,0001,3208,030088,03,111111,03,04,01,2,BACHILLERATO,1,,,,,1,2,2,,,4,5,,,,,,,974
01,020,2,5,03,003,0001,3208,030088,04,111111,04,07,03,3,TURISMO INTERNACIONAL,2,1,1,1,1,1,2,1,,,4,5,,,,,,,974
01,020,1,5,03,003,0001,3208,030088,05,111111,01,04,01,2,PREPARATORIA,1,,,,,2,,,2,1,1,,4,MATENIMIENTO DE UN BARCO ENSERAR BARCOS LAVARLOS,81,MARINA PALMIRA,93,1,4000
01,029,2,5,03,003,0001,2017,030097,01,111111,01,02,06,,,,,,,,,,,,,5,5,,,,,,,1252
01,021,1,5,03,003,0001,2017,030097,02,111111,02,03,03,,,,,,,,,,,,,1,,1,VIGILANCIA GUARDIA EN EL EDIFICIO DEL BATALLON DE,83,EJERCITO MEXICANO NACIONAL,93,2,1124
01,076,2,5,03,003,0001,2017,030097,04,111111,04,06,03,1,,,,,,,,,,,,8,5,,,,,,,1252
01,031,2,5,03,003,0001,2017,030097,05,111111,02,03,03,,,,,,,,,,,,,1,,1,HACER SALSA ATENDER A LOS CLIENTES,81,MRS. FISH,72,2,1252
01,046,2,5,03,003,0001,1926,030109,01,111111,02,06,03,1,,,,,,,,,,,,1,,1,LIMPIEZA DE CASA PARTICULAR LAVA PLANCHA COMIDA,82,SIN NOMBRE,81,2,878
01,018,1,5,03,003,0001,1926,030109,02,111111,07,03,02,,,,,,,,,,,,,1,,1,LIMPIEZA DE LAS CALLES DE LA CIUDAD DE LA PAZ B.C.,81,AYUNTAMIENTO DE LA CIUDAD DE LA PAZ B.C.S.,93,3,3606
01,038,1,5,03,003,0001,1926,030109,03,111111,01,04,03,2,TECNICO EN REFRIGERACION,1,,,,,2,,,2,1,1,,4,REPARACION DE REFRIGERADORES DOMESTICOS,12,SIN NOMBRE,81,2,3606
