"RESENT,C,2","EDAD,C,3","SEXO,C,1","TPREG,C,1","ENTIDAD,C,2","MUNICIPIO,C,3","LOCALIDAD,C,4","AGEB,C,4","NUMCONTROL,C,6","VIVSEL,C,2","IDHOGAR,C,6","RADIO,C,1","PERYREV,C,1","REVCIEN,C,1","INTERNET,C,1","TELEVI,C,1","ESCUNIV,C,1","ALLOPTS,C,1","NONEOP,C,1","NOSABE,C,1","HRSTV,C,3","NOTITV,C,3","CYTTV,C,3","HRSRADIO,C,3","NOTIRA,C,3","CYTRA,C,3","DIASPER,C,1","ARTIPER,C,3","NOTIPER,C,3","CYTPER,C,3","DIASREV,C,2","ARTREV,C,2","NOTIREV,C,2","CYTREV,C,2","REVISTA1,C,30","REVISTA2,C,30","REVISTA3,C,30","ACCOMPU,C,1","LUGAR1,C,2","LUGAR2,C,2","CINTERN,C,1","ACCINTER,C,1","HORASIN,C,3","ARTEYHUM,C,1","SOCYCUL,C,1","CONVERTR,C,1","INSTGOB,C,1","CIENCIA,C,1","DEPOR,C,1","ECOYFIN,C,1","ENTRETE,C,1","TECNOL,C,1","NOTIAC,C,1","EDUCA,C,1","SERVSREF,C,1","COMENLI,C,1","CORREOE,C,1","MEDICINA,C,1","OTROS,C,1","MUSARTE,C,1","ZOO,C,1","BIBLIOPUB,C,1","MUSCYT,C,1","PLANETA,C,1","EXPTYI,C,1","SEMNCYT,C,1","MUCHPCYT,C,1","DESCYTNE,C,1","PERSINCC,C,1","PREFTVSI,C,1","NOLEECYT,C,1","NUMREN,C,2","FACPER,N,10,0"
01,035,2,7,03,003,0001,3072,030002,01,111111,6,5,3,2,4,1,0,0,0,010,005,000,020,015,000,3,012,010,000,00,00,00,00,,,,1,02,00,2,,,,,,,,,,,,,,,,,,,2,1,1,2,1,2,2,3,3,2,2,2,01,1319
01,066,1,7,03,003,0001,3072,030002,02,111111,3,2,6,5,1,4,0,0,0,012,005,000,007,005,000,0,000,000,000,00,00,00,00,,,,2,,,2,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,1,1,3,2,4,01,1184
01,034,2,7,03,003,0001,3072,030002,03,111111,6,5,4,3,2,1,0,0,0,020,005,000,006,005,000,6,002,001,001,00,00,00,00,,,,1,02,00,1,1,048,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,3,2,2,3,01,1319
01,024,1,7,03,003,0001,3072,030002,04,111111,5,4,1,2,6,3,0,0,0,008,001,007,000,000,000,1,003,001,002,05,05,01,04,GEOLOGY,GSA,MICRO PELEONTOLOGY,1,01,02,1,1,030,2,2,2,1,1,2,2,2,1,2,1,1,2,1,2,9,1,1,1,1,2,2,2,3,2,2,2,3,07,1184
01,020,2,7,03,003,0001,3072,030002,05,111111,6,5,2,1,4,3,0,0,0,021,011,000,000,000,000,0,000,000,000,10,07,02,02,QUO,MUY INTERESANTE,COSMOPOLITAN,1,01,03,1,1,005,1,1,1,2,1,2,2,2,1,2,1,1,2,1,2,9,1,1,1,1,1,2,1,2,3,4,4,2,01,1319
01,038,1,7,03,003,0001,1979,030007,02,111111,6,5,3,2,4,1,0,0,0,007,007,000,014,007,003,7,035,014,021,01,20,20,00,NATIONAL GEOGRAPHIC,NEWS WEEK,MUY INTERESANTE,1,01,02,1,1,014,2,1,2,1,1,1,2,2,1,1,1,1,2,1,1,2,2,1,2,1,2,2,2,1,3,2,1,3,03,1172
01,037,1,7,03,003,0001,1979,030007,03,111111,9,9,9,9,9,9,9,9,9,021,008,008,020,012,008,1,003,003,000,02,05,03,00,DESPETAR,MUY INTERESANTE,,1,01,00,1,1,007,2,1,2,1,1,2,1,2,2,1,1,1,2,2,2,2,1,1,1,2,2,1,1,2,3,2,1,2,01,1172
01,053,2,7,03,003,0001,1979,030007,04,111111,4,5,6,2,1,3,0,0,0,042,021,000,000,000,000,0,000,000,000,00,00,00,00,,,,2,,,2,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,5,5,5,5,5,01,1305
01,061,1,7,03,003,0001,2267,030030,02,111111,6,1,5,4,3,2,0,0,0,008,005,001,000,000,000,7,003,001,001,01,06,01,01,SUCESOS,PROCESO,INDICE POLITICO,1,08,00,1,1,001,2,1,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,3,2,2,2,2,01,1045
01,066,2,7,03,003,0001,2267,030030,03,111111,3,1,6,5,2,4,0,0,0,072,007,001,000,000,000,7,007,001,000,00,00,00,00,,,,2,,,2,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,4,3,2,2,01,1045
01,053,2,7,03,003,0001,2267,030030,04,111111,9,9,9,9,9,9,9,9,9,007,006,001,009,009,000,2,006,003,001,02,15,02,02,proceso,selecciones,escala,1,01,02,1,1,021,1,1,1,2,1,2,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,2,2,2,3,2,2,2,02,1045
01,050,1,7,03,003,0001,2267,030030,05,111111,5,3,2,4,6,1,0,0,0,007,007,000,003,003,000,0,000,000,000,00,00,00,00,,,,1,01,02,1,1,084,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,1,2,2,2,2,4,4,1,3,4,01,1045
01,019,2,7,03,003,0001,3068,030033,01,111111,4,2,5,1,3,6,0,0,0,014,001,000,015,000,000,0,000,000,000,03,06,00,00,ATALAYA,DESPERTAD,,1,08,00,1,1,002,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,1,2,3,4,2,2,1,05,1143
01,018,2,7,03,003,0001,3068,030033,02,111111,6,5,1,2,4,3,0,0,0,002,002,000,000,000,000,2,003,003,000,00,00,00,00,,,,1,01,03,1,1,025,2,1,1,1,1,2,2,2,2,1,1,1,2,1,2,2,2,1,1,2,2,1,1,3,3,2,3,2,03,1143
01,021,1,7,03,003,0001,3068,030033,03,111111,4,5,6,3,2,1,0,0,0,014,000,000,000,000,000,0,000,000,000,01,03,01,02,MUY INTERESANTE,XXL SOURS,SELECCIONES,1,08,00,1,1,002,2,2,1,2,2,1,2,1,1,1,1,1,2,1,2,2,1,1,1,2,2,1,2,2,3,2,2,2,02,4064
01,019,2,7,03,003,0001,3068,030033,04,111111,5,2,6,3,4,1,0,0,0,035,010,004,003,000,000,0,000,000,000,00,00,00,00,,,,1,01,03,1,1,099,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,1,2,2,2,2,2,3,2,2,2,03,1143
01,022,2,7,03,003,0001,3068,030033,05,111111,2,3,4,6,1,5,0,0,0,018,003,000,010,003,000,0,000,000,000,02,06,00,00,TV NOVELAS,,,2,,,1,2,,,,,,,,,,,,,,,,,,2,1,2,2,2,1,2,5,5,5,2,1,03,1143
01,035,2,7,03,003,0001,3369,030035,01,111111,3,6,4,1,2,5,0,0,0,008,005,000,000,000,000,5,005,005,000,00,00,00,00,,,,1,01,02,1,1,010,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,1,2,2,1,2,3,2,3,1,2,02,1401
01,032,2,7,03,003,0001,3369,030035,02,111111,5,4,6,2,3,1,0,0,0,021,004,000,007,000,000,2,002,002,000,02,03,01,00,buen hogar,vanidades,,2,,,1,2,,,,,,,,,,,,,,,,,,2,1,1,2,2,2,2,3,4,2,2,2,02,1401
01,024,2,7,03,003,0001,3369,030035,03,111111,3,4,6,1,2,5,0,0,0,035,020,000,007,000,000,1,004,002,000,04,30,14,12,despertar,atalaya,,2,,,1,1,004,2,2,2,2,1,2,2,1,1,1,2,1,2,1,2,2,1,1,1,2,2,2,2,3,3,2,1,3,02,1401
01,040,2,7,03,003,0001,3369,030035,04,111111,3,4,5,2,6,1,0,0,0,006,005,000,028,003,000,0,000,000,000,02,18,01,03,SELECCIONES,NATIONAL GEOGRAPHIC,VANIDADES,1,01,00,1,1,001,2,2,2,2,9,1,2,1,2,1,1,1,2,1,1,2,1,1,1,2,2,2,2,3,2,2,3,3,01,1401
01,052,1,7,03,003,0001,3369,030035,05,111111,1,2,6,5,4,3,0,0,0,008,005,000,006,003,000,1,003,001,000,00,00,00,00,,,,1,02,00,1,1,040,2,1,2,1,2,1,1,1,2,1,1,1,1,1,2,2,2,1,1,2,2,2,2,3,3,2,3,2,03,1257
01,040,2,7,03,003,0001,327A,030056,01,111111,5,6,3,2,4,1,0,0,0,021,007,002,028,002,000,0,000,000,000,03,05,00,00,TV Y NOVELAS,,,2,,,1,2,,,,,,,,,,,,,,,,,,1,1,2,9,2,2,2,2,3,2,2,2,02,956
01,027,2,7,03,003,0001,327A,030056,02,111111,2,3,6,5,1,4,0,0,0,014,014,000,035,002,000,0,000,000,000,00,00,00,00,,,,2,,,1,2,,,,,,,,,,,,,,,,,,2,1,2,2,2,2,2,3,3,3,2,3,02,956
01,040,2,7,03,003,0001,327A,030056,03,111111,3,5,6,2,4,1,0,0,0,014,014,000,014,000,000,0,000,000,000,00,00,00,00,,,,2,,,2,,,,,,,,,,,,,,,,,,,2,1,2,2,2,1,2,2,3,4,1,2,02,956
01,038,2,7,03,003,0001,327A,030056,04,111111,5,6,3,2,4,1,0,0,0,021,003,000,000,000,000,0,000,000,000,00,00,00,00,,,,2,,,1,2,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,3,2,2,2,02,956
01,031,1,7,03,003,0001,327A,030056,05,111111,6,3,4,2,5,1,0,0,0,014,014,000,014,014,000,0,000,000,000,01,03,02,00,MUY INTERESANTE,SELECCIONES,,2,,,1,2,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,3,3,3,2,2,01,3924
01,044,2,7,03,003,0001,3373,030082,04,111111,1,2,5,4,3,6,0,0,0,028,007,001,050,015,000,3,003,002,000,00,00,00,00,,,,1,02,00,1,1,010,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,1,2,2,2,2,3,3,2,2,2,02,1858
01,019,1,7,03,003,0001,3373,030082,05,111111,2,4,3,6,1,5,0,0,0,015,005,000,014,003,000,0,000,000,000,01,04,02,00,,,,1,08,11,1,1,004,2,2,1,2,1,1,2,1,1,1,2,2,1,2,1,2,2,2,2,2,2,2,1,3,3,3,2,2,03,1668
01,024,2,7,03,003,0001,3481,030087,01,111111,5,3,6,2,4,1,0,0,0,000,000,000,000,000,000,1,002,002,000,00,00,00,00,,,,2,,,2,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,3,3,2,2,02,165
