"RESENT,C,2","EDAD,C,3","SEXO,C,1","TPREG,C,1","ENTIDAD,C,2","MUNICIPIO,C,3","LOCALIDAD,C,4","AGEB,C,4","NUMCONTROL,C,6","VIVSEL,C,2","IDHOGAR,C,6","SABECONACY,C,1","TELE,C,1","RADIO,C,1","PEROREV,C,1","LIBROS,C,1","INTERNET,C,1","OTROS,C,1","NOSABECONA,C,1","PUREVCIETE,C,1","DIFACTCYTM,C,1","FINEMPDEST,C,1","APOPROYCUL,C,1","BECAPOSG,C,1","INVEST,C,1","FININVUNI,C,1","CONSESC,C,1","OTRAS,C,1","TEXTO,C,30","OPNCONA,C,1","BECPOSNAC,C,1","BECPOSEXT,C,1","BECESTTEC,C,1","INCINVDES,C,1","FONMIX,C,1","FONSEC,C,1","FONINS,C,1","PROAVA,C,1","SISNACINV,C,1","REDCON,C,1","COOPINST,C,1","REGNACCIEN,C,1","SISINFCIET,C,1","INFEDOCIET,C,1","APOYINV,C,1","SISNACINV2,C,1","BECPOS,C,1","APODESTEC,C,1","PROGRETREP,C,1","PRIOCONA,C,1","RELCONCIEN,C,1","POLACTCONA,C,1","OBSERVACIO,C,254","NUMREN,C,2","FACPER,N,10,0"
01,035,2,C,03,003,0001,3072,030002,01,111111,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,1319
01,066,1,C,03,003,0001,3072,030002,02,111111,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,1184
01,034,2,C,03,003,0001,3072,030002,03,111111,1,1,0,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,1319
01,024,1,C,03,003,0001,3072,030002,04,111111,1,0,0,0,1,1,0,1,1,1,2,2,1,1,1,2,2,,2,1,1,1,2,1,2,1,1,1,1,1,2,2,1,2,3,1,2,5,4,3,2,,07,1184
01,020,2,C,03,003,0001,3072,030002,05,111111,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,1319
01,038,1,C,03,003,0001,1979,030007,02,111111,1,0,1,0,0,0,0,1,1,1,3,3,1,1,1,2,2,,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,1,1,1,1,1,3,3,3,,03,1172
01,037,1,C,03,003,0001,1979,030007,03,111111,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,4,3,1,1,,01,1172
01,053,2,C,03,003,0001,1979,030007,04,111111,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,1305
01,061,1,C,03,003,0001,2267,030030,02,111111,1,0,0,1,0,0,0,1,1,1,2,1,1,3,1,2,2,,2,1,1,1,2,2,2,2,2,1,2,2,2,2,1,1,1,1,1,5,3,3,1,,01,1045
01,066,2,C,03,003,0001,2267,030030,03,111111,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,1045
01,053,2,C,03,003,0001,2267,030030,04,111111,1,1,1,0,0,1,0,1,3,1,3,1,3,1,1,3,2,,2,1,1,3,1,3,3,3,1,1,1,3,3,3,1,2,2,1,2,6,3,2,2,,02,1045
01,050,1,C,03,003,0001,2267,030030,05,111111,1,0,0,0,0,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,1045
01,019,2,C,03,003,0001,3068,030033,01,111111,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,1143
01,018,2,C,03,003,0001,3068,030033,02,111111,1,0,0,0,0,1,0,1,1,1,1,2,1,1,1,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,3,2,1,,03,1143
01,021,1,C,03,003,0001,3068,030033,03,111111,1,1,1,0,0,0,0,1,1,1,2,2,2,1,1,2,2,,2,2,1,3,1,3,3,1,1,1,3,3,1,1,1,1,1,1,1,2,4,2,1,,02,4064
01,019,2,C,03,003,0001,3068,030033,04,111111,1,1,0,0,0,0,0,1,1,1,3,2,2,1,1,2,2,,2,2,2,2,1,2,2,2,2,3,2,2,2,3,3,2,2,1,2,2,3,2,1,,03,1143
01,022,2,C,03,003,0001,3068,030033,05,111111,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03,1143
01,035,2,C,03,003,0001,3369,030035,01,111111,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,1401
01,032,2,C,03,003,0001,3369,030035,02,111111,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,1401
01,024,2,C,03,003,0001,3369,030035,03,111111,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,1401
01,040,2,C,03,003,0001,3369,030035,04,111111,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,1401
01,052,1,C,03,003,0001,3369,030035,05,111111,1,1,0,0,0,0,0,1,1,1,1,2,2,1,1,2,2,,2,2,2,2,1,2,2,1,1,1,2,1,1,1,1,2,1,2,1,2,3,2,1,,03,1257
01,040,2,C,03,003,0001,327A,030056,01,111111,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,956
01,027,2,C,03,003,0001,327A,030056,02,111111,1,1,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,956
01,040,2,C,03,003,0001,327A,030056,03,111111,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,956
01,038,2,C,03,003,0001,327A,030056,04,111111,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,956
01,031,1,C,03,003,0001,327A,030056,05,111111,1,0,1,0,0,0,0,1,1,1,1,2,2,1,1,1,2,,2,2,2,2,1,1,3,1,1,1,1,1,1,1,2,3,2,4,1,5,4,2,1,,01,3924
01,044,2,C,03,003,0001,3373,030082,04,111111,1,1,0,0,0,0,0,1,1,1,2,2,1,1,1,2,2,,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,2,2,3,4,1,1,,02,1858
01,019,1,C,03,003,0001,3373,030082,05,111111,1,1,0,0,0,0,0,1,2,1,3,1,1,1,2,2,2,,2,2,2,2,1,2,2,1,1,2,2,1,1,1,1,1,2,3,2,1,3,2,1,,03,1668
01,024,2,C,03,003,0001,3481,030087,01,111111,1,1,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,165
01,036,2,C,03,003,0001,3481,030087,02,111111,1,1,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,165
01,063,1,C,03,003,0001,3481,030087,03,111111,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,372
01,046,1,C,03,003,0001,3481,030087,04,111111,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,4,2,4,2,4,2,2,1,,01,372
01,034,2,C,03,003,0001,3481,030087,05,111111,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,165
01,043,2,C,03,003,0001,3208,030088,01,111111,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,974
