"TPREG,C,1","ENTIDAD,C,2","MUNICIPIO,C,3","LOCALIDAD,C,4","AGEB,C,4","NUMCONTROL,C,6","VIVSEL,C,2","IDHOG,C,1","DEGVIV,C,1","DIA,C,2","HORAI,C,2","MINUI,C,2","HORAT,C,2","MINUT,C,2","RESENT,C,2","LLAVE,C,23"
1,01,001,0001,0407,010201,01,1,1,22,16,15,17,00,01,01001000104070102010111
1,01,001,0001,0407,010201,02,1,1,08,17,00,20,30,01,01001000104070102010211
1,01,001,0001,0407,010201,03,1,1,07,18,55,20,10,01,01001000104070102010311
1,01,001,0001,0407,010201,04,1,1,08,18,45,19,30,01,01001000104070102010411
1,01,001,0001,0407,010201,05,1,1,10,20,00,20,59,01,01001000104070102010511
1,01,001,0001,0498,010276,02,1,1,06,17,39,19,03,01,01001000104980102760211
1,01,001,0001,0498,010276,04,1,1,06,15,05,16,18,01,01001000104980102760411
1,01,001,0001,0498,010276,05,1,1,07,10,30,11,22,01,01001000104980102760511
1,01,001,0001,0500,010293,01,1,1,08,13,00,14,10,01,01001000105000102930111
1,01,001,0001,0500,010293,02,1,1,06,17,03,18,15,01,01001000105000102930211
1,01,001,0001,0500,010293,03,1,1,09,10,00,11,10,01,01001000105000102930311
1,01,001,0001,0500,010293,04,1,1,06,14,42,15,50,01,01001000105000102930411
1,01,001,0001,0500,010293,05,1,1,08,12,01,12,59,01,01001000105000102930511
1,01,001,0001,0604,010013,01,1,1,09,16,28,17,58,01,01001000106040100130111
1,01,001,0001,0604,010013,03,1,1,08,14,52,16,06,01,01001000106040100130311
1,01,001,0001,0604,010013,04,1,1,07,14,35,15,21,01,01001000106040100130411
1,01,001,0001,0604,010013,05,1,1,11,18,15,19,20,01,01001000106040100130511
1,01,001,0001,1299,010122,01,1,1,29,10,10,10,47,01,01001000112990101220111
1,01,001,0001,1299,010122,02,1,1,29,21,02,21,52,01,01001000112990101220211
1,01,001,0001,1299,010122,03,1,1,29,14,08,15,11,01,01001000112990101220311
1,01,001,0001,1299,010122,04,1,1,29,11,04,11,58,01,01001000112990101220411
1,01,001,0001,1320,010385,02,1,1,23,17,15,17,58,01,01001000113200103850211
1,01,001,0001,1320,010385,03,1,1,22,16,50,17,32,01,01001000113200103850311
1,01,001,0001,1320,010385,04,1,1,30,14,15,15,00,01,01001000113200103850411
1,01,001,0001,1320,010385,05,1,1,20,15,25,16,15,01,01001000113200103850511
1,01,001,0001,159A,010300,01,1,1,27,16,13,17,00,01,010010001159A0103000111
1,01,001,0001,159A,010300,02,1,1,16,18,05,19,05,01,010010001159A0103000211
1,01,001,0001,159A,010300,03,1,1,20,20,10,21,05,01,010010001159A0103000311
1,01,001,0001,159A,010300,04,1,1,22,19,04,20,23,01,010010001159A0103000411
1,01,001,0001,159A,010300,05,1,1,16,19,32,21,08,01,010010001159A0103000511
1,01,001,0001,1706,010163,01,1,1,28,17,00,17,42,01,01001000117060101630111
1,01,001,0001,1706,010163,02,1,1,04,20,00,20,56,01,01001000117060101630211
1,01,001,0001,1706,010163,03,1,1,23,18,24,19,24,01,01001000117060101630311
1,01,001,0001,1706,010163,04,1,1,20,09,12,10,27,01,01001000117060101630411
1,01,001,0001,1706,010163,05,1,1,25,10,45,11,42,01,01001000117060101630511
1,01,001,0001,1744,010039,02,1,1,14,10,08,11,22,01,01001000117440100390211
1,01,001,0001,1744,010039,03,1,1,23,13,45,14,24,01,01001000117440100390311
1,01,001,0001,1744,010039,04,1,1,14,11,47,12,56,01,01001000117440100390411
1,01,001,0001,1744,010039,05,1,1,17,12,34,13,35,01,01001000117440100390511
1,01,001,0001,2066,010205,01,1,2,07,19,33,20,28,01,01001000120660102050112
1,01,001,0001,2066,010205,01,2,2,10,11,40,13,03,01,01001000120660102050122
1,01,001,0001,2066,010205,02,1,1,10,13,12,14,11,01,01001000120660102050211
1,01,001,0001,2066,010205,03,1,1,11,10,20,11,15,01,01001000120660102050311
1,01,001,0001,2066,010205,04,1,1,08,17,10,18,06,01,01001000120660102050411
1,01,001,0001,2066,010205,05,1,2,11,13,15,14,10,01,01001000120660102050512
1,01,001,0001,2066,010205,05,2,2,07,17,39,18,21,01,01001000120660102050522
1,01,001,0001,2206,010151,01,1,1,19,10,00,10,58,01,01001000122060101510111
1,01,001,0001,2206,010151,02,1,1,14,17,16,18,18,01,01001000122060101510211
1,01,001,0001,2206,010151,03,1,1,13,13,22,16,34,01,01001000122060101510311
1,01,001,0001,2206,010151,04,1,1,03,16,10,17,05,01,01001000122060101510411
1,01,001,0001,2206,010151,05,1,2,13,13,36,14,45,01,01001000122060101510512
1,01,001,0001,2206,010151,05,2,2,27,11,27,12,12,01,01001000122060101510522
1,01,001,0001,2418,010193,01,1,1,14,19,20,20,18,01,01001000124180101930111
1,01,001,0001,2418,010193,02,1,1,24,12,30,13,15,01,01001000124180101930211
1,01,001,0001,2418,010193,03,1,1,16,18,05,18,52,01,01001000124180101930311
1,01,001,0001,2418,010193,04,1,1,16,18,54,19,34,01,01001000124180101930411
1,01,001,0001,2418,010193,05,1,1,14,08,25,09,22,01,01001000124180101930511
1,01,001,0001,2511,010268,01,1,1,06,22,10,22,50,01,01001000125110102680111
1,01,001,0001,2511,010268,02,1,1,29,18,41,19,56,01,01001000125110102680211
1,01,001,0001,2511,010268,03,1,1,24,10,23,11,14,01,01001000125110102680311
1,01,001,0001,2511,010268,05,1,1,23,18,57,19,43,01,01001000125110102680511
1,01,001,0001,255A,010285,01,1,1,19,09,14,09,57,01,010010001255A0102850111
1,01,001,0001,255A,010285,02,1,1,16,16,29,17,00,01,010010001255A0102850211
1,01,001,0001,255A,010285,03,1,1,21,11,50,12,33,01,010010001255A0102850311
1,01,001,0001,255A,010285,04,1,1,18,15,33,16,44,01,010010001255A0102850411
