"TPREG,C,1","ENTIDAD,C,2","MUNICIPIO,C,3","LOCALIDAD,C,4","AGEB,C,4","NUMCONTROL,C,6","VIVSEL,C,2","IDHOGAR,C,1","DEGVIV,C,1","NUMPER,C,2","GASTOCO,C,1","NUMHOG,C,2","LLAVE,C,23","RESENT,C,2","NUMREN,C,2","FACTOR_PER,N,10,0"
2,01,001,0001,0407,010201,01,1,1,03,1,,01001000104070102010111,01,03,6556
2,01,001,0001,0407,010201,02,1,1,02,1,,01001000104070102010211,01,01,5165
2,01,001,0001,0407,010201,03,1,1,04,1,,01001000104070102010311,01,02,6591
2,01,001,0001,0407,010201,04,1,1,01,1,,01001000104070102010411,01,01,2745
2,01,001,0001,0407,010201,05,1,1,03,1,,01001000104070102010511,01,02,4400
2,01,001,0001,0498,010276,02,1,1,03,1,,01001000104980102760211,01,01,6196
2,01,001,0001,0498,010276,04,1,1,03,1,,01001000104980102760411,01,01,6917
2,01,001,0001,0498,010276,05,1,1,05,1,,01001000104980102760511,01,02,5700
2,01,001,0001,0500,010293,01,1,1,03,1,,01001000105000102930111,01,03,6272
2,01,001,0001,0500,010293,02,1,1,05,1,,01001000105000102930211,01,02,4127
2,01,001,0001,0500,010293,03,1,1,03,1,,01001000105000102930311,01,01,3785
2,01,001,0001,0500,010293,04,1,1,04,1,,01001000105000102930411,01,02,6032
2,01,001,0001,0500,010293,05,1,1,05,1,,01001000105000102930511,01,02,3838
2,01,001,0001,0604,010013,01,1,1,02,1,,01001000106040100130111,01,01,6177
2,01,001,0001,0604,010013,03,1,1,02,1,,01001000106040100130311,01,02,3996
2,01,001,0001,0604,010013,04,1,1,03,1,,01001000106040100130411,01,01,2885
2,01,001,0001,0604,010013,05,1,1,05,1,,01001000106040100130511,01,03,8887
2,01,001,0001,1299,010122,01,1,1,05,1,,01001000112990101220111,01,02,12530
2,01,001,0001,1299,010122,02,1,1,06,1,,01001000112990101220211,01,01,12179
2,01,001,0001,1299,010122,03,1,1,05,1,,01001000112990101220311,01,01,11423
2,01,001,0001,1299,010122,04,1,1,02,1,,01001000112990101220411,01,01,11070
2,01,001,0001,1320,010385,02,1,1,02,1,,01001000113200103850211,01,01,4698
2,01,001,0001,1320,010385,03,1,1,04,1,,01001000113200103850311,01,02,4678
2,01,001,0001,1320,010385,04,1,1,09,1,,01001000113200103850411,01,03,10755
2,01,001,0001,1320,010385,05,1,1,10,1,,01001000113200103850511,01,04,11266
2,01,001,0001,159A,010300,01,1,1,04,1,,010010001159A0103000111,01,02,5065
2,01,001,0001,159A,010300,02,1,1,01,1,,010010001159A0103000211,01,01,2353
2,01,001,0001,159A,010300,03,1,1,04,1,,010010001159A0103000311,01,02,5702
2,01,001,0001,159A,010300,04,1,1,02,1,,010010001159A0103000411,01,01,3772
2,01,001,0001,159A,010300,05,1,1,02,1,,010010001159A0103000511,01,02,3290
2,01,001,0001,1706,010163,01,1,1,02,1,,01001000117060101630111,01,02,4890
2,01,001,0001,1706,010163,02,1,1,02,1,,01001000117060101630211,01,01,4426
2,01,001,0001,1706,010163,03,1,1,01,1,,01001000117060101630311,01,01,2096
2,01,001,0001,1706,010163,04,1,1,02,1,,01001000117060101630411,01,02,3139
2,01,001,0001,1706,010163,05,1,1,03,1,,01001000117060101630511,01,01,4501
2,01,001,0001,1744,010039,02,1,1,03,1,,01001000117440100390211,01,02,5498
2,01,001,0001,1744,010039,03,1,1,03,1,,01001000117440100390311,01,03,5128
2,01,001,0001,1744,010039,04,1,1,06,1,,01001000117440100390411,01,01,5590
2,01,001,0001,1744,010039,05,1,1,01,1,,01001000117440100390511,01,01,2860
2,01,001,0001,2066,010205,01,1,2,05,2,02,01001000120660102050112,01,01,4658
2,01,001,0001,2066,010205,01,2,2,,,,01001000120660102050122,01,01,2210
2,01,001,0001,2066,010205,02,1,1,06,1,,01001000120660102050211,01,04,6353
2,01,001,0001,2066,010205,03,1,1,06,1,,01001000120660102050311,01,02,6206
2,01,001,0001,2066,010205,04,1,1,07,1,,01001000120660102050411,01,04,8702
2,01,001,0001,2066,010205,05,1,2,05,2,02,01001000120660102050512,01,01,5059
2,01,001,0001,2066,010205,05,2,2,,,,01001000120660102050522,01,01,2049
2,01,001,0001,2206,010151,01,1,1,07,1,,01001000122060101510111,01,02,7662
2,01,001,0001,2206,010151,02,1,1,05,1,,01001000122060101510211,01,03,4753
2,01,001,0001,2206,010151,03,1,1,04,1,,01001000122060101510311,01,02,4723
2,01,001,0001,2206,010151,04,1,1,02,1,,01001000122060101510411,01,01,5022
2,01,001,0001,2206,010151,05,1,2,04,2,02,01001000122060101510512,01,01,1486
2,01,001,0001,2206,010151,05,2,2,,,,01001000122060101510522,01,01,3168
2,01,001,0001,2418,010193,01,1,1,03,1,,01001000124180101930111,01,01,2656
2,01,001,0001,2418,010193,02,1,1,07,1,,01001000124180101930211,01,02,10677
2,01,001,0001,2418,010193,03,1,1,04,1,,01001000124180101930311,01,01,5875
2,01,001,0001,2418,010193,04,1,1,05,1,,01001000124180101930411,01,05,12504
2,01,001,0001,2418,010193,05,1,1,03,1,,01001000124180101930511,01,01,6091
2,01,001,0001,2511,010268,01,1,1,01,1,,01001000125110102680111,01,01,2783
2,01,001,0001,2511,010268,02,1,1,02,1,,01001000125110102680211,01,01,5316
2,01,001,0001,2511,010268,03,1,1,03,1,,01001000125110102680311,01,02,6094
2,01,001,0001,2511,010268,05,1,1,03,1,,01001000125110102680511,01,01,4717
2,01,001,0001,255A,010285,01,1,1,05,1,,010010001255A0102850111,01,03,5797
2,01,001,0001,255A,010285,02,1,1,02,1,,010010001255A0102850211,01,01,4576
2,01,001,0001,255A,010285,03,1,1,03,1,,010010001255A0102850311,01,01,4450
2,01,001,0001,255A,010285,04,1,1,06,1,,010010001255A0102850411,01,01,4601
2,01,001,0001,255A,010285,05,1,1,03,1,,010010001255A0102850511,01,02,3898
2,01,001,0001,2583,010270,01,1,1,01,1,,01001000125830102700111,01,01,2754
2,01,001,0001,2583,010270,03,1,1,04,1,,01001000125830102700311,01,01,6089
2,01,001,0001,262A,010328,01,1,1,04,1,,010010001262A0103280111,01,03,5829
2,01,001,0001,262A,010328,03,1,1,06,1,,010010001262A0103280311,01,02,4442
2,01,001,0001,262A,010328,04,1,1,05,1,,010010001262A0103280411,01,01,4493
2,01,001,0001,2668,010326,01,1,2,06,2,02,01001000126680103260112,01,03,5078
2,01,001,0001,2668,010326,01,2,2,,,,01001000126680103260122,01,02,3166
2,01,001,0001,2668,010326,02,1,1,02,1,,01001000126680103260211,01,01,4018
2,01,001,0001,2668,010326,03,1,1,04,1,,01001000126680103260311,01,03,5565
2,01,001,0001,2668,010326,04,1,1,09,1,,01001000126680103260411,01,01,10495
2,01,001,0001,2668,010326,05,1,1,01,1,,01001000126680103260511,01,01,2342
2,01,001,0001,2719,010074,01,1,1,03,1,,01001000127190100740111,01,02,4680
2,01,001,0001,2719,010074,02,1,1,02,1,,01001000127190100740211,01,01,5008
2,01,001,0001,2719,010074,03,1,1,02,1,,01001000127190100740311,01,02,4155
2,01,001,0001,2719,010074,04,1,1,02,1,,01001000127190100740411,01,01,4039
2,01,001,0001,2719,010196,01,1,1,05,1,,01001000127190101960111,01,02,6925
2,01,001,0001,2719,010196,03,1,1,05,1,,01001000127190101960311,01,01,4887
2,01,001,0001,2719,010196,04,1,1,04,1,,01001000127190101960411,01,03,6057
2,01,001,0001,2719,010196,05,1,1,04,1,,01001000127190101960511,01,02,4979
2,01,001,0001,2795,010047,01,1,1,01,1,,01001000127950100470111,01,01,3013
2,01,001,0001,2795,010047,02,1,1,07,1,,01001000127950100470211,01,01,10883
2,01,001,0001,2795,010047,04,1,1,06,1,,01001000127950100470411,01,01,6798
2,01,001,0001,2795,010047,05,1,2,07,2,02,01001000127950100470512,01,01,2546
2,01,001,0001,2795,010047,05,2,2,,,,01001000127950100470522,01,01,2452
2,02,004,0001,0511,020127,01,1,1,02,1,,02004000105110201270111,01,01,14560
2,02,004,0001,0511,020127,02,1,1,01,1,,02004000105110201270211,01,01,9083
2,02,004,0001,0511,020127,03,1,1,05,1,,02004000105110201270311,01,02,21504
2,02,004,0001,0511,020127,04,1,1,02,1,,02004000105110201270411,01,01,17642
2,02,004,0001,0511,020127,05,1,1,02,1,,02004000105110201270511,01,01,8409
2,02,004,0001,0530,020239,01,1,1,03,1,,02004000105300202390111,01,01,22448
2,02,004,0001,0530,020239,02,1,1,01,1,,02004000105300202390211,01,01,7059
2,02,004,0001,0530,020239,03,1,1,01,1,,02004000105300202390311,01,01,7059
2,02,004,0001,0530,020239,04,1,1,02,1,,02004000105300202390411,01,01,17427
2,02,004,0001,1346,020169,01,1,1,02,1,,02004000113460201690111,01,02,9945
2,02,004,0001,1346,020169,02,1,1,07,1,,02004000113460201690211,01,01,20665
2,02,004,0001,1346,020169,03,1,1,03,1,,02004000113460201690311,01,01,7701
2,02,004,0001,1346,020169,04,1,1,03,1,,02004000113460201690411,01,02,12182
2,02,004,0001,1346,020169,05,1,1,04,1,,02004000113460201690511,01,03,15564
2,02,004,0001,144A,020340,01,1,1,04,1,,020040001144A0203400111,01,02,22733
2,02,004,0001,144A,020340,02,1,1,04,1,,020040001144A0203400211,01,04,16996
2,02,004,0001,144A,020340,03,1,1,02,1,,020040001144A0203400311,01,01,16811
2,02,004,0001,144A,020340,04,1,1,01,1,,020040001144A0203400411,01,01,8390
2,02,004,0001,144A,020340,05,1,1,01,1,,020040001144A0203400511,01,01,10592
2,02,004,0001,1685,020121,01,1,1,01,1,,02004000116850201210111,01,01,8952
2,02,004,0001,1685,020121,02,1,1,02,1,,02004000116850201210211,01,01,16501
2,02,004,0001,1685,020121,03,1,1,04,1,,02004000116850201210311,01,04,23452
2,02,004,0001,1685,020121,04,1,1,04,1,,02004000116850201210411,01,01,16429
2,02,004,0001,1685,020121,05,1,1,02,1,,02004000116850201210511,01,01,7818
2,02,004,0001,1878,020306,02,1,1,07,1,,02004000118780203060211,01,04,20821
2,02,004,0001,1878,020306,04,1,1,03,1,,02004000118780203060411,01,02,13173
2,02,004,0001,1878,020306,05,1,1,02,1,,02004000118780203060511,01,01,12861
2,02,004,0001,3041,020021,01,1,1,02,1,,02004000130410200210111,01,01,7443
2,02,004,0001,3041,020021,02,1,1,02,1,,02004000130410200210211,01,01,19485
2,02,004,0001,3041,020021,03,1,1,04,1,,02004000130410200210311,01,02,16136
2,02,004,0001,3041,020021,04,1,1,04,1,,02004000130410200210411,01,01,17182
2,02,004,0001,3041,020021,05,1,1,02,1,,02004000130410200210511,01,01,16309
2,02,004,0001,322A,020301,01,1,1,05,1,,020040001322A0203010111,01,01,19875
2,02,004,0001,322A,020301,02,1,1,03,1,,020040001322A0203010211,01,02,15431
2,02,004,0001,322A,020301,04,1,1,02,1,,020040001322A0203010411,01,01,16225
2,02,004,0001,322A,020301,05,1,1,01,1,,020040001322A0203010511,01,01,11562
2,02,004,0001,3272,020019,01,1,1,05,1,,02004000132720200190111,01,01,18246
2,02,004,0001,3272,020019,02,1,1,02,1,,02004000132720200190211,01,01,18699
2,02,004,0001,3272,020019,03,1,1,07,1,,02004000132720200190311,01,03,35431
2,02,004,0001,3272,020019,04,1,1,03,1,,02004000132720200190411,01,01,28759
2,02,004,0001,3272,020019,05,1,1,02,1,,02004000132720200190511,01,01,17745
2,02,004,0001,3395,020143,01,1,1,04,1,,02004000133950201430111,01,01,23647
2,02,004,0001,3395,020143,03,1,1,03,1,,02004000133950201430311,01,01,24804
2,02,004,0001,3395,020143,04,1,1,02,1,,02004000133950201430411,01,02,24393
2,02,004,0001,3516,020100,01,1,1,03,1,,02004000135160201000111,01,01,9588
2,02,004,0001,3516,020100,02,1,1,03,1,,02004000135160201000211,01,02,13320
2,02,004,0001,3516,020100,03,1,1,02,1,,02004000135160201000311,01,01,15388
2,02,004,0001,3516,020100,04,1,1,05,1,,02004000135160201000411,01,01,21796
2,02,004,0001,3516,020100,05,1,1,04,1,,02004000135160201000511,01,01,17792
2,02,004,0001,3605,020043,01,1,1,02,1,,02004000136050200430111,01,01,11448
2,02,004,0001,3605,020043,02,1,1,08,1,,02004000136050200430211,01,03,20454
2,02,004,0001,3605,020043,03,1,1,03,1,,02004000136050200430311,01,01,15709
2,02,004,0001,3605,020043,04,1,1,06,1,,02004000136050200430411,01,02,22528
2,02,004,0001,3605,020043,05,1,1,01,1,,02004000136050200430511,01,01,7142
2,02,004,0001,3605,020189,01,1,1,04,1,,02004000136050201890111,01,02,15986
2,02,004,0001,3605,020189,02,1,1,04,1,,02004000136050201890211,01,01,19506
2,02,004,0001,3605,020189,03,1,1,03,1,,02004000136050201890311,01,01,15636
2,02,004,0001,3605,020189,04,1,1,02,1,,02004000136050201890411,01,02,14047
2,02,004,0001,3605,020189,05,1,1,06,1,,02004000136050201890511,01,04,26656
2,02,004,0001,3944,020212,02,1,1,03,1,,02004000139440202120211,01,03,17860
2,02,004,0001,3944,020212,03,1,1,06,1,,02004000139440202120311,01,02,17481
2,02,004,0001,3944,020212,04,1,1,04,1,,02004000139440202120411,01,01,20261
2,02,004,0001,3944,020212,05,1,1,04,1,,02004000139440202120511,01,01,18663
2,02,004,0001,4209,020035,02,1,1,06,1,,02004000142090200350211,01,01,20243
2,02,004,0001,4209,020035,03,1,1,04,1,,02004000142090200350311,01,03,18096
2,02,004,0001,4209,020035,04,1,1,04,1,,02004000142090200350411,01,01,17736
2,02,004,0001,4209,020035,05,1,1,09,1,,02004000142090200350511,01,04,26728
2,02,004,0001,4463,020016,01,1,1,04,1,,02004000144630200160111,01,01,11043
2,02,004,0001,4463,020016,02,1,1,04,1,,02004000144630200160211,01,02,14609
2,02,004,0001,4463,020016,03,1,1,09,1,,02004000144630200160311,01,08,28264
2,02,004,0001,4463,020016,04,1,1,02,1,,02004000144630200160411,01,01,6929
2,02,004,0001,4463,020016,05,1,1,05,1,,02004000144630200160511,01,04,18260
2,02,004,0001,4637,020288,01,1,1,11,1,,02004000146370202880111,01,11,60699
2,02,004,0001,4637,020288,02,1,1,04,1,,02004000146370202880211,01,02,18374
2,02,004,0001,4637,020288,03,1,1,05,1,,02004000146370202880311,01,02,20365
2,02,004,0001,4637,020288,04,1,1,04,1,,02004000146370202880411,01,02,20409
2,02,004,0001,5245,020364,01,1,1,05,1,,02004000152450203640111,01,01,16918
2,02,004,0001,5245,020364,02,1,1,05,1,,02004000152450203640211,01,01,16375
2,02,004,0001,5245,020364,03,1,1,01,1,,02004000152450203640311,01,01,10275
2,02,004,0001,5245,020364,04,1,2,13,2,02,02004000152450203640412,01,04,25938
2,02,004,0001,5245,020364,04,2,2,,,,02004000152450203640422,01,01,12969
2,02,004,0001,5245,020364,05,1,1,01,1,,02004000152450203640511,01,01,7176
2,02,004,0001,5442,020403,01,1,1,03,1,,02004000154420204030111,01,01,9143
2,02,004,0001,5442,020403,02,1,1,05,1,,02004000154420204030211,01,02,19247
2,02,004,0001,5442,020403,03,1,1,06,1,,02004000154420204030311,01,02,21864
2,02,004,0001,5442,020403,04,1,1,04,1,,02004000154420204030411,01,02,18051
2,02,004,0001,5442,020403,05,1,1,02,1,,02004000154420204030511,01,02,13914
2,02,004,0001,5758,020351,01,1,1,03,1,,02004000157580203510111,01,02,277
2,02,004,0001,5758,020351,02,1,1,10,1,,02004000157580203510211,01,02,392
2,02,004,0001,5758,020351,03,1,1,06,1,,02004000157580203510311,01,02,365
2,02,004,0001,5758,020351,04,1,1,06,1,,02004000157580203510411,01,02,291
2,02,004,0001,5758,020351,05,1,1,07,1,,02004000157580203510511,01,04,522
2,03,003,0001,1856,030101,01,1,1,02,1,,03003000118560301010111,01,02,1256
2,03,003,0001,1856,030101,02,1,1,05,1,,03003000118560301010211,01,02,2063
2,03,003,0001,1856,030101,03,1,1,04,1,,03003000118560301010311,01,02,1957
2,03,003,0001,1856,030101,04,1,1,03,1,,03003000118560301010411,01,01,1353
2,03,003,0001,1856,030101,05,1,1,04,1,,03003000118560301010511,01,03,1780
2,03,003,0001,1964,030130,01,1,1,11,1,,03003000119640301300111,01,04,2236
2,03,003,0001,1964,030130,02,1,1,04,1,,03003000119640301300211,01,01,1478
2,03,003,0001,1964,030130,03,1,1,03,1,,03003000119640301300311,01,02,1272
2,03,003,0001,1964,030130,04,1,1,03,1,,03003000119640301300411,01,01,1264
2,03,003,0001,1964,030130,05,1,1,02,1,,03003000119640301300511,01,02,1129
2,03,003,0001,2021,030238,01,1,1,02,1,,03003000120210302380111,01,01,1263
2,03,003,0001,2021,030238,02,1,1,03,1,,03003000120210302380211,01,01,735
2,03,003,0001,2021,030238,03,1,1,02,1,,03003000120210302380311,01,01,595
2,03,003,0001,2021,030238,04,1,1,03,1,,03003000120210302380411,01,01,1080
2,03,003,0001,2021,030238,05,1,1,02,1,,03003000120210302380511,01,02,989
2,03,003,0001,2036,030226,01,1,1,04,1,,03003000120360302260111,01,01,1763
2,03,003,0001,2036,030226,02,1,1,02,1,,03003000120360302260211,01,01,880
2,03,003,0001,2036,030226,03,1,1,02,1,,03003000120360302260311,01,02,1434
2,03,003,0001,2036,030226,04,1,1,05,1,,03003000120360302260411,01,02,2525
2,03,003,0001,2036,030226,05,1,1,03,1,,03003000120360302260511,01,02,1549
2,03,003,0001,213A,030054,01,1,1,07,1,,030030001213A0300540111,01,05,1948
2,03,003,0001,213A,030054,02,1,1,03,1,,030030001213A0300540211,01,02,1322
2,03,003,0001,213A,030054,05,1,1,05,1,,030030001213A0300540511,01,02,1160
2,03,003,0001,2144,030139,01,1,1,02,1,,03003000121440301390111,01,01,1116
2,03,003,0001,2144,030139,02,1,1,05,1,,03003000121440301390211,01,03,1616
2,03,003,0001,2144,030139,03,1,1,03,1,,03003000121440301390311,01,02,1806
2,03,003,0001,2144,030139,05,1,1,02,1,,03003000121440301390511,01,01,1404
2,03,003,0001,2233,030080,01,1,1,04,1,,03003000122330300800111,01,02,2046
2,03,003,0001,2233,030080,02,1,1,04,1,,03003000122330300800211,01,02,2200
2,03,003,0001,2233,030080,03,1,1,04,1,,03003000122330300800311,01,01,4270
2,03,003,0001,2233,030080,04,1,1,04,1,,03003000122330300800411,01,02,2273
2,03,003,0001,2248,030250,01,1,1,01,1,,03003000122480302500111,01,01,834
2,03,003,0001,2248,030250,02,1,1,05,1,,03003000122480302500211,01,02,2155
2,03,003,0001,2248,030250,03,1,1,06,1,,03003000122480302500311,01,02,2326
2,03,003,0001,2248,030250,04,1,1,05,1,,03003000122480302500411,01,02,1493
2,03,003,0001,2248,030250,05,1,1,01,1,,03003000122480302500511,01,01,688
2,03,003,0001,2962,030310,01,1,1,06,1,,03003000129620303100111,01,03,1583
2,03,003,0001,2962,030310,02,1,1,02,1,,03003000129620303100211,01,01,1348
2,03,003,0001,2962,030310,03,1,1,04,1,,03003000129620303100311,01,01,1886
2,03,003,0001,2962,030310,05,1,1,01,1,,03003000129620303100511,01,01,919
2,03,003,0001,3053,030319,01,1,1,01,1,,03003000130530303190111,01,01,792
2,03,003,0001,3053,030319,02,1,1,04,1,,03003000130530303190211,01,01,1504
2,03,003,0001,3053,030319,03,1,1,04,1,,03003000130530303190311,01,02,1735
2,03,003,0001,3053,030319,04,1,1,02,1,,03003000130530303190411,01,01,1315
2,03,003,0001,3053,030319,05,1,1,02,1,,03003000130530303190511,01,01,879
2,03,003,0001,3072,030002,01,1,1,02,1,,03003000130720300020111,01,01,578
2,03,003,0001,3072,030002,02,1,1,03,1,,03003000130720300020211,01,03,1534
2,03,003,0001,3072,030002,03,1,1,02,1,,03003000130720300020311,01,01,1034
2,03,003,0001,3072,030002,04,1,1,04,1,,03003000130720300020411,01,01,1545
2,03,003,0001,3072,030002,05,1,1,04,1,,03003000130720300020511,01,03,1034
2,03,003,0001,3176,030090,01,1,1,05,1,,03003000131760300900111,01,03,2049
2,03,003,0001,3176,030090,02,1,1,03,1,,03003000131760300900211,01,02,1135
2,03,003,0001,3176,030090,03,1,1,03,1,,03003000131760300900311,01,03,1896
2,03,003,0001,3176,030090,04,1,1,03,1,,03003000131760300900411,01,01,1357
2,03,003,0001,3176,030090,05,1,1,04,1,,03003000131760300900511,01,02,1677
2,03,003,0001,3176,030136,01,1,1,02,1,,03003000131760301360111,01,01,1231
2,03,003,0001,3176,030136,02,1,1,02,1,,03003000131760301360211,01,02,1011
2,03,003,0001,3176,030136,03,1,1,03,1,,03003000131760301360311,01,02,1210
2,03,003,0001,3176,030136,04,1,1,03,1,,03003000131760301360411,01,02,1702
2,03,003,0001,3176,030136,05,1,1,04,1,,03003000131760301360511,01,02,1674
2,03,003,0001,3180,030015,01,1,1,05,1,,03003000131800300150111,01,02,1453
2,03,003,0001,3180,030015,02,1,1,07,1,,03003000131800300150211,01,02,1972
2,03,003,0001,3180,030015,03,1,1,03,1,,03003000131800300150311,01,01,1745
2,03,003,0001,3180,030015,04,1,1,04,1,,03003000131800300150411,01,02,1194
2,03,003,0001,3180,030015,05,1,1,07,1,,03003000131800300150511,01,06,3034
2,03,003,0001,327A,030056,01,1,1,04,1,,030030001327A0300560111,01,02,1103
2,03,003,0001,327A,030056,02,1,1,03,1,,030030001327A0300560211,01,01,1257
2,03,003,0001,327A,030056,03,1,1,04,1,,030030001327A0300560311,01,01,1693
2,03,003,0001,327A,030056,04,1,1,05,1,,030030001327A0300560411,01,02,1176
2,03,003,0001,327A,030056,05,1,1,06,1,,030030001327A0300560511,01,02,1137
2,03,003,0001,3335,030266,01,1,1,05,1,,03003000133350302660111,01,01,1351
2,03,003,0001,3335,030266,02,1,1,03,1,,03003000133350302660211,01,02,1294
2,03,003,0001,3335,030266,04,1,1,02,1,,03003000133350302660411,01,02,1411
2,03,003,0001,3335,030266,05,1,1,04,1,,03003000133350302660511,01,02,1178
2,03,003,0001,3354,030300,01,1,1,04,1,,03003000133540303000111,01,02,1314
2,03,003,0001,3354,030300,02,1,1,04,1,,03003000133540303000211,01,02,1230
2,03,003,0001,3354,030300,03,1,1,05,1,,03003000133540303000311,01,02,1621
2,03,003,0001,3354,030300,04,1,1,02,1,,03003000133540303000411,01,01,1200
2,03,003,0001,3354,030300,05,1,1,05,1,,03003000133540303000511,01,04,1523
2,03,003,0001,3369,030248,01,1,1,03,1,,03003000133690302480111,01,02,1928
2,03,003,0001,3369,030248,02,1,1,02,1,,03003000133690302480211,01,01,1159
2,03,003,0001,3369,030248,04,1,1,07,1,,03003000133690302480411,01,03,2013
2,03,003,0001,3369,030248,05,1,1,03,1,,03003000133690302480511,01,01,2015
2,03,003,0001,3439,030055,01,1,1,01,1,,03003000134390300550111,01,01,514
2,03,003,0001,3439,030055,02,1,1,04,1,,03003000134390300550211,01,02,1283
2,03,003,0001,3439,030055,03,1,1,02,1,,03003000134390300550311,01,02,1086
2,03,003,0001,3439,030055,04,1,1,04,1,,03003000134390300550411,01,02,1170
2,03,003,0001,3439,030055,05,1,1,05,1,,03003000134390300550511,01,01,1465
2,03,003,0001,3477,030052,01,1,1,03,1,,03003000134770300520111,01,01,278
2,03,003,0001,3477,030052,02,1,1,05,1,,03003000134770300520211,01,01,977
2,03,003,0001,3477,030052,03,1,1,04,1,,03003000134770300520311,01,01,592
2,03,003,0001,3477,030052,04,1,1,04,1,,03003000134770300520411,01,02,501
2,04,002,0001,0126,040177,01,1,1,03,1,,04002000101260401770111,01,02,2839
2,04,002,0001,0126,040177,02,1,1,05,1,,04002000101260401770211,01,01,984
2,04,002,0001,0126,040177,03,1,1,03,1,,04002000101260401770311,01,01,1658
2,04,002,0001,0126,040177,05,1,1,07,1,,04002000101260401770511,01,07,3969
2,04,002,0001,0126,040264,01,1,1,02,1,,04002000101260402640111,01,01,1673
2,04,002,0001,0126,040264,02,1,1,04,1,,04002000101260402640211,01,01,1656
2,04,002,0001,0126,040264,03,1,1,05,1,,04002000101260402640311,01,01,2413
2,04,002,0001,0126,040264,04,1,1,03,1,,04002000101260402640411,01,02,1457
2,04,002,0001,0126,040264,05,1,1,01,1,,04002000101260402640511,01,01,1043
2,04,002,0001,0516,040193,01,1,1,04,1,,04002000105160401930111,01,02,3097
2,04,002,0001,0516,040193,02,1,1,04,1,,04002000105160401930211,01,02,3554
2,04,002,0001,0516,040193,03,1,1,05,1,,04002000105160401930311,01,01,4383
2,04,002,0001,0516,040193,05,1,1,02,1,,04002000105160401930511,01,01,3786
