"TPREG,C,1","ENTIDAD,C,2","MUNICIPIO,C,3","LOCALIDAD,C,4","AGEB,C,4","NUMCONTROL,C,6","VIVSEL,C,2","IDHOGAR,C,1","DEGVIV,C,1","NUMREN,C,2","PARENTE,C,1","SEXO,C,1","EDAD,C,3","DIA,C,2","MES,C,2","ELIGIBI,C,1","NIVEL,C,2","ULTGRAPRO,C,2","ANTECE,C,1","LLAVE,C,25","LLAVEREN,C,25","RESENT,C,2","AM,C,2","GPOEDA,C,2","FACTORVIV,N,10,0"
3,01,001,0001,0407,010201,01,1,1,01,1,2,061,04,11,0,07,07,3,01001000104070102010111,,01,14,10,1843
3,01,001,0001,0407,010201,01,1,1,02,3,2,034,25,04,0,08,02,4,01001000104070102010111,,01,14,04,1843
3,01,001,0001,0407,010201,01,1,1,03,3,1,031,04,06,1,07,02,3,01001000104070102010111,,01,14,04,1843
3,01,001,0001,0407,010201,02,1,1,01,1,1,078,16,04,1,02,06,,01001000104070102010211,,01,14,11,2148
3,01,001,0001,0407,010201,02,1,1,02,2,2,076,19,02,0,02,06,,01001000104070102010211,,01,14,11,2148
3,01,001,0001,0407,010201,03,1,1,01,1,1,046,24,10,0,04,03,,01001000104070102010311,,01,14,07,1774
3,01,001,0001,0407,010201,03,1,1,02,2,2,043,24,02,1,03,03,,01001000104070102010311,,01,14,06,1774
3,01,001,0001,0407,010201,03,1,1,03,3,2,023,24,01,0,07,04,3,01001000104070102010311,,01,14,02,1774
3,01,001,0001,0407,010201,03,1,1,04,3,1,019,05,12,0,04,03,,01001000104070102010311,,01,14,01,1774
3,01,001,0001,0407,010201,04,1,1,01,1,1,037,14,07,1,07,06,3,01001000104070102010411,,01,14,05,2503
3,01,001,0001,0407,010201,05,1,1,01,1,1,036,22,10,0,08,02,4,01001000104070102010511,,01,14,05,2290
3,01,001,0001,0407,010201,05,1,1,02,2,2,033,24,11,1,07,05,3,01001000104070102010511,,01,14,04,2290
3,01,001,0001,0407,010201,05,1,1,03,3,2,004,14,12,0,,,,01001000104070102010511,,01,14,00,2290
