"TPREG,C,1","ENTIDAD,C,2","MUNICIPIO,C,3","LOCALIDAD,C,4","AGEB,C,4","NUMCONTROL,C,6","VIVSEL,C,2","IDHOGAR,C,1","DEGVIV,C,1","NUMREN,C,2","NIVELINS,C,2","APOBO,C,2","CODCARR,C,3","ESPE,C,50","ANTESCO,C,1","BIOLOGIA,C,1","FISICA,C,1","QUIMICA,C,1","MATEMA,C,1","TIPOESC,C,1","EDADULG,C,2","ACTESTUDI,C,1","CIENTIF1,C,1","INGEN1,C,1","CIENTIF2,C,1","INGEN2,C,1","CONDACT,C,1","VERIDACT,C,1","POSDOCU,C,1","TAROFUN,C,70","OCUPACION,C,2","ESPECI,C,60","NODUNIECO,C,60","ACTIECO,C,2","ESPECIF,C,60","ACTICIEN,C,1","LLAVE,C,23"
4,01,001,0001,0407,010201,01,1,1,03,07, 2,393,CONTADOR,3,2,2,2,1,2,21,2,,,2,2,1,,1,PREPARA DECLARACIONES DE HACIENDA,11,CONTADOR PUBLICO,CONTADORES ASOCIADOS DE AGS,54,REALIZA DECLARACIONES DE IMPUESTOS Y ASESORAMIENTOS A EMPRES,2,01001000104070102010111
4,01,001,0001,0407,010201,02,1,1,01,02, 6,,,,,,,,,,,,,,,8,3,4,"VACUNA GANADO, ASISTENTE VETERINARIO EN SU TRABAJO",12,ASISTENTE DE VETERINARIO,BAYER S.A,54,SE DEDICA A LA SALUD DE TODO TIPO DE GANADO EN LA PARTE PREV,3,01001000104070102010211
4,01,001,0001,0407,010201,03,1,1,02,03, 3,,,,,,,,,,,,,,,5,5,,,,,,,,,01001000104070102010311
4,01,001,0001,0407,010201,04,1,1,01,07, 6,392,LICENCIATURA EN ADMINISTRACION DE EMPRESAS,3,2,2,2,1,2,25,2,,,2,2,1,,1,FUNCIONES ADMINISTRATIVAS SUPERVISA A PERSONAL,21,GERENTE DE SUCURSAL,FUNDACION RAFAEL DONDE,52,CASA DE EMPEÑO DE JOYAS Y APARATOS ELECTRICOS,2,01001000104070102010411
4,01,001,0001,0407,010201,05,1,1,02,07, 5,311,LICENCIADO EN URBANISMO,3,1,2,2,1,1,21,2,,,2,1,1,,1,"IMPARTIR CLASES A NIVEL PROFESIONAL, CARRERA DE PROCESOS DE PRODUCCION",13,PROFESOR DE TIEMPO COMPLETO,UNIVERSIDAD TECNOLOGICA DE AGUASCALIENTES,61,IMPARTIR CLASES A NIVEL PROFESIONAL,1,01001000104070102010511
4,01,001,0001,0498,010276,02,1,1,01,06, 3,053,COMERCIO,1,,,,,,,,,,,,1,,4,REPARA MAQUINAS DE COSER,52,MECANICO DE MAQUINAS DE COSER EN GENERAL,SIN NOMBRE,81,REPARAR MAQUINAS DE COSER EN EL HOGAR,1,01001000104980102760211
4,01,001,0001,0498,010276,04,1,1,01,05, 3,711,PROFESOR DE ESCUELA,2,,,,,1,22,2,,,2,2,6,5,,,,,,,,,01001000104980102760411
4,01,001,0001,0498,010276,05,1,1,02,04, 3,,,,,,,,2,19,2,,,2,2,5,1,4,ELABORA PALETAS DE BOMBON Y GELATINAS MANUALMENTE,52,ARTESANA,SIN NOMBRE,31,ELABORACION Y VENTA DE PALETAS Y GELATINAS CON AMISTADES,2,01001000104980102760511
4,01,001,0001,0500,010293,01,1,1,03,03, 3,,,,,,,,,,,,,,,1,,1,"ATENDER A CLIENTES, PICAR VERDURA, PREPARAR LOS MARISCOS PARA SU VENTA",54,AYUDANTE EN GENERAL,RESTAURANTE MARISCOS PUERTO MARQUEZ,72,COMPRA VENTA Y ELABORACION DE COMIDA DE MAR AL PUBLICO EN GR,2,01001000105000102930111
4,01,001,0001,0500,010293,02,1,1,02,03, 3,,,,,,,,,,,,,,,1,,4,VENDE ARTICULOS DE BELLEZA POR CATALOGO CASA POR CASA AL MENUDEO,72,VENDEDORA POR CATALOGO,JAFRA COSMETIC,46,VENTA DE ARTICULOS DE BELLEZA AL MAYOREO POR CATALOGO,1,01001000105000102930211
