"TPREG,C,1","ENTIDAD,C,2","MUNICIPIO,C,3","LOCALIDAD,C,4","AGEB,C,4","NUMCONTROL,C,6","VIVSEL,C,2","IDHOGAR,C,1","DEGVIV,C,1","RADIO,C,1","PERYREV,C,1","REVCIEN,C,1","INTERNET,C,1","TELEVI,C,1","ESCYUNI,C,1","TODASIMP,C,1","INGESIMP,C,1","NOSABE,C,1","HRSTVSEM,C,3","NOTITV,C,3","CYTTV,C,3","HRSRADIO,C,3","NOTIRA,C,3","CYTRA,C,3","LEEPERI,C,1","LEEART,C,3","ARTNOTI,C,3","ARTCYT,C,3","LEEREVI,C,2","ARTIREVI,C,3","ARTCNOTI,C,3","ARTCYTEC,C,3","REVISTA1,C,30","REVISTA2,C,30","REVISTA3,C,30","ACCOMPU,C,1","LUGAR1,C,2","LUGAR2,C,2","ESPE,C,30","CINTERN,C,1","ACCINTER,C,1","HORASEM,C,2","ARTEYHUM,C,1","SOCYCUL,C,1","CONVERTR,C,1","INSTGOB,C,1","CIENCIA,C,1","DEPOR,C,1","ECOYFIN,C,1","ENTRETE,C,1","TECNOL,C,1","NOTIAC,C,1","EDUCA,C,1","SERVSREF,C,1","COMENLIN,C,1","EMAIL,C,1","MEDICINA,C,1","OTROS,C,1","MUSDARTE,C,1","ZOO,C,1","BIBLIOPUB,C,1","MUSDCYT,C,1","PLANETA,C,1","EXPOCYT,C,1","SEMNACYT,C,1","APRENDER,C,2","ESINTE,C,2","ACOMALGUN,C,2","ESDIVERT,C,2","CASUALIDAD,C,2","GUSTO,C,2","POREXH,C,2","NADAQH,C,2","CERCADCA,C,2","OTRA,C,2","ESPECI,C,15","FALDTIM,C,1","ESTALEJOS,C,1","PRECDENTRA,C,1","NOSEUB,C,1","NOHAYINT,C,1","MUSCOMP,C,1","NOESTAPLA,C,1","OTRAS,C,1","ESPECIF,C,15","MUCHPCYT,C,1","DESCYTNE,C,1","POCOCIP,C,1","PRECYTENTV,C,1","MDCLEO,C,1","LLAVE,C,23","NUMREN,C,2"
6,01,001,0001,0407,010201,01,1,1,5,6,4,2,3,1,0,0,0,012,010,001,000,000,000,2,010,008,000,00,000,000,000,,,,1, 1, 2,,1,1,15,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,0,0,0,0,0,0,7,0,,3,3,2,2,2,01001000104070102010111,03
6,01,001,0001,0407,010201,02,1,1,6,4,2,5,3,1,0,0,0,007,006,001,003,000,000,2,006,004,001,00,000,000,000,,,,2,,,,2,,,,,,,,,,,,,,,,,,,2,1,2,1,2,1,2,00,00,03,00,00,00,00,00,00,00,,,,,,,,,,,2,2,2,2,2,01001000104070102010211,01
6,01,001,0001,0407,010201,03,1,1,3,4,2,6,5,1,0,0,0,015,001,001,010,001,000,2,002,001,001,00,000,000,000,,,,2,,,,1,1,01,2,1,2,2,2,1,2,2,2,2,1,1,1,2,1,1,2,2,2,1,2,2,2,00,00,00,00,00,06,00,00,00,00,,,,,,,,,,,4,2,2,1,2,01001000104070102010311,02
6,01,001,0001,0407,010201,04,1,1,5,4,2,1,3,6,0,0,0,024,010,002,007,007,000,2,001,000,001,02,001,000,001,EXPANSION,,,1, 1, 2,,1,1,07,2,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,1,,,,,,,,,,,,0,0,0,4,0,0,0,0,,2,3,3,2,2,01001000104070102010411,01
6,01,001,0001,0407,010201,05,1,1,5,4,2,3,6,1,0,0,0,005,002,003,008,005,000,3,001,000,000,01,001,000,000,MANUFACTURA TOTAL,MUY INTERESANTE,TV Y NOTAS,1, 1, 2,,1,1,40,1,1,2,1,1,2,2,1,1,2,1,1,1,1,1,2,2,1,1,2,2,2,2,,,,,,,,,,,,1,0,0,0,0,0,0,8,NO SABIA QUE EX,1,3,3,2,2,01001000104070102010511,02
6,01,001,0001,0498,010276,02,1,1,2,3,4,6,1,5,0,0,0,012,003,002,030,015,005,1,006,006,000,04,020,005,003,DIA 7,BLANCO Y NEGRO,HOLA,2,,,,2,,,,,,,,,,,,,,,,,,,2,2,2,2,2,1,2,,,,,,,,,,,,0,0,0,0,0,0,0,8,POR MOT. ECONO.,2,3,2,2,2,01001000104980102760211,01
6,01,001,0001,0498,010276,04,1,1,5,4,2,6,3,1,0,0,0,050,012,015,010,010,000,4,010,005,003,03,012,004,004,DIA 7,TV NOTAS,SUCESOS,2,,,,2,,,,,,,,,,,,,,,,,,,1,2,2,2,2,2,2,,,,,,,,,,,,0,0,0,4,0,0,0,0,,3,3,2,2,2,01001000104980102760411,01
6,01,001,0001,0498,010276,05,1,1,2,4,5,3,1,6,0,0,0,008,004,000,002,001,000,1,003,001,000,01,010,003,002,TV Y NOVELAS,TV NOTAS,CONTENIDO,1, 1, 5,,1,1,03,2,1,2,1,2,1,2,1,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,,,,,,,,,,,,1,0,0,4,0,0,0,0,,4,3,3,2,2,01001000104980102760511,02
6,01,001,0001,0500,010293,01,1,1,4,3,5,6,2,1,0,0,0,003,001,000,021,002,000,7,080,007,007,02,100,050,050,TV Y NOTAS,COSMOS,NATIONAL,2,,,,2,,,,,,,,,,,,,,,,,,,2,2,1,1,2,1,2,00,00,00,00,00,06,00,00,00,00,,,,,,,,,,,2,3,2,3,2,01001000105000102930111,03
6,01,001,0001,0500,010293,02,1,1,5,4,3,2,6,1,0,0,0,007,001,006,007,007,000,0,000,000,000,02,010,010,000,SELECCIONES RAIDER,CALDO DE POLLO 2DO.TOMO,CAMINO DE LA VIDA,2,,,,1,2,,,,,,,,,,,,,,,,,,1,1,2,1,1,2,2,01,00,03,00,00,00,00,00,00,00,,,,,,,,,,,2,3,2,2,2,01001000105000102930211,02
6,01,001,0001,0500,010293,03,1,1,3,6,5,1,2,4,0,0,0,010,003,005,000,000,000,0,000,000,000,03,050,000,030,NATIONAL,GROMUNDO,,1, 1, 2,,1,1,10,2,1,2,1,1,1,2,2,1,2,1,1,2,2,1,1,2,1,1,1,1,2,2,00,00,03,00,00,00,00,00,00,00,,,,,,,,,,,2,2,2,2,2,01001000105000102930311,01
6,01,001,0001,0500,010293,04,1,1,1,2,6,3,4,5,0,0,0,010,005,000,030,018,000,0,000,000,000,00,000,000,000,,,,2,,,,2,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,1,0,3,0,0,0,0,0,,1,2,3,2,4,01001000105000102930411,02
6,01,001,0001,0500,010293,05,1,1,5,6,4,3,1,2,0,0,0,010,000,005,012,012,000,0,000,000,000,00,000,000,000,,,,2,,,,1,2,,,,,,,,,,,,,,,,,,2,1,2,2,2,2,2,,,,,,,,,,,,0,0,0,0,0,0,7,0,,3,3,2,2,3,01001000105000102930511,02
