"TPREG,C,1","ENTIDAD,C,2","MUNICIPIO,C,3","LOCALIDAD,C,4","AGEB,C,4","NUMCONTROL,C,6","VIVSEL,C,2","IDHOGAR,C,1","DEGVIV,C,1","JUEZ,C,2","MEDICO,C,2","ABOGADO,C,2","INVESTIGA,C,2","HOMBRENG,C,2","PERIODI,C,2","BANQUERO,C,2","INGENIE,C,2","ARQUITE,C,2","PROFESOR,C,2","DEPORT,C,2","ARTISTA,C,2","PEREVYPER,C,1","PETVYRAD,C,1","PALITICOS,C,1","INC,C,1","CIENTRAUNI,C,1","CIENTRACEN,C,1","ASOCPAM,C,1","EMPRESA,C,1","MILITARES,C,1","LIDREL,C,1","GOBIERNO,C,1","MADICOS,C,1","ESCEINV,C,1","BIOLOGIA,C,1","ASTRONOM,C,1","HISTORIA,C,1","FISICA,C,1","HOMEOPA,C,1","HOROSCOPOS,C,1","ECONOMIA,C,1","MEDICINA,C,1","PSICOLOGIA,C,1","MATEMA,C,1","PARAPSI,C,1","CIIMANEG,C,1","CLMCNOAT,C,1","TECIDIFI,C,1","EXPLYSNOAT,C,1","POCOINTJOV,C,1","OTRA,C,1","NINGUNA,C,1","NOSABE,C,1","ESPE_C166,C,50","LLAVE,C,23","NUMREN,C,2"
7,01,001,0001,0407,010201,01,1,1,07,10,06,09,08,08,07,09,09,08,09,08,2,2,3,2,2,2,3,3,2,3,3,2,3,2,2,3,2,3,4,3,1,2,1,3,0,3,2,1,0,0,0,0,,01001000104070102010111,03
7,01,001,0001,0407,010201,02,1,1,10,10,09,09,08,08,06,07,07,07,07,07,2,2,3,2,1,1,1,2,2,3,3,1,2,2,2,3,1,3,4,3,1,2,1,2,0,0,3,2,0,0,0,0,LAS CARRERAS CIENTIFICAS SON MAS CARAS,01001000104070102010211,01
7,01,001,0001,0407,010201,03,1,1,09,05,08,10,08,03,03,09,02,02,04,08,3,3,3,2,2,4,3,2,1,3,3,2,2,2,2,4,2,2,4,3,1,1,1,1,0,3,0,2,1,0,0,0,,01001000104070102010311,02
7,01,001,0001,0407,010201,04,1,1,08,09,07,10,09,08,09,09,09,10,10,09,2,2,3,1,1,1,1,2,1,1,2,2,1,1,2,3,1,2,4,2,1,2,1,2,0,2,3,1,0,0,0,0,,01001000104070102010411,01
7,01,001,0001,0407,010201,05,1,1,09,07,04,10,09,09,09,09,09,09,09,09,2,2,2,1,1,1,2,2,2,2,2,2,1,2,1,4,1,1,4,4,1,4,1,4,0,3,1,0,2,0,0,0,,01001000104070102010511,02
7,01,001,0001,0498,010276,02,1,1,05,07,04,10,05,08,05,07,08,04,07,01,3,3,3,2,2,2,3,3,2,3,3,2,2,1,2,3,1,3,4,2,2,1,1,4,0,2,1,0,3,0,0,0,,01001000104980102760211,01
7,01,001,0001,0498,010276,04,1,1,07,09,07,09,08,07,08,09,09,07,08,08,2,2,3,2,1,1,3,3,2,2,3,1,2,2,2,3,1,2,4,2,1,2,1,2,0,3,1,0,2,0,0,0,,01001000104980102760411,01
7,01,001,0001,0498,010276,05,1,1,07,07,07,10,08,09,09,08,09,08,07,05,2,2,3,1,1,1,2,3,2,3,3,2,2,2,1,2,2,1,4,3,1,1,1,2,0,0,3,2,1,0,0,0,,01001000104980102760511,02
7,01,001,0001,0500,010293,01,1,1,01,06,07,08,05,06,07,08,10,10,10,10,2,2,3,2,2,2,2,2,3,2,3,2,2,2,2,3,3,4,2,4,1,1,3,3,0,2,1,3,0,0,0,0,,01001000105000102930111,03
7,01,001,0001,0500,010293,02,1,1,07,10,08,10,08,07,07,07,08,07,09,08,3,2,3,1,2,1,2,3,3,3,3,1,2,1,1,1,1,3,2,2,1,1,1,1,3,2,0,0,1,0,0,0,,01001000105000102930211,02
7,01,001,0001,0500,010293,03,1,1,08,10,05,08,07,06,05,05,08,05,08,05,3,2,3,2,1,1,2,3,2,3,2,1,1,2,1,3,3,2,4,4,1,3,3,3,0,3,1,0,2,0,0,0,,01001000105000102930311,01
