"PER,C,4","AGEB,C,4","CD,C,2","PRO_VIV,C,4","ENT,C,2","CON,C,4","V_SEL,C,1","N_HOG,C,1","N_REN,C,2","S3P1,C,2","S3P1_2,C,1","S3P2,C,4","S3P2_ES,C,50","S3P3,C,1","S3P4_1,C,1","S3P4_2,C,1","S3P4_3,C,1","S3P4_4,C,1","S3P5,C,1","S3P6,C,2","S3P7,C,1","S3P7_1_1,C,1","S3P7_1_2,C,1","S3P7_2_1,C,1","S3P7_2_2,C,1","S3P8,C,1","S3P9,C,1","S3P10,C,1","S3P11_ES,C,100","S3P12_C,C,4","S3P12_ES,C,50","S3P13_ES,C,50","S3P14_C,C,4","S3P14_ES,C,100","S3P15,C,1","S4P1_1,C,1","S4P1_2,C,1","S4P1_3,C,1","S4P1_4,C,1","S4P1_5,C,1","S4P1_6,C,1","S4P1_7,C,1","S4P1_1_1,C,1","S4P1_1_2,C,1","S4P1_1_3,C,1","S4P1_1_4,C,1","S4P1_1_5,C,1","S4P1_1_6,C,1","S4P1_1_7,C,1","S4P1_1_ES,C,50","S4P1_2_1,C,1","S4P1_2_2,C,1","S4P1_2_3,C,1","S4P1_2_4,C,1","S4P1_2_5,C,1","S4P1_2_6,C,1","S4P1_2_7,C,1","S4P1_2_8,C,1","S4P1_2_9,C,1","S4P1_2_10,C,1","S4P1_2_11,C,1","S4P1_2_ES,C,50","S4P2_1,C,1","S4P2_2,C,1","S4P2_3,C,1","S4P2_4,C,1","S4P2_5,C,1","S4P2_6,C,1","S4P2_7,C,1","S4P3_1,C,1","S4P3_2,C,1","S4P3_3,C,1","S4P3_4,C,1","S4P3_5,C,1","S4P3_6,C,1","S4P3_7,C,1","S4P3_8,C,1","S4P3_9,C,1","S4P4,C,3","S4P4_1,C,3","S4P4_2,C,3","S4P5,C,3","S4P5_1,C,3","S4P5_2,C,3","S4P6,C,1","S4P6_1,C,2","S4P6_2,C,2","S4P6_3,C,2","S4P7,C,2","S4P7_1,C,2","S4P7_2,C,2","S4P7_3,C,2","S4P7_R1,C,50","S4P7_R2,C,50","S4P7_R3,C,50","S4P8,C,1","S4P8_1_1,C,2","S4P8_1_2,C,2","S4P8_1_ES,C,50","S4P9,C,1","S4P10,C,1","S4P10_1,C,2","S4P11_1,C,1","S4P11_2,C,1","S4P11_3,C,1","S4P11_4,C,1","S4P11_5,C,1","S4P11_6,C,1","S4P11_7,C,1","S4P11_8,C,1","S4P11_9,C,1","S4P11_10,C,1","S4P11_11,C,1","S4P11_12,C,1","S4P11_13,C,1","S4P11_14,C,1","S4P11_15,C,1","S4P11_16,C,1","S4P11_ES,C,50","S4P12_1,C,1","S4P12_2,C,1","S4P12_3,C,1","S4P12_4,C,1","S4P12_5,C,1","S4P12_6,C,1","S4P12_7,C,1","S4P12_1_1,C,1","S4P12_1_2,C,1","S4P12_1_3,C,1","S4P12_1_4,C,1","S4P12_1_5,C,1","S4P12_1_6,C,1","S4P12_1_7,C,1","S4P12_1_8,C,1","S4P12_1_9,C,1","S4P12_1_10,C,1","S4P12_1_ES,C,50","S4P12_2_1,C,1","S4P12_2_2,C,1","S4P12_2_3,C,1","S4P12_2_4,C,1","S4P12_2_5,C,1","S4P12_2_6,C,1","S4P12_2_7,C,1","S4P12_2_8,C,1","S4P12_2_ES,C,50","S4P13_1,C,1","S4P13_2,C,1","S4P13_3,C,1","S4P13_4,C,1","S4P13_5,C,1","S4P13_6,C,1","S4P14_1,C,2","S4P14_2,C,2","S4P14_3,C,2","S4P14_4,C,2","S4P14_5,C,2","S4P14_6,C,2","S4P14_7,C,2","S4P14_8,C,2","S4P14_9,C,2","S4P14_10,C,2","S4P14_11,C,2","S4P14_12,C,2","S4P15_1,C,1","S4P15_2,C,1","S4P15_3,C,1","S4P15_4,C,1","S4P15_5,C,1","S4P15_6,C,1","S4P15_7,C,1","S4P15_8,C,1","S4P15_9,C,1","S4P15_10,C,1","S4P15_11,C,1","S4P15_12,C,1","S4P15_13,C,1","S4P15_14,C,1","S4P16_1,C,1","S4P16_2,C,1","S4P16_3,C,1","S4P16_4,C,1","S4P16_5,C,1","S4P16_6,C,1","S4P16_7,C,1","S4P16_8,C,1","S4P16_9,C,1","S4P16_10,C,1","S4P16_11,C,1","S4P16_12,C,1","S4P17_1,C,1","S4P17_2,C,1","S4P17_3,C,1","S4P17_4,C,1","S4P17_5,C,1","S4P17_ES,C,50","S4P17_6,C,1","S4P17_7,C,1","S4P18_1,C,1","S4P18_2,C,1","S4P18_3,C,1","S4P18_4,C,1","S4P18_5,C,1","S4P18_6,C,1","S4P18_7,C,1","S4P18_8,C,1","S4P18_9,C,1","S4P18_10,C,1","S4P19_1,C,1","S4P19_2,C,1","S4P19_3,C,1","S4P19_4,C,1","S4P19_5,C,1","S4P19_6,C,1","S4P19_7,C,1","S4P19_8,C,1","S4P19_9,C,1","S4P19_10,C,1","S4P19_11,C,1","S4P19_12,C,1","S4P19_13,C,1","S4P19_14,C,1","S4P19_15,C,1","S4P19_16,C,1","S4P19_17,C,1","S4P19_18,C,1","S4P19_19,C,1","S4P19_20,C,1","S4P20,C,1","S4P21,C,1","S4P22_1,C,1","S4P22_2,C,1","S4P23_1,C,1","S4P23_2,C,1","S4P23_3,C,1","S4P23_4,C,1","S4P23_5,C,1","S4P23_6,C,1","S4P23_7,C,1","S4P23_8,C,1","S4P23_9,C,1","S4P23_10,C,1","S4P23_11,C,1","FAC,N,6,0"
0809,0604,14,0036,01,0013,2,1,01,07,5,4152,INGENIERIA INDUSTRIAL,3,1,1,1,1,1,27,2,,,2,2,1,,4,VENDE ABARROTES VINOS Y LICORES,7100,COMERCIANTE,ABARROTES EL GARROTE,4611,SERVICIO AL PUBLICO COMPRA VENTA DE ABARROTES,2,4,4,4,4,4,4,4,0,0,0,0,1,0,0,,,,,,,,,,,,,,2,4,2,4,2,2,2,6,3,2,4,1,5,,,,000,,,000,,,0,,,,00,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,1,0,0,0,0,0,0,0,,3,2,2,2,3,2,01,02,01,01,02,02,01,01,01,01,01,02,4,3,4,4,3,5,4,4,3,4,4,4,5,5,4,3,4,2,4,4,4,2,4,2,2,4,3,2,,1,,,,,4,4,3,4,4,4,4,4,4,4,2,2,2,1,2,2,2,1,1,1,1,2,1,1,1,2,2,2,1,2,3,3,1,3,3,2,2,2,2,3,3,3,3,3,3,9421
0809,0604,14,0064,01,0013,3,1,03,07,2,3923,COMERCIALIZACION,3,2,2,2,1,1,20,1,2,1,,,4,5,,,,,,,,,4,3,2,3,1,3,3,,,,,,,,,0,1,1,0,0,0,0,1,0,0,0,,4,3,2,4,2,3,3,6,5,1,2,4,3,,,,015,000,000,010,005,000,0,,,,00,,,,,,,1,01,03,,1,1,60,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,2,,1,2,1,2,2,2,2,,,,,,,,,,,,0,0,0,0,0,0,0,1,PORQUE NO SABE DONDE AHI UN MUSEO,3,3,2,2,2,3,07,10,07,10,09,08,08,09,09,09,09,09,3,3,4,2,2,2,2,3,2,2,3,2,3,2,2,2,3,2,3,2,3,2,2,2,2,2,,2,3,1,,,,,3,2,2,3,2,2,2,3,2,2,1,2,1,1,3,1,1,1,3,1,1,2,1,1,1,2,2,2,1,1,3,3,1,3,1,1,2,3,2,3,3,3,3,2,3,23695
0809,0604,14,0088,01,0013,4,1,01,02,6,,,,,,,,,,,,,,,5,5,,,,,,,,,3,3,4,4,2,3,3,0,0,1,0,0,0,0,,,,,,,,,,,,,,3,3,3,3,4,3,4,4,3,1,6,5,2,,,,008,007,000,014,007,000,0,,,,00,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,1,1,1,2,2,2,2,,,,,,,,,,,,1,0,0,0,0,0,0,0,,3,3,2,2,4,2,10,10,10,10,10,10,05,10,10,10,10,10,3,3,3,3,2,3,3,3,2,2,3,2,3,3,2,4,2,2,4,4,4,2,4,2,2,2,1,3,2,,,,,,4,4,3,3,3,3,4,4,3,3,1,2,1,1,2,2,1,2,1,2,1,1,1,1,1,1,2,1,1,1,3,3,2,,2,2,1,2,2,2,2,4,4,3,3,5404
0809,2206,14,0028,01,0151,2,1,02,02,6,,,,,,,,,,,,,,,5,5,,,,,,,,,4,4,4,4,4,4,4,0,0,0,0,0,0,1,POR QUE NO SABE LO QUE ES,,,,,,,,,,,,,4,4,4,4,4,4,4,2,4,6,1,3,5,,,,028,003,000,014,003,000,1,03,01,00,00,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,0,0,0,0,0,0,0,1,PORQUE DESCONOCE LO QUE ES UN MUSEO,2,2,2,2,4,4,08,10,10,10,10,10,10,10,10,10,10,08,3,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,3,2,2,2,2,2,1,3,,,,,,4,4,4,4,4,4,4,4,4,4,1,2,1,3,2,2,1,2,2,1,1,2,1,2,2,1,1,2,1,1,3,3,2,,2,2,2,2,3,2,2,2,3,2,3,12474
0809,2206,14,0051,01,0151,3,1,01,02,3,,,,,,,,,,,,,,,6,5,,,,,,,,,1,4,4,4,2,4,4,0,1,0,0,0,0,0,,,,,,,,,,,,,,1,3,4,4,3,4,4,1,2,6,4,5,3,,,,021,007,000,007,007,000,6,01,01,00,00,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,0,0,0,0,0,0,1,0,,3,3,3,2,3,2,05,10,05,06,10,02,04,10,10,07,08,05,3,3,4,4,2,2,2,3,2,2,4,2,3,1,2,2,2,2,4,4,4,2,2,2,4,4,1,,2,3,,,,,4,4,3,4,3,3,4,4,3,3,1,1,1,1,3,3,2,2,1,2,1,1,1,3,2,2,1,1,2,1,3,2,2,,3,2,2,2,2,3,3,3,3,5,3,6002
0809,2206,14,0104,01,0151,5,1,02,03,3,,,,,,,,,,,,,,,5,5,,,,,,,,,2,3,3,3,4,3,2,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,,3,3,3,4,4,3,3,5,3,2,6,4,1,,,,030,028,000,050,000,000,2,04,03,00,00,,,,,,,2,,,,1,2,,,,,,,,,,,,,,,,,,,2,2,1,2,1,2,2,,,,,,,,,,,,0,0,0,1,0,0,0,0,,3,3,3,2,2,3,07,10,06,07,05,09,07,07,07,10,08,06,2,2,3,2,2,2,2,3,3,3,2,2,2,2,2,2,3,2,2,3,3,2,4,3,4,3,,1,2,3,,,,,3,4,3,3,3,4,4,3,3,4,1,1,1,1,2,2,1,1,1,1,1,2,2,2,1,2,2,2,1,2,3,2,1,3,2,2,2,3,2,3,2,2,3,3,3,14323
0809,0407,14,0009,01,0201,1,1,01,07,4,3911,LICENCIADO EN ECONOMIA,3,1,1,1,1,1,23,2,,,2,2,3,5,,,,,,,,,3,3,2,2,2,3,2,,,,,,,,,1,1,1,1,1,0,1,0,1,1,0,,3,2,2,3,2,2,2,4,5,2,3,6,1,,,,012,006,003,030,010,003,5,18,12,06,04,12,10,02,ROMANOS,PROCESO,POLEMICA,1,04,05,,1,1,5,1,1,1,2,1,2,1,1,2,1,1,2,2,1,2,2,,1,1,1,1,1,1,2,1,0,0,0,0,1,0,0,0,0,,,,,,,,,,,3,3,3,3,3,3,01,05,01,07,07,06,07,08,08,04,04,05,3,3,4,3,2,2,2,3,3,3,3,2,2,2,2,2,4,2,2,2,2,1,1,1,2,3,,1,3,2,,,,,3,3,2,2,2,2,4,4,2,2,1,2,2,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,3,1,3,2,2,2,2,2,3,3,3,3,3,4,6733
0809,0407,14,0049,01,0201,2,1,03,07,4,3431,LIC EN ENFERMERIA,3,1,1,1,1,1,22,2,,,1,2,1,,1,CUIDADAR Y ANTENDER ENFERMOS,1131,ENFERMERA,ISSSTE,6222,A PROPORCIONAR SERVICIOS DE HOSPITALIZACION Y SALUD,1,2,4,2,1,1,4,4,,,,,,,,,1,1,1,0,1,0,0,0,0,0,0,,3,4,2,2,3,4,4,4,3,2,5,6,1,,,,007,000,002,010,002,002,0,,,,07,15,00,05,TU,NATIONAL GEOGRAPHIC,MUY INTERESANTE,1,01,04,,1,1,4,2,2,1,1,1,2,2,2,2,2,1,2,2,2,1,2,,2,2,2,2,1,2,2,,,,,,,,,,,,1,0,0,0,0,0,0,0,,3,3,2,2,2,3,05,10,08,10,09,06,07,09,09,08,07,07,3,2,3,2,2,2,2,3,2,2,3,1,2,2,2,2,3,2,3,4,3,1,2,2,2,3,,2,3,1,,,,,2,3,2,2,2,2,2,2,2,2,1,2,2,1,2,1,2,1,1,1,1,2,1,1,1,2,2,2,1,1,3,3,1,3,1,1,1,1,1,1,1,1,3,3,2,18137
0809,0407,14,0126,01,0201,4,1,03,07,3,3131,DISEÑO GRAFICO EN MERCADOTECNIA,3,1,1,1,1,2,22,1,2,2,,,4,3,4,PROMOCION Y DISEÑO DE PAGINAS WEB,1423,DISEÑADOR GRAFICO INDEPENDIENTE,DISEÑADOR GRAFICO SIN NOMBRE,5411,DISEÑO DE PAGINAS WEB,2,2,3,1,1,2,4,4,,,,,,,,,0,1,1,0,0,0,0,0,0,1,0,,2,3,2,3,3,3,3,4,6,5,2,3,1,,,,005,001,001,002,001,000,2,02,01,01,04,10,04,05,NO RECUERDA,,,1,01,03,,1,1,15,1,1,1,2,1,1,2,1,1,1,1,1,2,1,2,2,,1,2,1,2,2,2,2,,,,,,,,,,,,1,0,0,0,0,0,0,0,,2,3,2,2,2,3,05,08,08,08,07,05,07,09,09,07,08,09,2,2,3,2,2,2,2,2,3,3,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,,1,2,3,,,,,3,2,3,3,2,2,3,3,2,2,1,2,2,1,3,2,1,1,1,1,1,2,1,1,1,2,2,2,1,1,3,2,1,3,2,2,2,2,3,3,5,3,3,3,3,18137
0809,0407,14,0154,01,0201,5,1,01,07,3,3411,MEDICO CIRUJANO,3,1,1,1,1,1,23,2,,,1,2,1,,4,A DAR CONULTAS Y REALIZAR CIRUGIAS,1130,MEDICO CIRUJANO,ISEA INSTITUTO DE SALUD DEL ESTADO DE AGUASCALIENT,6222,A PROPORCIONAR SERVICIOS DE SALUD AL PUBLICO EN GENERAL,1,2,3,2,2,2,4,3,,,,,,,,,1,0,0,0,1,0,0,0,0,0,0,,1,3,2,2,2,4,2,6,4,2,3,5,1,,,,010,004,003,005,004,000,3,05,05,00,02,10,05,00,REVISTAS MEDICAS,,,1,01,02,,1,1,10,2,2,2,1,1,1,2,2,2,2,2,2,2,1,1,2,,2,1,2,1,2,2,2,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,3,2,3,2,2,3,07,08,07,09,08,05,05,08,08,07,05,05,2,3,4,2,1,1,2,2,2,3,3,2,1,1,1,1,2,1,2,2,2,1,1,2,2,3,1,2,3,,,,,,1,2,3,3,2,3,1,1,2,3,1,2,2,1,2,1,1,1,1,1,1,2,1,1,1,3,2,2,2,2,3,3,1,3,2,2,2,2,2,2,2,2,3,3,3,13877
