"R_DEF,C,2","PER,C,4","AGEB,C,4","CD,C,2","V_SEL,C,1","ENT,C,2","CON,C,4","PRO_VIV,C,4","N_HOG,C,1","N_REN,C,2","PAR,C,1","SEX,C,1","EDA,C,3","NAC_DIA,C,2","NAC_MES,C,2","NAC_ANIO,C,4","NIV,C,2","GRA,C,1","A_ESC,C,1","R_ELE,C,1","FAC,N,10,0","FAC18,N,10,0","ED_ENPECYT,C,1"
01,0809,0604,14,2,01,0013,0036,1,01,1,1,046,12,04,1963,07,5,3,1,4368,9421,3
01,0809,0604,14,2,01,0013,0036,1,02,2,2,036,30,03,1973,06,1,2,,4368,0,3
01,0809,0604,14,2,01,0013,0036,1,03,3,2,014,21,03,1995,03,2,,,4368,0,3
01,0809,0604,14,2,01,0013,0036,1,04,3,1,012,01,05,1997,02,6,,,4368,0,3
01,0809,0604,14,2,01,0013,0036,1,05,3,2,008,15,03,2001,02,2,,,4368,0,3
01,0809,0604,14,3,01,0013,0064,1,01,1,1,067,21,12,1941,07,3,3,,4368,0,3
01,0809,0604,14,3,01,0013,0064,1,02,2,2,067,16,12,1941,02,6,,,4368,0,3
01,0809,0604,14,3,01,0013,0064,1,03,4,2,020,07,01,1989,07,2,3,1,4368,23695,3
01,0809,0604,14,3,01,0013,0064,1,04,4,1,049,29,08,1960,04,1,,,4368,0,3
01,0809,0604,14,3,01,0013,0064,1,05,3,1,036,29,11,1972,07,5,3,,4368,0,3
01,0809,0604,14,3,01,0013,0064,1,06,4,2,005,07,11,2003,01,2,,,4368,0,3
01,0809,0604,14,4,01,0013,0088,1,01,1,2,066,02,10,1942,02,6,,1,4368,5404,3
01,0809,2206,14,2,01,0151,0028,1,01,1,1,029,25,10,1979,02,5,,,5370,0,2
01,0809,2206,14,2,01,0151,0028,1,02,2,2,027,06,07,1982,02,6,,1,5370,12474,2
01,0809,2206,14,2,01,0151,0028,1,03,3,2,006,04,11,2002,02,1,,,5370,0,2
01,0809,2206,14,2,01,0151,0028,1,04,3,1,000,22,09,2008,,,,,5370,0,2
01,0809,2206,14,3,01,0151,0051,1,01,1,1,065,13,01,1944,02,3,,1,5370,6002,2
01,0809,2206,14,5,01,0151,0104,1,01,1,1,027,01,06,1982,03,3,,,5370,0,2
01,0809,2206,14,5,01,0151,0104,1,02,2,2,020,04,06,1989,03,3,,1,5370,14323,2
01,0809,2206,14,5,01,0151,0104,1,03,7,2,021,31,08,1988,03,3,,,5370,0,2
01,0809,2206,14,5,01,0151,0104,1,04,3,1,005,17,04,2004,01,1,,,5370,0,2
01,0809,2206,14,5,01,0151,0104,1,05,3,1,003,10,03,2006,,,,,5370,0,2
01,0809,0407,14,1,01,0201,0009,1,01,1,1,062,24,01,1947,07,4,3,1,5737,6733,4
01,0809,0407,14,1,01,0201,0009,1,02,3,1,006,22,03,2003,01,3,,,5737,0,4
01,0809,0407,14,2,01,0201,0049,1,01,1,1,046,21,09,1962,07,4,3,,5737,0,4
01,0809,0407,14,2,01,0201,0049,1,02,2,2,049,20,08,1960,04,3,,,5737,0,4
01,0809,0407,14,2,01,0201,0049,1,03,3,2,022,21,09,1986,07,4,3,1,5737,18137,4
01,0809,0407,14,2,01,0201,0049,1,04,3,2,016,13,04,1993,04,1,,,5737,0,4
01,0809,0407,14,2,01,0201,0049,1,05,3,2,008,11,07,2001,02,2,,,5737,0,4
01,0809,0407,14,4,01,0201,0126,1,01,1,2,048,10,12,1960,03,3,,,5737,0,4
01,0809,0407,14,4,01,0201,0126,1,02,3,2,024,16,05,1985,07,3,3,,5737,0,4
01,0809,0407,14,4,01,0201,0126,1,03,3,1,023,16,05,1986,07,3,3,1,5737,18137,4
01,0809,0407,14,4,01,0201,0126,1,04,4,1,004,20,11,2004,,,,,5737,0,4
01,0809,0407,14,5,01,0201,0154,1,01,1,1,034,14,08,1975,07,3,3,1,5737,13877,4
01,0809,0407,14,5,01,0201,0154,1,02,2,2,034,09,08,1975,07,3,3,,5737,0,4
01,0809,0407,14,5,01,0201,0154,1,03,3,1,007,17,11,2001,02,2,,,5737,0,4
01,0809,0407,14,5,01,0201,0154,1,04,3,2,005,20,12,2003,01,3,,,5737,0,4
01,0809,2066,14,2,01,0205,0033,1,01,1,1,049,22,07,1960,02,6,,1,5056,26528,2
01,0809,2066,14,2,01,0205,0033,1,02,2,2,050,03,01,1959,06,3,2,,5056,0,2
01,0809,2066,14,2,01,0205,0033,1,03,3,1,025,15,03,1984,07,5,3,,5056,0,2
01,0809,2066,14,2,01,0205,0033,1,04,3,1,023,26,09,1985,07,5,3,,5056,0,2
01,0809,2066,14,2,01,0205,0033,1,05,3,1,021,08,05,1988,07,3,3,,5056,0,2
01,0809,2066,14,3,01,0205,0065,1,01,1,1,061,21,08,1948,02,6,,,5056,0,2
01,0809,2066,14,3,01,0205,0065,1,02,3,2,024,08,07,1985,07,4,3,1,5056,9668,2
01,0809,2066,14,4,01,0205,0103,1,01,1,1,060,07,06,1949,02,1,,1,5056,11453,2
01,0809,2066,14,4,01,0205,0103,1,02,4,2,072,07,12,1936,02,6,,,5056,0,2
01,0809,0498,14,1,01,0276,0011,1,01,1,1,024,12,03,1985,03,3,,,3576,0,2
01,0809,0498,14,1,01,0276,0011,1,02,2,2,021,28,05,1988,03,3,,1,3576,8955,2
01,0809,0498,14,3,01,0276,0054,1,01,1,1,044,31,05,1965,04,3,,,3576,0,2
01,0809,0498,14,3,01,0276,0054,1,02,2,2,044,03,10,1964,04,3,,,3576,0,2
01,0809,0498,14,3,01,0276,0054,1,03,3,2,020,14,09,1988,07,2,3,,3576,0,2
01,0809,0498,14,3,01,0276,0054,1,04,3,2,019,04,06,1990,07,1,3,1,3576,19197,2
01,0809,0498,14,3,01,0276,0054,1,05,3,1,017,25,12,1991,04,1,,,3576,0,2
01,0809,0498,14,3,01,0276,0054,1,06,3,2,014,01,05,1995,03,2,,,3576,0,2
01,0809,0498,14,3,01,0276,0054,1,07,3,2,012,16,11,1996,02,5,,,3576,0,2
01,0809,0498,14,3,01,0276,0054,1,08,3,2,007,08,01,2002,02,1,,,3576,0,2
01,0809,0498,14,3,01,0276,0054,1,09,3,1,006,09,07,2003,01,3,,,3576,0,2
01,0809,0498,14,4,01,0276,0076,1,01,1,1,022,12,12,1986,03,3,,1,3576,4478,2
01,0809,0498,14,5,01,0276,0099,1,01,1,1,071,02,04,1938,02,3,,,3576,0,2
01,0809,0498,14,5,01,0276,0099,1,02,2,2,066,01,07,1943,02,3,,,3576,0,2
01,0809,0498,14,5,01,0276,0099,1,03,3,2,029,05,05,1980,04,3,,,3576,0,2
01,0809,0498,14,5,01,0276,0099,1,04,3,2,024,09,07,1985,03,3,,1,3576,17910,2
01,0809,0500,14,1,01,0293,0002,1,01,1,2,065,08,01,1944,02,6,,1,5347,7223,3
01,0809,0500,14,1,01,0293,0002,2,01,1,1,056,06,12,1952,04,3,,,5347,0,3
01,0809,0500,14,1,01,0293,0002,2,02,2,2,052,04,03,1957,03,3,,1,5347,5700,3
01,0809,0500,14,1,01,0293,0002,2,03,3,1,017,04,02,1992,04,2,,,5347,0,3
01,0809,1744,14,2,01,0039,0037,1,01,1,2,065,22,05,1944,03,3,,1,4671,6047,2
01,0809,1744,14,3,01,0039,0064,1,01,1,2,069,30,04,1940,02,6,,,4671,0,2
01,0809,1744,14,3,01,0039,0064,1,02,4,1,065,05,08,1944,02,6,,1,4671,12094,2
01,0809,1744,14,4,01,0039,0090,1,01,1,2,052,01,09,1956,02,6,,,4671,0,2
01,0809,1744,14,4,01,0039,0090,1,02,3,1,020,28,06,1989,03,3,,1,4671,14429,2
01,0809,1744,14,4,01,0039,0090,1,03,3,2,025,27,05,1984,03,3,,,4671,0,2
01,0809,1744,14,4,01,0039,0090,1,04,4,1,005,13,05,2004,01,1,,,4671,0,2
01,0809,1744,14,4,01,0039,0090,1,05,4,1,002,27,01,2007,,,,,4671,0,2
01,0809,1744,14,5,01,0039,0113,1,01,1,1,021,07,09,1987,03,3,,,4671,0,2
01,0809,1744,14,5,01,0039,0113,1,02,2,2,021,15,01,1988,04,3,,1,4671,9619,2
01,0809,1744,14,5,01,0039,0113,1,03,3,1,000,05,02,2009,,,,,4671,0,2
01,0809,2795,14,1,01,0047,0009,1,01,1,1,047,31,10,1961,02,6,,1,6261,11130,2
01,0809,2795,14,1,01,0047,0009,1,02,2,2,048,11,10,1960,02,6,,,6261,0,2
01,0809,2795,14,1,01,0047,0009,1,03,3,1,015,01,10,1993,03,3,,,6261,0,2
01,0809,2795,14,1,01,0047,0009,1,04,3,2,009,01,02,2000,02,3,,,6261,0,2
01,0809,2795,14,2,01,0047,0037,1,01,1,1,032,05,11,1976,02,3,,,6261,0,2
01,0809,2795,14,2,01,0047,0037,1,02,2,2,026,29,04,1983,03,3,,1,6261,13247,2
01,0809,2795,14,2,01,0047,0037,1,03,3,1,002,25,10,2006,,,,,6261,0,2
01,0809,2795,14,3,01,0047,0073,1,01,1,2,034,16,10,1974,02,1,,,6261,0,2
01,0809,2795,14,3,01,0047,0073,1,02,2,1,028,27,05,1981,02,3,,1,6261,19870,2
01,0809,2795,14,3,01,0047,0073,1,03,3,1,004,20,08,2004,,,,,6261,0,2
01,0809,2795,14,3,01,0047,0073,1,04,4,1,056,18,08,1952,02,3,,,6261,0,2
01,0809,2795,14,4,01,0047,0108,1,01,1,1,023,15,04,1986,03,3,,1,6261,10140,2
01,0809,2795,14,4,01,0047,0108,1,02,2,2,022,20,01,1987,03,3,,,6261,0,2
01,0809,2795,14,4,01,0047,0108,1,03,3,1,004,21,10,2004,,,,,6261,0,2
01,0809,2719,14,1,01,0074,0003,1,01,1,2,050,25,01,1959,02,5,,,4266,0,3
01,0809,2719,14,1,01,0074,0003,1,02,3,2,022,13,03,1987,04,3,,1,4266,9606,3
01,0809,2719,14,3,01,0074,0068,1,01,1,2,043,04,08,1966,06,2,2,1,4266,9195,3
01,0809,2719,14,3,01,0074,0068,1,02,4,2,089,23,03,1920,02,2,,,4266,0,3
01,0809,2719,14,3,01,0074,0068,1,03,3,2,017,09,09,1991,03,3,,,4266,0,3
01,0809,2719,14,3,01,0074,0068,1,04,3,1,002,13,11,2006,,,,,4266,0,3
01,0809,2719,14,4,01,0074,0097,1,01,1,1,044,24,04,1965,04,3,,1,4266,9195,3
01,0809,2719,14,4,01,0074,0097,1,02,2,2,044,15,01,1965,04,3,,,4266,0,3
01,0809,2719,14,4,01,0074,0097,1,03,3,1,017,02,06,1992,04,2,,,4266,0,3
01,0809,2719,14,4,01,0074,0097,1,04,3,2,013,26,01,1996,03,1,,,4266,0,3
01,0809,2719,14,4,01,0074,0097,1,05,3,1,010,18,06,1999,02,4,,,4266,0,3
