"CD,C,2","PER,C,4","ENT,C,2","CON,C,4","V_SEL,C,1","N_HOG,C,1","N_REN,C,2","S3P1,C,2","S3P1_2,C,1","S3P2,C,4","S3P2_ES,C,50","S3P3,C,1","S3P4_1,C,1","S3P4_2,C,1","S3P4_3,C,1","S3P4_4,C,1","S3P5,C,1","S3P5_ES,C,50","S3P6,C,2","S3P7,C,1","S3P7_1_1,C,1","S3P7_1_2,C,1","S3P7_2_1,C,1","S3P7_2_2,C,1","S3P8,C,1","S3P9,C,1","S3P10,C,1","S3P11_ES,C,100","S3P12_C,C,2","S3P12_ES,C,50","S3P13_ES,C,50","S3P14_C,C,2","S3P14_ES,C,100","S3P15,C,1","S4P1_1,C,1","S4P1_2,C,1","S4P1_3,C,1","S4P1_4,C,1","S4P1_5,C,1","S4P1_6,C,1","S4P1_7,C,1","S4P1_1_1,C,1","S4P1_1_2,C,1","S4P1_1_3,C,1","S4P1_1_4,C,1","S4P1_1_5,C,1","S4P1_1_6,C,1","S4P1_1_7,C,1","S4P1_1_ES,C,50","S4P1_2_1,C,1","S4P1_2_2,C,1","S4P1_2_3,C,1","S4P1_2_4,C,1","S4P1_2_5,C,1","S4P1_2_6,C,1","S4P1_2_7,C,1","S4P1_2_8,C,1","S4P1_2_9,C,1","S4P1_2_10,C,1","S4P1_2_11,C,1","S4P1_2_ES,C,50","S4P2_1,C,1","S4P2_2,C,1","S4P2_3,C,1","S4P2_4,C,1","S4P2_5,C,1","S4P2_6,C,1","S4P2_7,C,1","S4P3_1,C,1","S4P3_2,C,1","S4P3_3,C,1","S4P3_4,C,1","S4P3_5,C,1","S4P3_6,C,1","S4P3_7,C,1","S4P3_8,C,1","S4P3_9,C,1","S4P4,C,3","S4P4_1,C,3","S4P4_2,C,3","S4P5,C,3","S4P5_1,C,3","S4P5_2,C,3","S4P6,C,1","S4P6_1,C,2","S4P6_2,C,2","S4P6_3,C,2","S4P7,C,2","S4P7_1,C,2","S4P7_2,C,2","S4P7_3,C,2","S4P7_R1,C,50","S4P7_R2,C,50","S4P7_R3,C,50","S4P8,C,1","S4P8_1_1,C,2","S4P8_1_2,C,2","S4P8_1_ES,C,50","S4P9,C,1","S4P10,C,1","S4P10_1,C,2","S4P11_1,C,1","S4P11_2,C,1","S4P11_3,C,1","S4P11_4,C,1","S4P11_5,C,1","S4P11_6,C,1","S4P11_7,C,1","S4P11_8,C,1","S4P11_9,C,1","S4P11_10,C,1","S4P11_11,C,1","S4P11_12,C,1","S4P11_13,C,1","S4P11_14,C,1","S4P11_15,C,1","S4P11_16,C,1","S4P11_17,C,1","S4P11_ES,C,50","S4P12_1,C,1","S4P12_2,C,1","S4P12_3,C,1","S4P12_4,C,1","S4P12_5,C,1","S4P12_6,C,1","S4P12_7,C,1","S4P12_8,C,1","S4P12_9,C,1","S4P12_1_1,C,1","S4P12_1_2,C,1","S4P12_1_3,C,1","S4P12_1_4,C,1","S4P12_1_5,C,1","S4P12_1_6,C,1","S4P12_1_7,C,1","S4P12_1_8,C,1","S4P12_1_9,C,1","S4P12_1_10,C,1","S4P12_1_ES,C,50","S4P12_2_1,C,1","S4P12_2_2,C,1","S4P12_2_3,C,1","S4P12_2_4,C,1","S4P12_2_5,C,1","S4P12_2_6,C,1","S4P12_2_7,C,1","S4P12_2_8,C,1","S4P12_2_ES,C,50","S4P13_1,C,1","S4P13_2,C,1","S4P13_3,C,1","S4P13_4,C,1","S4P13_5,C,1","S4P13_6,C,1","S4P14_1,C,2","S4P14_2,C,2","S4P14_3,C,2","S4P14_4,C,2","S4P14_5,C,2","S4P14_6,C,2","S4P14_7,C,2","S4P14_8,C,2","S4P14_9,C,2","S4P14_10,C,2","S4P14_11,C,2","S4P14_12,C,2","S4P14_13,C,2","S4P14_14,C,2","S4P14_15,C,2","S4P14_16,C,2","S4P15_1,C,1","S4P15_2,C,1","S4P15_3,C,1","S4P15_4,C,1","S4P15_5,C,1","S4P15_6,C,1","S4P15_7,C,1","S4P15_8,C,1","S4P15_9,C,1","S4P15_10,C,1","S4P15_11,C,1","S4P15_12,C,1","S4P15_13,C,1","S4P15_14,C,1","S4P15_15,C,1","S4P16_1,C,1","S4P16_2,C,1","S4P16_3,C,1","S4P16_4,C,1","S4P16_5,C,1","S4P16_6,C,1","S4P16_7,C,1","S4P16_8,C,1","S4P16_9,C,1","S4P16_10,C,1","S4P16_11,C,1","S4P16_12,C,1","S4P17_1,C,1","S4P17_2,C,1","S4P17_3,C,1","S4P17_4,C,1","S4P17_5,C,1","S4P17_ES,C,50","S4P17_6,C,1","S4P17_7,C,1","S4P18_1,C,1","S4P18_2,C,1","S4P18_3,C,1","S4P18_4,C,1","S4P18_5,C,1","S4P18_6,C,1","S4P18_7,C,1","S4P18_8,C,1","S4P18_9,C,1","S4P18_10,C,1","S4P19_1,C,1","S4P19_2,C,1","S4P19_3,C,1","S4P19_4,C,1","S4P19_5,C,1","S4P19_6,C,1","S4P19_7,C,1","S4P19_8,C,1","S4P19_9,C,1","S4P19_10,C,1","S4P19_11,C,1","S4P19_12,C,1","S4P19_13,C,1","S4P19_14,C,1","S4P19_15,C,1","S4P19_16,C,1","S4P19_17,C,1","S4P19_18,C,1","S4P19_19,C,1","S4P19_20,C,1","S4P20,C,1","S4P21,C,1","S4P22_1_1,C,1","S4P22_1_2,C,1","S4P22_1_3,C,1","S4P22_1_4,C,1","S4P22_1_5,C,1","S4P22_1_6,C,1","S4P22_2,C,1","FAC,N,6,0"
14,0811,01,0293,4,2,01,06,2,1800,CONTADOR PRIVADO,1,,,,,,,,,,,,,3,5,,,,,,,,,2,4,2,4,1,1,1,,,,,,,,,1,1,1,2,1,1,2,1,1,1,2,,2,4,2,4,1,2,4,2,3,6,4,1,5,,,,007,004,000,002,001,000,2,14,07,00,00,,,,,,,2,,,,1,2,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,1,2,,,,,,,,,,,,0,0,0,0,0,1,0,0,,3,2,2,3,3,5,06,07,05,08,08,08,07,08,08,09,09,07,10,08,07,09,2,2,4,3,2,2,1,3,4,2,4,2,1,2,2,1,2,3,1,4,4,4,1,2,1,4,1,,2,3,1,,,,,5,5,2,5,2,4,5,5,5,5,2,2,2,1,3,3,1,2,1,2,1,1,1,3,3,3,2,3,2,1,3,4,4,6,4,6,1,6,3,10058
14,0811,01,0293,4,3,01,07,1,5335,LIC. EN ADMINISTRACION DE EMPRESAS,3,1,1,1,1,1,,39,2,,,1,1,1,,1,LLEVA DOCUMENTOS OFICIALES Y PAPELERIA Y TRANSPORTA GENTE,31,AUXILIAR ADMINISTRATIVO Y TAXISTA,MUNICIPIO,93,SEGURIDAD PUBLICA,2,2,2,2,2,1,2,2,,,,,,,,,1,1,1,1,1,1,1,1,1,1,2,,1,1,1,1,1,1,1,3,4,5,1,2,6,,,,008,005,003,001,001,000,7,70,50,20,08,03,03,00,PROCESOS,,,1,02,04,,1,1,50,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,,2,1,1,2,2,1,1,1,1,,,,,,,,,,,,0,0,0,0,0,0,1,0,,3,3,2,2,2,2,07,10,08,10,08,08,08,08,08,09,10,08,10,10,08,10,2,2,3,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,3,1,2,2,2,2,3,1,2,,,,,,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,1,3,1,1,1,1,2,1,1,2,1,2,1,1,3,4,3,3,3,3,2,3,3,11619
14,0811,01,0013,1,1,05,07,2,5341,LICENCIATURA EN DERECHO,3,2,2,2,2,2,,24,2,,,1,1,1,,1,CONTESTA TELEFONOS ATIENDE CLIENTES,32,ASESOR TELEFONICO,MC Y ASOSIADOS,56,COBRANZAS Y OFRECIMIENTO DE SERVICIOS,2,1,1,1,1,2,4,1,,,,,,,,,1,1,1,1,1,1,1,1,1,1,2,,3,3,3,3,3,4,3,3,4,5,2,1,6,,,,005,005,000,000,,,3,03,03,00,00,,,,,,,1,01,02,,1,1,25,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,,1,1,1,2,2,1,2,1,2,,,,,,,,,,,,0,0,0,1,0,0,0,0,,3,3,1,2,2,3,08,08,10,10,10,07,09,09,09,08,08,06,10,08,08,10,3,3,2,1,1,1,2,2,2,1,2,2,1,1,2,1,1,4,1,3,4,4,1,2,1,4,4,,2,3,1,,,,,2,2,3,3,2,2,2,2,2,2,1,2,1,1,1,1,1,2,1,2,1,2,1,1,1,2,2,2,2,1,3,3,5,1,3,1,2,2,1,26950
14,0811,01,0013,2,1,02,02,6,,,,,,,,,,,,,,,,1,,6,,,,,,,,3,3,3,3,3,3,2,,,,,,,,,1,2,1,2,2,2,1,1,2,2,2,,3,4,4,4,3,3,3,3,2,5,4,6,1,,,,021,007,000,049,000,000,7,10,02,00,00,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,0,0,0,0,0,0,0,,1,2,2,1,1,2,02,09,07,05,03,10,03,02,02,10,05,05,08,08,06,10,3,3,3,3,1,1,3,3,2,2,3,2,3,3,2,3,2,2,2,2,2,4,2,5,2,2,2,,2,3,1,,,,,3,5,3,4,3,3,4,4,4,4,1,3,1,2,1,3,1,2,1,1,1,3,3,3,3,3,3,3,3,2,3,1,4,3,3,3,3,3,1,17802
14,0811,01,0013,3,1,02,06,3,1800,AUXILIAR DE CONTADOR,1,,,,,,,,,,,,,5,5,,,,,,,,,3,3,3,3,3,3,4,,,,,,,,,1,2,2,2,1,2,2,2,2,1,2,,3,3,3,3,3,3,3,2,3,5,1,4,6,,,,006,001,000,003,001,000,7,15,05,02,00,,,,,,,2,,,,1,2,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,1,1,,,,,,,,,,,,1,0,0,0,0,0,0,0,,2,3,2,2,2,2,01,10,05,09,08,05,05,06,08,03,05,08,09,09,05,05,2,2,2,2,3,2,2,2,2,2,3,2,3,2,2,1,1,3,1,3,3,3,1,3,1,3,4,2,3,1,,,,,,3,4,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,3,2,5,1,4,1,1,1,1,10284
14,0811,01,0013,5,1,01,07,2,5331,LICENCIATURA EN NEGOCIOS Y ADMINISTRACION,3,2,2,2,1,1,,20,1,1,2,,,4,5,,,,,,,,,3,3,2,2,1,2,1,,,,,,,,,1,1,1,1,1,1,2,2,1,2,2,,2,3,2,3,1,2,2,6,5,3,2,4,1,,,,001,000,000,003,001,000,0,,,,01,05,02,01,SELECCIONES,,,1,01,03,,1,1,30,2,1,1,1,2,1,1,1,1,1,1,1,2,1,2,1,2,,1,2,1,2,2,1,2,2,2,,,,,,,,,,,,0,0,0,1,0,0,0,0,,4,3,3,3,2,3,05,09,05,10,09,07,08,10,09,08,09,07,06,08,01,08,3,3,4,2,1,1,1,3,3,3,3,2,3,1,2,2,1,4,1,3,1,4,1,4,1,1,1,,3,2,1,,,,,3,2,3,3,3,3,4,4,3,2,1,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,3,3,5,1,2,1,1,1,1,15154
14,0811,01,0039,3,1,01,02,3,,,,,,,,,,,,,,,,1,,5,FABRICA PALETAS DE HIELO. ATIENDE EL NEGOCIO.,41,PROPIETARIA,HELADOS TREVIS,46,A LA VENTA DE PALETAS DE HIELO AL MENUDEO EN UN LOCAL COMERCIAL,2,3,3,3,3,3,3,3,,,,,,,,,1,2,1,2,2,2,2,2,2,2,2,,3,3,4,4,4,3,4,2,6,5,3,1,4,,,,014,007,000,014,007,000,0,,,,00,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,0,0,1,0,0,0,0,,1,2,1,1,1,1,11,05,05,10,06,06,06,08,09,05,06,07,10,05,04,10,2,3,3,2,2,2,2,2,2,2,3,2,3,2,2,5,5,5,5,5,5,5,2,5,1,5,5,,2,1,3,,,,,4,4,4,4,4,4,4,4,5,5,1,1,1,1,1,1,1,2,1,2,1,2,1,1,3,3,2,1,1,1,3,2,6,6,6,6,6,6,3,4851
14,0811,01,0039,4,1,02,02,6,,,,,,,,,,,,,,,,5,1,4,COCE EN MAQUINA SABANAS,73,COSTURERA,COSTURERA SIN NOMBRE,46,A LA VENTA DE SABANAS AL MENUDEO EN SU HOGAR,2,3,3,3,3,3,3,3,,,,,,,,,1,2,1,2,2,2,2,2,2,2,2,,3,4,4,4,4,4,4,2,5,6,3,1,4,,,,021,004,000,025,021,002,0,,,,00,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,1,2,,,,,,,,,,,,0,0,0,1,0,0,0,0,,4,2,2,2,2,3,04,08,05,06,06,05,08,07,09,05,06,08,10,09,06,08,3,3,3,2,2,2,2,3,2,2,4,1,3,2,3,3,5,5,5,5,5,3,1,5,1,5,5,,,,,,,,1,4,4,4,4,4,4,4,4,5,5,1,1,1,2,1,3,1,2,1,2,1,1,1,1,2,2,2,1,1,1,5,4,6,6,6,6,6,6,1,9703
14,0811,01,0039,5,1,03,02,6,,,,,,,,,,,,,,,,1,,4,REALIZA TRABAJOS DE FONTANERIA,71,FONTANETO,FONTANERO SIN NOMBRE,23,A LA REVICION DE FONTANERIA EN CASAS,2,2,3,4,2,3,1,3,,,,,,,,,1,1,2,2,2,1,2,2,1,1,2,,1,3,3,2,3,2,3,5,3,6,1,2,4,,,,056,015,000,000,,,4,04,04,00,00,,,,,,,2,,,,1,2,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,0,0,0,0,0,0,0,1,NO SALE DE CASA,2,3,3,1,2,2,05,10,06,09,04,02,01,07,05,10,09,09,10,10,02,03,3,3,3,2,2,2,2,3,2,3,3,1,2,1,1,5,3,1,2,3,2,3,1,2,2,2,3,,3,2,1,,,,,4,3,3,3,3,3,3,3,4,4,2,2,1,1,1,3,1,1,1,1,1,2,1,1,2,2,2,1,2,2,3,3,4,2,3,1,3,1,1,15670
14,0811,01,0151,1,1,03,04,2,,,,,,,,2,,18,1,1,2,,,4,5,,,,,,,,,1,3,1,3,1,3,3,,,,,,,,,1,2,1,2,1,1,2,2,2,2,2,,1,4,3,4,1,3,2,2,5,6,3,1,4,,,,007,001,000,000,,,2,08,02,00,00,,,,,,,2,,,,1,1,10,2,2,1,2,2,2,2,1,2,1,2,1,2,1,1,1,2,,2,1,1,1,1,2,2,1,1,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,3,4,1,1,2,2,07,08,06,09,08,09,06,08,08,06,09,10,09,08,06,05,3,3,3,2,2,2,2,3,2,2,3,2,3,2,2,3,3,4,1,1,3,4,1,3,3,3,3,,1,2,3,,,,,3,3,2,3,2,2,2,2,3,3,1,1,1,2,2,1,2,1,1,1,1,2,1,1,1,2,2,2,1,2,3,2,5,1,2,1,1,1,1,20831
