"CD,C,2","PER,C,4","AGEB,C,4","ENT,C,2","CON,C,4","PRO_VIV,C,4","V_SEL,C,1","N_HOG,C,1","RFC_E,C,10","RFC_S,C,10","R_PRE,C,2","FCH_PRE,C,10","R_DEF,C,2","FCH_DEF,C,10","P1,C,2","P2,C,1","P3,C,2","R_INF,C,2","R_ELE,C,2","FAC,N,6,0"
14,0811,0500,01,0293,0132,4,2,-,-,01,01/08/2011,01,08/08/2011,,,,02,01,4273
14,0811,0500,01,0293,0132,4,3,-,-,01,01/08/2011,01,08/08/2011,,,,02,01,4273
14,0811,0604,01,0013,0012,1,1,-,-,01,01/08/2011,01,03/08/2011,05,1,,04,05,5042
14,0811,0604,01,0013,0043,2,1,-,-,01,01/08/2011,01,03/08/2011,04,1,,01,02,5042
14,0811,0604,01,0013,0069,3,1,-,-,01,02/08/2011,01,03/08/2011,02,1,,01,02,5042
14,0811,0604,01,0013,0121,5,1,-,-,01,03/08/2011,01,04/08/2011,03,1,,01,01,5042
14,0811,1744,01,0039,0071,3,1,-,-,01,05/08/2011,01,05/08/2011,02,1,,01,01,5170
14,0811,1744,01,0039,0095,4,1,-,-,01,05/08/2011,01,05/08/2011,02,1,,02,02,5170
14,0811,1744,01,0039,0126,5,1,-,-,01,05/08/2011,01,07/08/2011,05,1,,01,03,5170
14,0811,2206,01,0151,0005,1,1,-,-,01,05/08/2011,01,05/08/2011,04,1,,04,03,5784
14,0811,2206,01,0151,0032,2,1,-,-,01,03/08/2011,01,04/08/2011,05,1,,01,02,5784
14,0811,2206,01,0151,0067,3,1,-,-,01,03/08/2011,01,04/08/2011,03,1,,03,03,5784
14,0811,2206,01,0151,0103,4,1,-,-,01,03/08/2011,01,04/08/2011,06,1,,02,04,5784
14,0811,2206,01,0151,0127,5,1,-,-,01,05/08/2011,01,05/08/2011,05,1,,02,01,5784
14,0811,3168,01,0163,0034,2,1,-,-,01,05/08/2011,01,07/08/2011,03,1,,02,01,4624
14,0811,3168,01,0163,0054,3,1,-,-,01,05/08/2011,01,07/08/2011,03,1,,03,03,4624
14,0811,0407,01,0201,0006,1,1,-,-,01,03/08/2011,01,07/08/2011,01,,,01,01,6062
14,0811,0407,01,0201,0046,2,1,-,-,01,03/08/2011,01,07/08/2011,03,1,,01,01,6062
14,0811,0407,01,0201,0079,3,1,-,-,01,06/08/2011,01,08/08/2011,04,1,,04,01,6062
14,0811,0407,01,0201,0124,4,1,-,-,01,04/08/2011,01,07/08/2011,02,1,,02,01,6062
14,0811,2066,01,0205,0019,1,1,-,-,01,02/08/2011,01,03/08/2011,03,1,,02,02,5626
14,0811,2066,01,0205,0051,2,1,-,-,01,02/08/2011,01,03/08/2011,08,1,,02,01,5626
14,0811,2066,01,0205,0089,3,1,-,-,01,04/08/2011,01,05/08/2011,05,1,,01,01,5626
14,0811,2066,01,0205,0128,4,1,-,-,01,02/08/2011,01,05/08/2011,04,1,,01,01,5626
14,0811,2066,01,0205,0164,5,1,-,-,01,02/08/2011,01,03/08/2011,03,1,,01,01,5626
14,0811,0498,01,0276,0002,1,1,-,-,01,02/08/2011,01,03/08/2011,03,1,,02,01,6080
14,0811,0498,01,0276,0057,3,1,-,-,01,01/08/2011,01,03/08/2011,02,1,,02,02,6080
14,0811,0500,01,0293,0060,2,1,-,-,01,02/08/2011,01,03/08/2011,02,1,,02,01,4273
14,0811,0500,01,0293,0097,3,1,-,-,01,01/08/2011,01,03/08/2011,04,1,,02,02,4273
14,0811,0500,01,0293,0132,4,1,-,-,01,01/08/2011,01,04/08/2011,11,2,03,01,02,4273
14,0811,0500,01,0293,0169,5,1,-,-,01,02/08/2011,01,05/08/2011,03,1,,02,01,4273
14,0811,1744,01,0039,0047,2,1,-,-,01,16/08/2011,01,16/08/2011,04,1,,02,01,5170
14,0811,2795,01,0047,0040,2,1,-,-,01,11/08/2011,01,12/08/2011,06,1,,02,02,6122
14,0811,2795,01,0047,0074,3,1,-,-,01,11/08/2011,01,15/08/2011,08,1,,02,01,6122
14,0811,2795,01,0047,0110,4,1,-,-,01,11/08/2011,01,12/08/2011,02,1,,02,01,6122
14,0811,2719,01,0074,0010,1,1,-,-,01,09/08/2011,01,15/08/2011,04,1,,02,01,5058
14,0811,2719,01,0074,0041,2,1,-,-,01,09/08/2011,01,10/08/2011,03,1,,02,02,5058
14,0811,2719,01,0074,0073,3,1,-,-,01,08/08/2011,01,10/08/2011,04,1,,04,04,5058
14,0811,2719,01,0074,0102,4,1,-,-,01,08/08/2011,01,10/08/2011,05,1,,02,04,5058
14,0811,2719,01,0074,0135,5,1,-,-,01,08/08/2011,01,10/08/2011,04,1,,03,03,5058
14,0811,1299,01,0122,0394,5,1,-,-,01,10/08/2011,01,11/08/2011,06,1,,05,05,5555
14,0811,2812,01,0193,0052,3,1,-,-,01,12/08/2011,01,15/08/2011,05,1,,03,04,5341
14,0811,2719,01,0196,0014,1,1,-,-,01,08/08/2011,01,11/08/2011,05,1,,03,02,4750
14,0811,2719,01,0196,0044,2,1,-,-,01,08/08/2011,01,11/08/2011,03,1,,01,01,4750
14,0811,2719,01,0196,0068,3,1,-,-,01,08/08/2011,01,11/08/2011,05,1,,02,01,4750
14,0811,2719,01,0196,0096,4,1,-,-,01,08/08/2011,01,11/08/2011,05,1,,03,01,4750
14,0811,2719,01,0196,0124,5,1,-,-,01,08/08/2011,01,11/08/2011,05,1,,02,01,4750
14,0811,2511,01,0268,0018,1,1,-,-,01,11/08/2011,01,12/08/2011,03,1,,01,01,4637
14,0811,2511,01,0268,0039,2,1,-,-,01,12/08/2011,01,15/08/2011,03,1,,02,01,4637
14,0811,2511,01,0268,0062,3,1,-,-,01,12/08/2011,01,15/08/2011,04,1,,03,03,4637
14,0811,2583,01,0270,0044,2,1,-,-,01,12/08/2011,01,15/08/2011,06,1,,03,04,4501
14,0811,2583,01,0270,0072,3,1,-,-,01,12/08/2011,01,15/08/2011,04,1,,02,01,4501
14,0811,2583,01,0270,0099,4,1,-,-,01,12/08/2011,01,15/08/2011,02,1,,01,02,4501
14,0811,0498,01,0276,0031,2,1,-,-,01,10/08/2011,01,11/08/2011,01,,,01,01,6080
14,0811,0498,01,0276,0100,5,1,-,-,01,08/08/2011,01,10/08/2011,02,1,,02,02,6080
14,0811,255A,01,0285,0075,3,1,-,-,01,11/08/2011,01,12/08/2011,03,1,,02,02,4011
14,0811,255A,01,0285,0127,5,1,-,-,01,11/08/2011,01,12/08/2011,04,1,,02,02,4011
