"CD_A,C,2","PER,C,4","ENT,C,2","CON,C,5","V_SEL,C,1","N_HOG,C,1","N_REN,C,2","NOM,C,35","PAR,C,1","SEX,C,1","EDA,C,3","NAC_DIA,C,2","NAC_MES,C,2","NAC_ANIO,C,4","NIV,C,2","GRA,C,1","A_ESC,C,1","ELEGIDO,C,1","R_DEF,C,2","EST_DIS,C,1","UPM_DIS,C,6","FACTOR,N,10,0","FAC18,N,10,0"
14,0813,01,40007,5,1,02,-,2,2,067,28,06,1946,02,6,,0,01,3,00001,4681,0
14,0813,01,40007,2,1,02,-,2,2,054,19,03,1959,02,3,,0,01,3,00001,4681,0
14,0813,01,40007,2,1,01,-,1,1,059,13,08,1953,02,3,,0,01,3,00001,4681,0
14,0813,01,40007,4,1,05,-,4,2,009,11,04,2004,02,3,,0,01,3,00001,4681,0
14,0813,01,40007,4,1,04,-,4,1,011,07,01,2002,02,5,,0,01,3,00001,4681,0
14,0813,01,40007,4,1,03,-,3,2,032,05,08,1981,07,4,3,1,01,3,00001,4681,14315
14,0813,01,40007,4,1,02,-,7,1,030,20,10,1982,07,5,3,0,01,3,00001,4681,0
14,0813,01,40007,4,1,01,-,1,2,062,18,02,1951,05,4,2,0,01,3,00001,4681,0
14,0813,01,40007,3,1,03,-,3,2,004,02,01,2009,,,,0,01,3,00001,4681,0
14,0813,01,40007,3,1,02,-,3,1,005,07,08,2008,01,3,,0,01,3,00001,4681,0
14,0813,01,40007,3,1,01,-,1,2,027,02,06,1986,04,2,,1,01,3,00001,4681,4772
14,0813,01,40007,1,1,02,-,2,2,071,23,06,1942,02,1,,1,01,3,00001,4681,9543
14,0813,01,40007,1,1,01,-,1,1,061,28,03,1952,02,6,,0,01,3,00001,4681,0
14,0813,01,40007,2,2,04,-,3,1,010,04,07,2003,02,4,,0,01,3,00001,4681,0
14,0813,01,40007,2,2,03,-,3,1,011,06,03,2002,02,5,,0,01,3,00001,4681,0
14,0813,01,40007,2,2,02,-,2,2,038,19,11,1974,03,1,,0,01,3,00001,4681,0
14,0813,01,40007,2,2,01,-,1,1,034,01,05,1979,02,3,,1,01,3,00001,4681,9151
14,0813,01,40007,5,1,06,-,4,2,002,08,07,2011,,,,0,01,3,00001,4681,0
14,0813,01,40007,5,1,05,-,4,2,021,10,07,1992,07,2,3,1,01,3,00001,4681,23858
14,0813,01,40007,5,1,04,-,3,2,042,28,12,1970,03,3,,0,01,3,00001,4681,0
14,0813,01,40007,5,1,01,-,1,1,072,04,10,1940,03,3,,0,01,3,00001,4681,0
14,0813,01,40007,2,1,03,-,3,1,022,28,07,1991,02,4,,1,01,3,00001,4681,13726
14,0813,01,40007,5,1,03,-,4,1,042,19,04,1971,02,6,,0,01,3,00001,4681,0
14,0813,01,40010,2,1,05,-,3,1,017,31,07,1996,02,5,,0,01,3,00002,3873,0
14,0813,01,40010,3,1,01,-,1,2,065,23,10,1947,02,6,,0,01,3,00002,3873,0
14,0813,01,40010,2,1,03,-,3,1,033,31,07,1980,03,3,,1,01,3,00002,3873,11357
14,0813,01,40010,2,1,02,-,2,2,063,23,04,1950,02,6,,0,01,3,00002,3873,0
14,0813,01,40010,2,1,01,-,1,1,064,10,10,1948,02,6,,0,01,3,00002,3873,0
14,0813,01,40010,4,1,05,-,3,1,010,24,03,2003,02,4,,0,01,3,00002,3873,0
14,0813,01,40010,4,1,04,-,3,1,012,25,08,2000,03,1,,0,01,3,00002,3873,0
14,0813,01,40010,4,1,03,-,3,2,017,09,02,1996,04,1,,0,01,3,00002,3873,0
14,0813,01,40010,4,1,02,-,2,2,043,08,12,1969,06,2,2,0,01,3,00002,3873,0
14,0813,01,40010,4,1,01,-,1,1,043,09,02,1970,04,3,,1,01,3,00002,3873,7571
14,0813,01,40010,1,1,02,-,2,2,065,02,04,1948,02,6,,0,02,3,00002,3873,0
14,0813,01,40010,1,1,01,-,1,1,067,25,05,1946,02,6,,1,02,3,00002,3873,0
14,0813,01,40010,5,1,04,-,4,1,015,17,12,1997,04,1,,0,01,3,00002,3873,0
14,0813,01,40010,5,1,03,-,3,2,042,08,01,1971,03,3,,0,01,3,00002,3873,0
14,0813,01,40010,5,1,02,-,3,1,034,19,06,1979,02,6,,1,01,3,00002,3873,11357
14,0813,01,40010,5,1,01,-,1,1,066,30,03,1947,02,6,,0,01,3,00002,3873,0
14,0813,01,40010,3,1,04,-,4,1,004,18,04,2009,,,,0,01,3,00002,3873,0
14,0813,01,40010,3,1,03,-,4,2,009,31,03,2004,02,3,,0,01,3,00002,3873,0
14,0813,01,40010,3,1,02,-,3,2,030,07,08,1983,07,4,3,1,01,3,00002,3873,7896
14,0813,01,40010,2,1,04,-,3,1,017,22,05,1996,03,3,,0,01,3,00002,3873,0
14,0813,01,40013,3,1,04,-,3,1,012,15,02,2001,02,6,,0,01,4,00003,4940,0
14,0813,01,40013,3,1,05,-,3,1,010,21,03,2003,02,4,,0,01,4,00003,4940,0
14,0813,01,40013,1,1,01,-,1,1,049,07,02,1964,07,4,3,0,01,4,00003,4940,0
14,0813,01,40013,1,1,02,-,2,2,046,26,09,1966,09,1,4,0,01,4,00003,4940,0
14,0813,01,40013,1,1,03,-,3,1,019,10,05,1994,04,2,,1,01,4,00003,4940,14786
14,0813,01,40013,1,1,04,-,3,1,017,22,02,1996,04,2,,0,01,4,00003,4940,0
14,0813,01,40013,2,1,01,-,1,2,090,23,10,1922,02,6,,0,01,4,00003,4940,0
14,0813,01,40013,2,1,02,-,3,2,060,12,11,1952,06,3,2,0,01,4,00003,4940,0
