"CD_A,C,2","PER,C,4","AGEB,C,5","UPM,C,7","ENT,C,2","CON,C,5","PRO_VIV,C,4","V_SEL,C,1","N_HOG,C,1","CTA_ENT,C,50","CTA_SUP,C,50","R_PRE,C,2","FCH_PRE,C,10","R_DEF,C,2","FCH_DEF,C,10","P1,C,2","P2,C,1","P3,C,2","R_INF,C,2","R_ELE,C,2","FAC,N,6,0"
14,0813,00000,0100177,01,40007,0056,5,1,-,-,01,02/08/2013,01,09/08/2013,06,1,,01,05,4681
14,0813,00000,0100177,01,40007,0082,1,1,-,-,01,02/08/2013,01,09/08/2013,02,1,,02,02,4681
14,0813,00000,0100177,01,40007,0135,3,1,-,-,01,07/08/2013,01,09/08/2013,03,1,,01,01,4681
14,0813,00000,0100177,01,40007,0029,4,1,-,-,01,05/08/2013,01,09/08/2013,05,1,,03,03,4681
14,0813,00000,0100177,01,40007,0108,2,2,-,-,01,02/08/2013,01,09/08/2013,,,,02,01,4681
14,0813,00000,0100177,01,40007,0108,2,1,-,-,01,02/08/2013,01,09/08/2013,07,2,2,02,03,4681
14,0813,00000,0100803,01,40010,0094,1,1,-,-,02,14/08/2013,02,20/08/2013,02,1,,01,01,0
14,0813,00000,0100803,01,40010,0069,3,1,-,-,01,13/08/2013,01,20/08/2013,04,1,,02,02,3873
14,0813,00000,0100803,01,40010,0043,4,1,-,-,01,21/08/2013,01,23/08/2013,05,1,,02,01,3873
14,0813,00000,0100803,01,40010,0062,5,1,-,-,01,14/08/2013,01,20/08/2013,04,1,,02,02,3873
14,0813,00000,0100803,01,40010,0017,2,1,-,-,01,16/08/2013,01,20/08/2013,05,1,,03,03,3873
14,0813,00000,0101933,01,40013,0061,4,1,-,-,01,06/08/2013,01,09/08/2013,02,1,,01,02,4940
14,0813,00000,0101933,01,40013,0079,5,1,-,-,01,08/08/2013,01,09/08/2013,04,1,,02,01,4940
14,0813,00000,0101933,01,40013,0015,2,1,-,-,01,06/08/2013,01,09/08/2013,03,1,,03,03,4940
14,0813,00000,0101933,01,40013,0037,3,1,-,-,01,14/08/2013,01,20/08/2013,05,1,,02,02,4940
14,0813,00000,0101933,01,40013,0104,1,1,-,-,01,20/08/2013,01,22/08/2013,04,1,,03,03,4940
14,0813,00000,0101450,01,40016,0004,1,1,-,-,01,05/08/2013,01,09/08/2013,02,1,,01,01,2286
14,0813,00000,0101450,01,40016,0055,5,1,-,-,01,07/08/2013,01,09/08/2013,04,1,,01,01,2286
14,0813,00000,0101450,01,40016,0042,4,1,-,-,01,06/08/2013,01,09/08/2013,04,1,,02,02,2286
14,0813,00000,0101450,01,40016,0029,3,1,-,-,01,05/08/2013,01,09/08/2013,06,1,,02,01,2286
14,0813,00000,0101450,01,40016,0017,2,1,-,-,07,28/08/2013,07,28/08/2013,,,,,,0
14,0813,00000,0101372,01,40048,0085,1,1,-,-,01,14/08/2013,01,20/08/2013,06,1,,02,02,5600
14,0813,00000,0101372,01,40048,0018,3,1,-,-,01,22/08/2013,01,23/08/2013,02,1,,02,01,5600
14,0813,00000,0101372,01,40048,0040,4,1,-,-,01,16/08/2013,01,20/08/2013,05,1,,01,01,5600
14,0813,00000,0101372,01,40048,0108,2,1,-,-,07,16/08/2013,07,20/08/2013,,,,,,0
14,0813,00000,0101372,01,40048,0063,5,1,-,-,01,14/08/2013,01,20/08/2013,05,1,,02,02,5600
14,0813,00000,0100587,01,40074,0065,2,1,-,-,01,16/08/2013,01,20/08/2013,03,1,,03,03,4159
14,0813,00000,0100587,01,40074,0106,5,1,-,-,01,16/08/2013,01,20/08/2013,08,1,,04,04,4159
14,0813,00000,0100587,01,40074,0088,3,1,-,-,01,19/08/2013,01,28/08/2013,05,1,,01,01,4159
14,0813,00000,0100587,01,40074,0034,4,1,-,-,07,28/08/2013,07,28/08/2013,,,,,,0
14,0813,00000,0100587,01,40074,0006,1,1,-,-,01,19/08/2013,01,20/08/2013,02,1,,02,02,4159
14,0813,00000,0101132,01,40081,0013,1,1,-,-,01,12/08/2013,01,20/08/2013,04,1,,01,02,5552
14,0813,00000,0101132,01,40081,0040,2,1,-,-,01,14/08/2013,01,20/08/2013,03,1,,01,01,5552
14,0813,00000,0101132,01,40081,0067,3,1,-,-,01,17/08/2013,01,20/08/2013,03,1,,01,01,5552
14,0813,00000,0101132,01,40081,0094,4,1,-,-,01,12/08/2013,01,20/08/2013,03,1,,02,02,5552
14,0813,00000,0101132,01,40081,0121,5,1,-,-,01,12/08/2013,01,20/08/2013,02,1,,01,01,5552
14,0813,00000,0101035,01,40105,0061,3,1,-,-,01,13/08/2013,01,20/08/2013,03,1,,01,01,3996
14,0813,00000,0101035,01,40105,0082,4,1,-,-,01,12/08/2013,01,20/08/2013,06,1,,02,02,3996
14,0813,00000,0101035,01,40105,0028,1,1,-,-,01,09/08/2013,01,20/08/2013,05,1,,03,03,3996
14,0813,00000,0101035,01,40105,0103,5,1,-,-,01,09/08/2013,01,20/08/2013,08,1,,01,01,3996
14,0813,00000,0101035,01,40105,0040,2,1,-,-,01,09/08/2013,01,20/08/2013,04,1,,01,01,3996
14,0813,00000,0101844,01,40108,0045,4,1,-,-,01,19/08/2013,01,20/08/2013,04,1,,01,01,3492
14,0813,00000,0101844,01,40108,0120,3,1,-,-,01,19/08/2013,01,20/08/2013,04,1,,01,02,3492
14,0813,00000,0101844,01,40108,0147,1,1,-,-,01,23/08/2013,01,26/08/2013,02,1,,01,01,3492
14,0813,00000,0101844,01,40108,0013,5,1,-,-,01,19/08/2013,01,21/08/2013,06,1,,02,04,3492
14,0813,00000,0101844,01,40108,0093,2,1,-,-,01,26/08/2013,01,28/08/2013,05,1,,01,02,3492
14,0813,00000,0100823,01,40113,0040,1,1,-,-,01,13/08/2013,01,20/08/2013,05,1,,03,03,5162
14,0813,00000,0100823,01,40113,0084,3,1,-,-,01,13/08/2013,01,20/08/2013,04,1,,01,01,5162
14,0813,00000,0100823,01,40113,0034,5,1,-,-,01,14/08/2013,01,20/08/2013,01,,,01,01,5162
14,0813,00000,0100823,01,40113,0013,4,1,-,-,01,12/08/2013,01,20/08/2013,03,1,,01,01,5162
14,0813,00000,0100823,01,40113,0063,2,1,-,-,01,14/08/2013,01,20/08/2013,03,1,,02,02,5162
14,0813,00000,0101271,01,40114,0119,5,1,-,-,01,09/08/2013,01,20/08/2013,03,1,,03,03,5281
14,0813,00000,0101271,01,40114,0061,1,1,-,-,01,12/08/2013,01,20/08/2013,03,1,,02,02,5281
