"CD_A,C,2","PER,C,4","ENT,C,2","CON,C,5","V_SEL,C,1","N_HOG,C,1","N_REN,C,2","S3P1,N,2,0","S3P1_2,N,1,0","S3P2,C,4","S3P2_ES,C,50","S3P3,N,1,0","S3P4_1,N,1,0","S3P4_2,N,1,0","S3P4_3,N,1,0","S3P4_4,N,1,0","S3P4_5,N,1,0","S3P4_6,N,1,0","S3P4_7,N,1,0","S3P5,N,1,0","S3P5_ES,C,50","S3P6,N,2,0","S3P7,N,1,0","S3P7_1_1,N,1,0","S3P7_1_2,N,1,0","S3P7_1_3,N,1,0","S3P7_1_4,N,1,0","S3P7_1_5,N,1,0","S3P7_2_1,N,1,0","S3P7_2_2,N,1,0","S3P7_2_3,N,1,0","S3P7_2_4,N,1,0","S3P7_2_5,N,1,0","S3P8,N,1,0","S3P9,N,1,0","S3P10,N,1,0","S3P11_ES,C,100","S3P12_C,N,2,0","S3P12_ES,C,50","S3P13_ES,C,50","S3P14_C,N,2,0","S3P14_ES,C,100","S3P15,N,1,0","S4P1_1,N,1,0","S4P1_2,N,1,0","S4P1_3,N,1,0","S4P1_4,N,1,0","S4P1_5,N,1,0","S4P1_6,N,1,0","S4P1_7,N,1,0","S4P1_8,N,1,0","S4P1_1_1A,N,1,0","S4P1_1_2A,N,1,0","S4P1_1_3A,N,1,0","S4P1_1_4A,N,1,0","S4P1_1_5A,N,1,0","S4P1_1_6A,N,1,0","S4P1_1_7A,N,1,0","S4P1_1_8A,N,1,0","S4P1_1_ESA,C,50","S4P1_1_1B,N,1,0","S4P1_1_2B,N,1,0","S4P1_1_3B,N,1,0","S4P1_1_4B,N,1,0","S4P1_1_5B,N,1,0","S4P1_1_6B,N,1,0","S4P1_1_7B,N,1,0","S4P1_1_8B,N,1,0","S4P1_1_ESB,C,50","S4P1_1_1C,N,1,0","S4P1_1_2C,N,1,0","S4P1_1_3C,N,1,0","S4P1_1_4C,N,1,0","S4P1_1_5C,N,1,0","S4P1_1_6C,N,1,0","S4P1_1_7C,N,1,0","S4P1_1_8C,N,1,0","S4P1_1_ESC,C,50","S4P1_2_1,N,1,0","S4P1_2_2,N,1,0","S4P1_2_3,N,1,0","S4P1_2_4,N,1,0","S4P1_2_5,N,1,0","S4P1_2_6,N,1,0","S4P1_2_7,N,1,0","S4P2_1,N,1,0","S4P2_2,N,1,0","S4P2_3,N,1,0","S4P2_4,N,1,0","S4P2_5,N,1,0","S4P2_6,N,1,0","S4P2_7,N,1,0","S4P3_1,N,1,0","S4P3_2,N,1,0","S4P3_3,N,1,0","S4P3_4,N,1,0","S4P3_5,N,1,0","S4P3_6,N,1,0","S4P3_7,N,1,0","S4P3_8,N,1,0","S4P3_9,N,1,0","S4P4,N,3,0","S4P4_1,N,3,0","S4P4_2,N,3,0","S4P4_3,N,3,0","S4P4_4,N,3,0","S4P5,N,3,0","S4P5_1,N,3,0","S4P5_2,N,3,0","S4P5_3,N,3,0","S4P5_4,N,3,0","S4P6,N,1,0","S4P6_1,N,2,0","S4P6_2,N,2,0","S4P6_3,N,2,0","S4P6_4,N,2,0","S4P6_5,N,2,0","S4P7,N,2,0","S4P7_1,N,2,0","S4P7_2,N,2,0","S4P7_3,N,2,0","S4P7_4,N,2,0","S4P7_5,N,2,0","S4P8,N,1,0","S4P8_1_1,N,2,0","S4P8_1_2,N,2,0","S4P8_1_ES,C,50","S4P9,N,1,0","S4P10,N,1,0","S4P10_1,N,3,0","S4P11_1,N,1,0","S4P11_2,N,1,0","S4P11_3,N,1,0","S4P11_4,N,1,0","S4P11_5,N,1,0","S4P11_6,N,1,0","S4P11_7,N,1,0","S4P11_8,N,1,0","S4P11_9,N,1,0","S4P11_10,N,1,0","S4P11_11,N,1,0","S4P11_12,N,1,0","S4P11_13,N,1,0","S4P11_14,N,1,0","S4P11_15,N,1,0","S4P11_16,N,1,0","S4P11_17,N,1,0","S4P11_ES,C,50","S4P12_1,N,1,0","S4P12_2,N,1,0","S4P12_3,N,1,0","S4P12_4,N,1,0","S4P12_5,N,1,0","S4P12_6,N,1,0","S4P12_7,N,1,0","S4P12_8,N,1,0","S4P12_9,N,1,0","S4P12_10,N,1,0","S4P12_1_1,N,1,0","S4P12_1_2,N,1,0","S4P12_1_3,N,1,0","S4P12_1_4,N,1,0","S4P12_1_5,N,1,0","S4P12_1_6,N,1,0","S4P12_1_7,N,1,0","S4P12_1_8,N,1,0","S4P12_1_9,N,1,0","S4P12_1_10,N,1,0","S4P12_1_ES,C,50","S4P12_2_1,N,1,0","S4P12_2_2,N,1,0","S4P12_2_3,N,1,0","S4P12_2_4,N,1,0","S4P12_2_5,N,1,0","S4P12_2_6,N,1,0","S4P12_2_7,N,1,0","S4P12_2_8,N,1,0","S4P12_2_ES,C,50","S4P13_1,N,1,0","S4P13_2,N,1,0","S4P13_3,N,1,0","S4P14_1,N,2,0","S4P14_2,N,2,0","S4P14_3,N,2,0","S4P14_4,N,2,0","S4P14_5,N,2,0","S4P14_6,N,2,0","S4P14_7,N,2,0","S4P14_8,N,2,0","S4P14_9,N,2,0","S4P14_10,N,2,0","S4P14_11,N,2,0","S4P14_12,N,2,0","S4P14_13,N,2,0","S4P14_14,N,2,0","S4P14_15,N,2,0","S4P14_16,N,2,0","S4P14_17,N,2,0","S4P15_1,N,1,0","S4P15_2,N,1,0","S4P15_3,N,1,0","S4P15_4,N,1,0","S4P15_5,N,1,0","S4P15_6,N,1,0","S4P15_7,N,1,0","S4P15_8,N,1,0","S4P15_9,N,1,0","S4P15_10,N,1,0","S4P15_11,N,1,0","S4P15_12,N,1,0","S4P15_13,N,1,0","S4P15_14,N,1,0","S4P15_15,N,1,0","S4P16_1,N,1,0","S4P16_2,N,1,0","S4P16_3,N,1,0","S4P16_4,N,1,0","S4P16_5,N,1,0","S4P16_6,N,1,0","S4P16_7,N,1,0","S4P17_1,N,1,0","S4P17_2,N,1,0","S4P17_3,N,1,0","S4P17_4,N,1,0","S4P17_5,N,1,0","S4P17_6,N,1,0","S4P17_7,N,1,0","S4P17_8,N,1,0","S4P17_9,N,1,0","S4P17_10,N,1,0","S4P17_11,N,1,0","S4P17_12,N,1,0","S4P17_13,N,1,0","S4P17_14,N,1,0","FAC,N,6,0"
14,1015,01,40007,1,1,01,2,4,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,CORTA PASTO POR SU CUENTA Y PASA DE CASA EN CASA,52,JARDINERO,JULIO,56,A PRESTAR SU SERVICIO DE CORTAR PASTO,2,3,4,4,4,4,4,3,4,2,2,1,1,2,2,2,2,,2,2,1,1,2,2,2,2,,2,2,1,1,2,2,2,2,,0,0,0,0,0,0,0,3,3,3,3,3,3,3,6,5,4,2,3,1,0,0,0,28,7,0,21,0,14,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,,2,2,1,2,1,2,2,2,,2,2,3,2,10,6,3,5,5,5,5,5,5,8,5,10,5,10,7,6,3,3,4,3,3,3,3,3,2,1,2,1,2,1,1,3,3,3,3,4,4,4,3,3,3,3,2,3,3,3,3,3,3,2,3,3,4354
14,1015,01,40007,4,1,02,2,4,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,,0,,,0,,0,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,2,2,2,2,2,2,2,2,2,3,2,3,3,3,3,4,5,6,2,1,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,2,2,2,2,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0,,2,2,2,2,1,2,2,2,,2,4,2,1,10,5,6,7,7,8,10,10,5,7,10,9,4,10,4,8,4,3,4,4,1,3,2,4,1,3,4,1,2,2,1,3,3,3,3,3,3,2,1,1,2,3,3,3,3,2,2,2,2,2,2,2,4354
14,1015,01,40007,5,1,01,3,3,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,REALIZA LA LIMPIEZA EN UNA OFICINA,96,PERSONAL DE LIMPIEZA,ALCOSE DEL CENTRO S.A DE C.V,56,SE DEDICA A PRESTAR SERVICIOS DE LIMPIEZA A EMPRES,1,3,3,3,3,3,3,2,3,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,1,2,1,1,1,1,1,2,2,3,3,3,3,3,3,5,6,4,1,2,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,,1,2,2,2,1,2,2,2,,2,2,2,4,10,6,5,7,1,7,6,9,8,8,10,9,9,10,10,10,3,3,3,3,2,4,4,3,3,2,3,2,2,2,2,3,4,2,2,2,3,4,2,2,2,1,1,1,1,1,1,3,3,1,2,2,4354
14,1015,01,40007,2,1,04,6,1,4311,PSICOLOGIA CLINICA,3,1,1,2,2,1,1,2,2,,20,2,0,0,0,0,0,2,2,2,2,2,1,0,1,RECEPCIONISTA EN UN DESPACHO DE ABOGADOS,32,RECPCIONISTA,ASOCIADOS POSADA S.A DE C.V,54,A PRESTAR SERVICIOS DE ASESORIA LEGAL Y CONSULTOR,2,2,4,2,2,2,2,2,3,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,2,3,3,3,2,2,2,3,4,5,6,2,1,0,0,0,3,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,,1,1,5,2,2,2,1,2,1,2,1,2,1,1,2,1,2,1,2,2,,2,1,2,2,1,2,1,1,2,1,1,2,1,2,2,2,2,2,2,2,,0,0,0,0,0,0,0,0,,1,1,1,9,10,9,7,8,8,8,8,9,9,6,10,9,7,8,9,10,3,2,4,2,1,2,2,4,4,2,4,2,2,3,2,2,2,2,2,3,3,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,13062
14,1015,01,40007,3,1,02,2,2,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,,0,,,0,,0,4,4,4,4,3,3,2,3,1,2,1,2,2,2,2,2,,1,2,1,2,2,2,2,2,,0,0,0,0,0,0,0,0,,2,2,1,1,1,1,2,4,4,4,3,2,3,2,4,3,5,6,2,1,0,0,0,41,21,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,,2,2,1,2,2,2,2,1,POR MOTIVOS DE SALUD,1,1,2,8,9,9,7,7,8,9,9,10,9,10,10,9,8,10,9,10,3,3,4,3,2,2,2,3,3,2,4,3,3,2,2,5,5,2,2,2,2,2,3,3,2,2,3,2,3,3,3,3,3,2,3,3,4354
14,1015,01,40027,5,1,01,2,6,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,5,1,4,VENTA DE JUGUETES Y CHACHARAS ELN EL TIANGUIS,41,COMERCIANTE,JUGUETES Y CHACHARITAS SIN NOMBRE,46,ALA COMPRA Y VENTA DE ARTICULOS VARIOS,2,3,3,2,4,4,4,3,2,0,0,0,0,0,0,0,0,,2,2,2,2,1,2,2,2,,2,2,2,2,1,2,2,2,,1,2,2,1,2,2,2,3,3,3,3,3,3,3,1,3,4,6,2,5,0,0,0,11,6,2,3,0,17,12,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,2,2,2,2,2,1,2,2,2,0,0,0,0,0,0,0,0,0,0,,2,2,2,2,1,2,2,2,,2,2,2,1,10,1,9,11,11,11,11,2,8,5,10,9,9,10,10,11,2,2,3,3,2,5,5,2,5,3,2,2,2,2,3,2,2,2,3,3,2,3,2,2,2,2,2,2,4,2,4,4,2,2,2,2,2171
14,1015,01,40027,1,1,02,7,4,5335,ADMINISTRACION DE EMPRESA,3,1,1,2,1,1,2,2,1,,24,2,0,0,0,0,0,1,1,1,2,2,1,0,1,SUPERVISAR LAS ACTIVIDE DE LOS TRABAJADORES,15,JEFE DE DEPARTAMENTO,SERVICIO DE ADMINISTRACION TRIBUTARIA,93,AL COBRO DE IMNPUESTOS,2,3,3,3,4,3,4,3,2,0,0,0,0,0,0,0,0,,1,2,2,2,2,2,2,2,,0,0,0,0,0,0,0,0,,2,2,1,2,2,2,2,3,3,3,3,3,4,2,3,4,1,6,2,5,0,0,0,20,10,4,6,0,7,7,0,0,0,0,0,0,0,0,0,1,8,2,5,0,1,1,1,2,,1,1,1,2,2,2,1,2,2,1,2,2,2,2,2,2,1,2,2,2,,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2,1,2,2,2,,0,0,0,0,0,0,0,0,,1,1,2,5,8,6,6,5,1,7,7,7,7,3,10,8,5,10,9,9,2,4,4,3,2,2,4,3,3,2,3,2,2,2,2,2,2,2,3,4,2,2,3,3,3,3,3,3,3,3,3,3,3,1,2,2,8684
14,1015,01,40027,2,1,01,2,6,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,ATIENDE AL PUBLICO EN GENERAL,41,COMERCIANTE,SIX TECACATE MATINEZ DOMINGUEZ,46,ALA COMPRA Y VENTA DE ABARROTES Y CERVEZA,2,3,3,3,4,3,4,2,2,0,0,0,0,0,0,0,0,,1,2,2,2,2,2,2,2,,0,0,0,0,0,0,0,0,,1,2,2,2,2,2,2,3,4,4,4,3,3,3,1,2,4,3,5,6,0,0,0,6,4,1,1,0,8,7,0,1,0,3,3,0,1,2,0,0,0,0,0,0,0,1,1,0,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,2,2,2,2,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0,,1,2,2,2,2,2,2,2,,2,2,2,5,9,3,8,9,2,8,8,7,9,8,10,10,8,8,8,10,3,3,4,3,2,2,2,3,3,4,3,2,2,2,2,1,2,1,2,1,1,3,2,3,2,3,3,3,2,3,3,2,3,2,2,2,4342
14,1015,01,40027,3,1,03,4,2,,,0,0,0,0,0,0,0,0,2,,19,1,2,2,2,2,1,0,0,0,0,0,4,5,0,,0,,,0,,0,3,4,3,4,3,4,3,4,0,0,0,0,0,0,0,0,,2,2,2,1,2,2,2,2,,0,0,0,0,0,0,0,0,,2,1,1,2,2,2,1,2,4,2,4,2,4,4,6,4,5,1,2,3,0,0,0,14,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,1,1,54,2,2,1,2,1,1,2,1,2,2,1,2,1,2,1,1,2,,2,2,2,2,2,2,2,1,1,2,0,0,0,0,0,0,0,0,0,0,,2,2,2,1,2,2,2,2,,1,2,1,9,10,8,8,7,7,10,10,10,8,10,8,8,9,8,8,9,3,3,3,3,3,3,3,3,2,3,3,2,3,2,2,2,2,2,3,3,4,1,2,2,1,2,1,1,2,2,1,2,2,1,1,2,8684
14,1015,01,40027,4,1,02,6,3,2121,EDUCADORA TECNICA BILINGUE,2,0,0,0,0,0,0,0,2,,21,2,0,0,0,0,0,2,2,2,2,2,1,0,4,ELABORACION Y VENTA DE ALIMENTOS,51,COCINERA,GORDITAS COKENA,72,ALA PREPARACION Y VENTA DE ALIMENTOS,2,2,3,2,2,2,3,2,2,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,1,2,1,1,1,1,2,3,3,2,3,2,3,2,3,4,5,1,2,6,0,0,0,14,14,0,0,0,32,7,7,11,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,,2,2,2,2,2,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,,1,2,2,2,2,2,2,2,,1,1,1,8,8,6,8,7,8,8,8,8,8,6,9,9,6,4,8,10,3,3,2,3,4,1,1,2,1,4,4,2,1,2,3,1,1,1,1,1,1,1,2,3,2,4,2,2,2,3,2,2,1,2,2,2,4342
