"CD_A,C,2","PER,C,4","EST_DIS,C,3","UPM_DIS,C,6","ENT,C,2","CON,C,5","V_SEL,C,1","N_HOG,C,1","N_REN,C,2","PAR,N,1,0","SEX,N,1,0","EDA,N,3,0","NAC_DIA,N,2,0","NAC_MES,N,2,0","NAC_ANIO,N,4,0","NIV,N,2,0","GRA,N,1,0","A_ESC,N,1,0","ELEGIDO,N,1,0","REELE,N,2,0","R_DEF,C,2","FACTOR,N,6,0","FAC18,N,6,0"
14,1015,035,00001,01,40007,3,1,01,1,1,66,2,11,1948,2,6,0,0,0,01,2177,0
14,1015,035,00001,01,40007,3,1,02,2,2,67,2,1,1948,2,2,0,1,0,01,2177,4354
14,1015,035,00001,01,40007,4,1,01,1,1,75,15,9,1940,2,6,0,0,0,01,2177,0
14,1015,035,00001,01,40007,4,1,02,2,2,73,18,5,1942,2,6,0,1,0,01,2177,4354
14,1015,035,00001,01,40007,2,1,01,1,1,51,31,8,1964,2,3,0,0,0,01,2177,0
14,1015,035,00001,01,40007,2,1,02,2,2,55,29,1,1960,3,3,0,0,0,01,2177,0
14,1015,035,00001,01,40007,1,1,02,2,2,67,5,4,1948,2,6,0,0,0,01,2177,0
14,1015,035,00001,01,40007,2,1,04,3,2,23,5,3,1992,4,3,0,1,0,01,2177,13062
14,1015,035,00001,01,40007,2,1,05,3,1,29,15,9,1986,4,3,0,0,0,01,2177,0
14,1015,035,00001,01,40007,2,1,06,3,1,25,15,9,1990,4,1,0,0,0,01,2177,0
14,1015,035,00001,01,40007,5,1,01,1,2,58,25,2,1957,3,3,0,1,0,01,2177,4354
14,1015,035,00001,01,40007,5,1,02,4,1,44,23,2,1971,0,0,0,0,0,01,2177,0
14,1015,035,00001,01,40007,1,1,01,1,1,74,25,1,1941,2,4,0,1,0,01,2177,4354
14,1015,035,00001,01,40007,2,1,03,3,2,21,27,8,1994,4,1,0,0,0,01,2177,0
14,1015,035,00002,01,40027,4,1,03,3,1,13,26,11,2001,3,1,0,0,0,01,2171,0
14,1015,035,00002,01,40027,4,1,04,3,1,11,16,12,2003,2,6,0,0,0,01,2171,0
14,1015,035,00002,01,40027,4,1,05,3,2,6,4,5,2009,1,3,0,0,0,01,2171,0
14,1015,035,00002,01,40027,1,1,01,1,2,58,14,3,1957,4,3,0,0,0,01,2171,0
14,1015,035,00002,01,40027,1,1,02,2,1,55,4,7,1960,7,5,3,1,0,01,2171,8684
14,1015,035,00002,01,40027,1,1,03,3,1,22,23,5,1993,7,2,3,0,0,01,2171,0
14,1015,035,00002,01,40027,1,1,04,3,1,27,24,9,1988,7,4,3,0,0,01,2171,0
14,1015,035,00002,01,40027,5,1,01,1,2,61,7,9,1954,2,6,0,1,0,01,2171,2171
14,1015,035,00002,01,40027,5,1,02,4,1,15,5,4,2000,3,3,0,0,0,01,2171,0
14,1015,035,00002,01,40027,2,1,01,1,1,56,27,5,1959,2,3,0,1,0,01,2171,4342
14,1015,035,00002,01,40027,2,1,02,2,2,56,27,6,1959,6,3,2,0,0,01,2171,0
14,1015,035,00002,01,40027,3,1,01,1,1,44,28,10,1970,2,6,0,0,0,01,2171,0
14,1015,035,00002,01,40027,3,1,02,2,2,42,15,8,1973,7,5,3,0,0,01,2171,0
14,1015,035,00002,01,40027,3,1,03,3,1,19,5,4,1996,4,2,0,1,0,01,2171,8684
14,1015,035,00002,01,40027,3,1,04,3,2,18,18,2,1997,4,3,0,0,0,01,2171,0
14,1015,035,00002,01,40027,3,1,05,3,1,13,5,5,2002,3,1,0,0,0,01,2171,0
14,1015,035,00002,01,40027,4,1,01,1,1,37,25,8,1978,7,3,3,0,0,01,2171,0
14,1015,035,00002,01,40027,4,1,02,2,2,35,15,11,1979,6,3,2,1,0,01,2171,4342
14,1015,036,00003,01,40041,2,1,01,1,2,36,7,6,1979,3,3,0,0,0,01,2831,0
14,1015,036,00003,01,40041,4,1,04,3,2,26,18,11,1988,7,5,3,1,0,01,2831,11324
14,1015,036,00003,01,40041,4,1,03,3,2,31,6,1,1984,4,3,0,0,0,01,2831,0
14,1015,036,00003,01,40041,4,1,02,2,2,54,18,10,1960,6,3,2,0,0,01,2831,0
14,1015,036,00003,01,40041,4,1,01,1,1,58,21,9,1957,2,1,0,0,0,01,2831,0
14,1015,036,00003,01,40041,2,1,04,3,1,14,23,2,2001,3,2,0,0,0,01,2831,0
14,1015,036,00003,01,40041,2,1,03,3,1,15,30,3,2000,3,3,0,0,0,01,2831,0
14,1015,036,00003,01,40041,2,1,05,3,2,7,19,2,2008,2,1,0,0,0,01,2831,0
14,1015,036,00003,01,40041,5,1,04,3,1,18,8,10,1996,4,3,0,0,0,01,2831,0
14,1015,036,00003,01,40041,5,1,03,3,2,22,11,8,1993,7,4,3,1,0,01,2831,11324
14,1015,036,00003,01,40041,5,1,02,2,2,52,4,7,1963,6,2,2,0,0,01,2831,0
14,1015,036,00003,01,40041,5,1,01,1,1,61,20,5,1954,7,4,3,0,0,01,2831,0
14,1015,036,00003,01,40041,2,1,06,3,1,1,24,4,2014,0,0,0,0,0,01,2831,0
14,1015,036,00003,01,40041,2,1,02,2,1,35,13,7,1980,3,3,0,1,0,01,2831,5662
14,1015,035,00004,01,40059,4,1,04,3,1,10,31,7,2005,2,4,0,0,0,01,2469,0
14,1015,035,00004,01,40059,4,1,02,2,2,36,25,2,1979,3,3,0,1,0,01,2469,4938
14,1015,035,00004,01,40059,4,1,01,1,1,37,31,12,1977,3,3,0,0,0,01,2469,0
14,1015,035,00004,01,40059,1,1,02,2,2,52,31,5,1963,4,3,0,0,0,01,2469,0
14,1015,035,00004,01,40059,1,1,01,1,1,54,9,10,1960,2,6,0,1,0,01,2469,4938
