"CD_A,C,2","PER,C,4","AGEB,C,5","UPM,C,7","ENT,C,2","CON,C,5","PRO_VIV,C,4","V_SEL,C,1","N_HOG,C,1","R_PRE,C,2","FCH_PRE,C,10","R_DEF,C,2","FCH_DEF,C,10","P1,N,2,0","P2,N,1,0","P3,N,2,0","P4,N,2,0","R_INF,C,2","R_ELE,C,2","FAC,N,6,0"
14,1117,206-6,0100656,01,40018,0066,1,1,01,14/11/2017,01,15/11/2017,4,1,0,0,03,03,2536
14,1117,206-6,0100656,01,40018,0041,5,1,01,22/11/2017,01,27/11/2017,2,1,0,0,02,02,2536
14,1117,206-6,0100656,01,40018,0022,4,1,01,14/11/2017,01,15/11/2017,2,1,0,0,01,01,2536
14,1117,206-6,0100656,01,40018,0092,2,1,01,14/11/2017,01,15/11/2017,4,1,0,0,01,01,2536
14,1117,206-6,0100656,01,40018,0123,3,1,01,14/11/2017,01,28/11/2017,3,1,0,0,02,01,2536
14,1117,227-8,0100794,01,40034,0002,1,1,01,20/11/2017,01,21/11/2017,5,1,0,0,02,03,2396
14,1117,227-8,0100794,01,40034,0072,4,1,01,15/11/2017,01,17/11/2017,6,1,0,0,01,01,2396
14,1117,227-8,0100794,01,40034,0051,3,1,01,15/11/2017,01,17/11/2017,2,1,0,0,02,02,2396
14,1117,227-8,0100794,01,40034,0094,5,1,01,17/11/2017,01,20/11/2017,4,1,0,0,03,03,2396
14,1117,227-8,0100794,01,40034,0023,2,1,01,15/11/2017,01,22/11/2017,5,1,0,0,02,01,2396
14,1117,262-A,0101075,01,40035,0027,4,1,01,09/11/2017,01,14/11/2017,2,1,0,0,01,02,3362
14,1117,262-A,0101075,01,40035,0051,5,1,01,09/11/2017,01,14/11/2017,4,1,0,0,02,03,3362
14,1117,262-A,0101075,01,40035,0096,2,1,01,09/11/2017,01,14/11/2017,2,1,0,0,01,01,3362
14,1117,262-A,0101075,01,40035,0075,1,1,01,09/11/2017,01,14/11/2017,4,1,0,0,02,02,3362
14,1117,262-A,0101075,01,40035,0003,3,1,01,09/11/2017,01,14/11/2017,4,1,0,0,03,02,3362
14,1117,389-7,0101924,01,40038,0010,4,1,01,07/11/2017,01,09/11/2017,4,1,0,0,02,03,2960
14,1117,389-7,0101924,01,40038,0035,5,1,07,13/11/2017,07,04/12/2017,0,0,0,0,,,0
14,1117,389-7,0101924,01,40038,0068,3,1,01,08/11/2017,01,09/11/2017,3,1,0,0,01,01,2960
14,1117,389-7,0101924,01,40038,0041,2,1,01,07/11/2017,01,09/11/2017,4,1,0,0,02,02,2960
14,1117,389-7,0101924,01,40038,0107,1,1,01,07/11/2017,01,09/11/2017,1,0,0,0,01,01,2960
14,1117,205-1,0100638,01,40050,0043,4,1,01,16/11/2017,01,21/11/2017,5,1,0,0,02,01,2407
14,1117,205-1,0100638,01,40050,0099,1,1,01,16/11/2017,01,27/11/2017,3,1,0,0,02,01,2407
14,1117,205-1,0100638,01,40050,0120,2,1,01,20/11/2017,01,21/11/2017,2,1,0,0,01,02,2407
14,1117,205-1,0100638,01,40050,0064,5,1,01,16/11/2017,01,17/11/2017,5,1,0,0,04,04,2407
14,1117,205-1,0100638,01,40050,0016,3,1,01,20/11/2017,01,22/11/2017,5,1,0,0,01,02,2407
14,1117,286-5,0101300,01,40056,0013,1,1,01,10/11/2017,01,14/11/2017,2,1,0,0,01,01,2564
14,1117,286-5,0101300,01,40056,0037,2,1,01,10/11/2017,01,14/11/2017,6,1,0,0,02,02,2564
14,1117,286-5,0101300,01,40056,0055,3,1,01,10/11/2017,01,14/11/2017,3,1,0,0,02,02,2564
14,1117,286-5,0101300,01,40056,0076,4,1,01,10/11/2017,01,14/11/2017,5,1,0,0,02,02,2564
14,1117,286-5,0101300,01,40056,0097,5,1,01,13/11/2017,01,14/11/2017,5,1,0,0,02,02,2564
14,1117,235-2,0100874,01,40061,0023,4,1,01,09/11/2017,01,14/11/2017,5,1,0,0,03,03,3075
14,1117,235-2,0100874,01,40061,0074,1,1,07,04/12/2017,07,04/12/2017,0,0,0,0,,,0
14,1117,235-2,0100874,01,40061,0054,5,1,01,08/11/2017,01,14/11/2017,5,1,0,0,02,02,3075
14,1117,235-2,0100874,01,40061,0094,2,1,01,07/11/2017,01,08/11/2017,4,1,0,0,02,02,3075
14,1117,235-2,0100874,01,40061,0039,3,1,01,17/11/2017,01,20/11/2017,4,1,0,0,01,01,3075
14,1117,388-2,0101908,01,40096,0129,3,1,01,20/11/2017,01,21/11/2017,4,1,0,0,01,02,2331
