No campo,Campo,Tipo,Longitud,Descripción
1,TPREG,Carácter,1,Identificación registro
2,ENTIDAD,Carácter,2,Entidad federativa
3,MUNICIPIO,Carácter,3,Municipio o delegación
4,LOCALIDAD,Carácter,4,Localidad
5,AGEB,Carácter,4,Clave de AGEB
6,NUMCONTROL,Carácter,6,Número de control 
7,VIVSEL,Carácter,2,Número de vivienda seleccionada
8,IDHOGAR,Carácter,1,Hogar 
9,DEGVIV,Carácter,1,de
10,OPCLONACI,Carácter,1,31. ¿Ha oído usted hablar de la                
11,REPCLONA,Carácter,1,31.1 ¿Está de acuerdo en que se                
12,RETJCLONA,Carácter,1,31.2 ¿Está de acuerdo en que se                
13,CONFYFE,Carácter,1,1 Confiamos demasiado en la fe y muy poco en la
14,CAMBIOVIDA,Carácter,1,2 La aplicación de la ciencia hace que nuestro 
15,NUMSUERT,Carácter,1,3 Algunos números son de la suerte             
16,VIDARTYDES,Carácter,1,4 El desarrollo tecnológico origina una manera 
17,OBJVOLADOR,Carácter,1,5 Algunos de los objetos voladores no identific
18,PODERMENT,Carácter,1,6 Algunas personas poseen poderes psíquicos    
19,MEDCIENREC,Carácter,1,7 Existen medios adecuados para el tratamiento 
20,LEEHORO,Carácter,1,"33. En otro orden de ideas, ¿durante el último "
21,FREQHORO,Carácter,1,33.1 ¿Con qué frecuencia consulta su información
22,LLAVE,Carácter,23,Llave que identifica al hogar
23,NUMREN,Carácter,2,Número de renglón que relaciona con las tablas R4 y R3
