CAMPO,DESCRIPCION,TIPO_DATO,LONGITUD,RANGO_VALIDO,METADATOS
PER,Periodo de levantamiento,Varchar,4,[0001-9999],Periodo de levantamiento
AGEB,AGEB,Character,4,0001-9999,AGEB
CD,Ciudad,Varchar,2,[01-43],Ciudad autorrepresentada
,,,,1,México
,,,,2,Guadalajara
,,,,3,Monterrey
,,,,4,Puebla
,,,,5,León
,,,,7,San Luis Potosí
,,,,8,Mérida
,,,,9,Chihuahua
,,,,10,Tampico
,,,,12,Veracruz
,,,,13,Acapulco
,,,,14,Aguascalientes
,,,,15,Morelia
,,,,16,Toluca
,,,,17,Saltillo
,,,,18,Villahermosa
,,,,19,Tuxtla Gutiérrez
,,,,21,Tijuana
,,,,24,Culiacán
,,,,25,Hermosillo
,,,,26,Durango
,,,,27,Tepic
,,,,28,Campeche
,,,,29,Cuernavaca
,,,,31,Oaxaca
,,,,32,Zacatecas
,,,,33,Colima
,,,,36,Querétaro
,,,,39,Tlaxcala
,,,,40,La Paz
,,,,41,Cancún
,,,,43,Pachuca
PRO_VIV,Número progresivo de vivienda,Character,4,0001-9999,Número progresivo de vivienda
ENT,Entidad,Varchar,2,[01-32],Entidad
,,,,1,Aguascalientes
,,,,2,Baja California
,,,,3,Baja California Sur
,,,,4,Campeche
,,,,5,Coahuila de Zaragoza
,,,,6,Colima
,,,,7,Chiapas
,,,,8,Chihuahua
,,,,9,Distrito Federal
,,,,10,Durango
,,,,11,Guanajuato
,,,,12,Guerrero
,,,,13,Hidalgo
,,,,14,Jalisco
,,,,15,México
,,,,16,Michoacán de Ocampo
,,,,17,Morelos
,,,,18,Nayarit
,,,,19,Nuevo León
,,,,20,Oaxaca
,,,,21,Puebla
,,,,22,Querétaro
,,,,23,Quintana Roo
,,,,24,San Luis Potosí
,,,,25,Sinaloa
,,,,26,Sonora
,,,,27,Tabasco
,,,,28,Tamaulipas
,,,,29,Tlaxcala
,,,,30,Veracruz de Ignacio de la Llave
,,,,31,Yucatán
,,,,32,Zacatecas
CON,Control,Varchar,5,[00001-99999],Control
V_SEL,Vivienda seleccionada,Varchar,1,[1-9],Vivienda seleccionada
N_HOG,Número de hogar,Varchar,1,[1-9],Número de hogar
N_REN,Número de renglón,Varchar,2,[01-30],Número de renglón
S3P1,¿Hasta qué año aprobó usted en la escuela?,Int,2,[0-10],"¿Hasta qué año aprobó usted
en la escuela?"
,,,,0,Ninguno
,,,,1,Preescolar
,,,,2,Primaria
,,,,3,Secundaria
,,,,4,Preparatoria o bachillerato
,,,,5,Normal
,,,,6,Carrera técnica o comercial
,,,,7,Licenciatura o ingeniería
,,,,8,Especialidad
,,,,9,Maestría
,,,,10,Doctorado
S3P1_2,¿Hasta qué grado aprobó usted en la escuela?,Int,1,[0-9],"¿Hasta qué grado aprobó
usted en la escuela?"
S3P2,"Clave de la carrera, especialidad, maestría o doctorado que estudia o estudió",Int,4,[1-9999],"Clave de la carrera, especialidad, maestría o doctorado que estudia o estudió"
S3P2_ES,"¿Cuál es el nombre de la carrera, escpecialidad, maestría o doctorado que estudia o estudió?",Varchar,50,Texto,"¿Cuál es el nombre de la carrera, especialidad, maestría o doctorado que estudia o estudió?"
S3P3,¿Qué estudios le pidieron a usted para poder ingresar al último nivel de estudio?,Int,1,[1-5],¿Qué estudios le pidieron a usted para poder ingresar al último nivel de estudio?
,,,,1,Primaria
,,,,2,Secundaria
,,,,3,Preparatoria o bachillerato
,,,,4,Licenciatura o ingeniería
,,,,5,Maestría
,,,,,"Como parte de sus estudios de licenciatura o normal,
¿cursó usted materias de las siguientes disciplinas?"
S3P4_1,Físico-Matemáticas o Ciencias de la Tierra,Int,1,[1-2],Físico-Matemáticas o Ciencias de la Tierra
,,,,1,Sí
,,,,2,No
S3P4_2,Biología o Química,Int,1,[1-2],Biología o Química
,,,,1,Sí
,,,,2,No
S3P4_3,Medicina o Ciencias de la Salud,Int,1,[1-2],Medicina o Ciencias de la Salud
,,,,1,Sí
,,,,2,No
S3P4_4,Humanidades o Ciencias de la Conducta?,Int,1,[1-2],Humanidades o Ciencias de la Conducta?
S3P5,¿En qué tipo de escuela cursa o cursó el último nivel de estudio?,Int,1,[1-3],"¿En qué tipo de escuela
cursa o cursó el último nivel de estudio?"
,,,,1,Pública o de gobierno
,,,,2,Privada o de paga
,,,,3,De otro tipo
S3P6,"¿Qué edad tenía usted cuando aprobó el último grado
de  (preparatoria o bachillerato, nomral, carrera técnica o comercial, licenciatura o ingeniería, especialidad, maestría o doctorado)?",Int,2,[0-75],"¿Qué edad tenía usted cuando aprobó el último grado de (preparatoria o bachillerato, normal, carrera técnica o comercial, licenciatura o ingeniería, especialidad, maestría o doctorado)?"
S3P7,¿Actualmente estudia?,Int,1,[1-2],¿Actualmente estudia?
,,,,1,Sí
,,,,2,No
,,,,,¿Le gustaría ser…
S3P7_1_1,investigador?,Int,1,[1-2],investigador?
,,,,1,Sí
,,,,2,No
S3P7_1_2,investigador académico?,Int,1,[1-2],investigador académico?
,,,,1,Sí
,,,,2,No
,,,,,¿Si volviera a estudiar le gustaría ser…
S3P7_2_1,investigador?,Int,1,[1-2],investigador?
