,,,,,En cuanto a la ciencia y el desarrollo tecnológico:
S4P24_1,La investigación científica y tecnológica juega un papel fundamental en el desarrollo tecnológico,Int,1,[1-5],La investigación científica y tecnológica juega un papel fundamental en el desarrollo tecnológico
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P24_2,La investigación básica siempre produce desarrollo tecnológico,Int,1,[1-5],La investigación básica siempre produce desarrollo tecnológico
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P24_3,"La investigación básica debe ser apoyada por el Gobierno Federal, aun cuando los beneficios que resulten no sean inmediatos",Int,1,[1-5],"La investigación básica debe ser apoyada por el Gobierno Federal, aun cuando los beneficios que resulten no sean inmediatos"
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P24_4,"Sólo con base en la investigación básica, aplicada y el desarrollo tecnológico nuestra economía podrá ser más competitiva",Int,1,[1-5],"Sólo con base en la investigación básica, aplicada y el desarrollo tecnológico nuestra economía podrá ser más competitiva"
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P24_5,La Internet es esencial para el desarrollo de nuevas actividades económicas,Int,1,[1-5],La Internet es esencial para el desarrollo de nuevas actividades económicas
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P24_6,La Internet ayudará a mejorar la calidad de vida de las personas,Int,1,[1-5],La Internet ayudará a mejorar la calidad de vida de las personas
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P24_7,"La investigación básica, aplicada y el desarrollo tecnológico hacen que los productos industriales sean más baratos",Int,1,[1-5],"La investigación básica, aplicada y el desarrollo tecnológico hacen que los productos industriales sean más baratos"
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P24_8,Muchos de los desarrollos tecnológicos son útiles o prácticos,Int,1,[1-5],Muchos de los desarrollos tecnológicos son útiles o prácticos
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P24_9,El crecimiento económico de un país está estrechamente relacionado con la cantidad y calidad de su investigación en ciencias básicas,Int,1,[1-5],El crecimiento económico de un país está estrechamente relacionado con la cantidad y calidad de su investigación en ciencias básicas
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P24_10,Son mayores los beneficios generados por la investigación científica que los daños asociados a dicha investigación,Int,1,[1-5],Son mayores los beneficios generados por la investigación científica que los daños asociados a dicha investigación
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
,,,,,"Respecto al papel del cientí-
fico:"
S4P25_1,"Como miembro de la sociedad, un científico debe responsabilizarse de los usos buenos y malos que hace él mismo, de sus propios descubrimientos",Int,1,[1-5],"Como miembro de la sociedad, un científico debe responsabilizarse de los usos buenos y malos que hace él mismo, de sus propios descubrimientos"
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P25_2,"Los científicos son responsables de los malos usos que
hacen otras personas de sus descubrimientos",Int,1,[1-5],Los científicos son responsables de los malos usos que hacen otras personas de sus descubrimientos
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P25_3,"Debido a sus conocimientos, los investigadores científicos tienen un poder que los hacen peligrosos",Int,1,[1-5],"Debido a sus conocimientos, los investigadores científicos tienen un poder que los hacen peligrosos"
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P25_4,"Los descubrimientos científicos por sí mismos no son buenos ni malos, lo
importante es el uso
que se les dé",Int,1,[1-5],"Los descubrimientos científicos por sí mismos no son buenos ni malos, lo importante es el uso que se les dé"
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P25_5,"Debe ser permitido a los científicos la investigación que
causa daño y dolor a los animales, como perros y chimpancés, siempre que produzca beneficios a la salud de los seres humanos",Int,1,[1-5],"Debe ser permitido a los científicos la investigación que causa daño y dolor a los
animales, como perros y chimpancés, siempre que produzca beneficios a la salud de los seres humanos"
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P25_6,Las autoridades deberían obligar a los científicos a observar reglas éticas,Int,1,[1-5],Las autoridades deberían obligar a los científicos a observar reglas éticas
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P25_7,"Los científicos deben
ser libres de llevar  a cabo sus investigaciones, siempre y
cuando lo hagan bajo reglas éticas",Int,1,[1-5],"Los científicos deben ser libres de llevar a cabo sus investigaciones, siempre y cuando lo hagan bajo reglas éticas"
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
,,,,,"Sobre el papel de los científicos, las empresas y el gobierno:"
S4P26_1,El gobierno debería invertir más en investigación científica,Int,1,[1-5],"El gobierno debería invertir
más en investigación científica"
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P26_2,Los investigadores de los diferentes países deberían trabajar más en conjunto,Int,1,[1-5],Los investigadores de los diferentes países deberían trabajar más en conjunto
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P26_3,En México debería haber más gente trabajando en investigación y desarrollo tecnológico,Int,1,[1-5],En México debería haber más gente trabajando en investigación y desarrollo tecnológico
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P26_4,Los investigadores mexicanos mejor calificados se van a los Estados Unidos o Europa,Int,1,[1-5],Los investigadores mexicanos mejor calificados se van a los Estados Unidos o Europa
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
